"Year","Season","Fleet","Value","seLogB"
"1995",7,6,7546945.1168461,0.103176694842464
"1998",7,6,6590175.86155244,0.107536833041004
"2001",7,6,7314271.41975207,0.0890998113907064
"2004",7,6,7839892.59291796,0.128163647066287
