Year,OFL (mt),ACL (mt),Commercial Landings,Commercial Catch
2017,3144,2619,988.97,1085.6
2018,3116,2596,814.6,895.39
2019,3089,2573,674.73,736.82
2020,3063,2552,421.64,458.87
2021,3211,2184,378.13,411.62
2022,3194,2130,424.98,456.65
