Year,NTrawl,STrawl,NonTrawl
1985,16.2263187712081,NA,NA
1986,87.4827359732763,NA,NA
1987,35.6412053322605,NA,NA
2005,NA,NA,3.21409584971604
2006,51.0708628056673,27.5956307079142,16.9640995987306
2007,68.4716463968179,31.7289917658552,27.1331146934466
2008,86.8417944271118,32.7360958945506,12.4636395775684
2009,107.435846352407,41.1261114418837,10.4563955259127
2010,72.9628276862207,24.5945001749988,13.2293660044276
2011,79.1467662176255,38.8687805252729,26.5306079383529
2012,102.227211966222,45.8803154938957,39.3375074340032
2013,93.3212907980898,57.4354024923752,20.535838133408
2014,81.9774090849846,47.499914511091,22.7008873094643
2015,63.6242642205763,50.3262382673782,24.8772010811203
2016,61.9530997348505,38.7116993071039,39.6479334053426
2017,59.8208605745273,19.5601871891976,33.550211026935
2018,65.5623214525073,24.9475419779293,34.1807431217011
2019,60.0559136084541,32.9700661822189,22.5508804725904
2020,64.2995329510158,37.7067858070644,10.9505581540777
2021,75.0730179402009,37.3857217267458,26.191911096234
