"year","area","gear","catch_shares","n_obs","n_trips","n_hauls","n_vessels","nonconfidential","strata","ob_discard_mt","ob_retained_mt","ob_ratio","ratio_type"
"2011","CA","FixedGears","TRUE",5615,224,953,15,TRUE,"CA.FixedGears.TRUE",0.638043182436723,18.0498004173093,0.034142151234902,"DIS/(DIS + RET)"
"2011","CA","Trawl","TRUE",55765,475,2438,23,TRUE,"CA.Trawl.TRUE",1.23685022226254,232.890499840871,0.00528280964154346,"DIS/(DIS + RET)"
"2011","OR_WA","FixedGears","TRUE",9434,103,1208,13,TRUE,"OR_WA.FixedGears.TRUE",0.438487707520639,2.94217072722714,0.129704824070271,"DIS/(DIS + RET)"
"2011","OR_WA","Trawl","TRUE",218057,1639,8616,66,TRUE,"OR_WA.Trawl.TRUE",2.34014333665971,465.269714397761,0.00500447819470221,"DIS/(DIS + RET)"
"2012","CA","FixedGears","TRUE",4341,179,829,13,TRUE,"CA.FixedGears.TRUE",0.169681574888869,0.919191690102513,0.155832253710639,"DIS/(DIS + RET)"
"2012","CA","Trawl","TRUE",60009,446,2636,25,TRUE,"CA.Trawl.TRUE",1.98890955275333,263.038711897456,0.0075045368549519,"DIS/(DIS + RET)"
"2012","OR_WA","FixedGears","TRUE",9993,122,1378,15,TRUE,"OR_WA.FixedGears.TRUE",0.767386373945387,11.5744246187761,0.0621777771834256,"DIS/(DIS + RET)"
"2012","OR_WA","Trawl","TRUE",222370,1434,8089,65,TRUE,"OR_WA.Trawl.TRUE",3.38699537331035,438.875409713122,0.00765833888288204,"DIS/(DIS + RET)"
"2013","CA","FixedGears","TRUE",2857,70,498,12,TRUE,"CA.FixedGears.TRUE",0.134668420575161,5.34829447518824,0.0245612496628816,"DIS/(DIS + RET)"
"2013","CA","Trawl","TRUE",66688,491,2904,24,TRUE,"CA.Trawl.TRUE",1.68614261090447,295.329111162903,0.0056769562824829,"DIS/(DIS + RET)"
"2013","OR_WA","FixedGears","TRUE",5203,59,799,9,TRUE,"OR_WA.FixedGears.TRUE",0.0860201397078835,1.84809035652726,0.0444752974948053,"DIS/(DIS + RET)"
"2013","OR_WA","Trawl","TRUE",251977,1715,9045,63,TRUE,"OR_WA.Trawl.TRUE",6.21745894946929,533.282493520246,0.0115244847029311,"DIS/(DIS + RET)"
"2014","CA","FixedGears","TRUE",3446,78,722,13,TRUE,"CA.FixedGears.TRUE",0.412587317427198,4.49362587317427,0.0840948612297496,"DIS/(DIS + RET)"
