"year","area","gear","catch_shares","n_obs","n_trips","n_hauls","n_vessels","nonconfidential","ob_discard_mt","ob_retained_mt","ob_ratio","median_boot_discard_mt","sd_boot_discard_mt","median_boot_ratio","sd_boot_ratio","n_bootstrap","ratio_type"
"2002","CA","FixedGears","FALSE",1278,38,194,13,TRUE,0.338510387371859,1.41119362242584,0.193467229586448,0.338510387371859,0.0156651200531134,0.193611959464031,0.0336320367610869,10000,"DIS/(DIS + RET)"
"2002","CA","Trawl","FALSE",24693,257,1100,68,TRUE,11.5435906740452,55.1710406303863,0.173029370744321,11.402546947292,2.58298606847894,0.171848723617873,0.0306082647895254,10000,"DIS/(DIS + RET)"
"2002","OR_WA","FixedGears","FALSE",4375,64,466,22,TRUE,0.031574888868729,0.680713054522362,0.0443288267921621,0.0314524176721401,0.00733033499712162,0.0444932747369823,0.00893941450572758,10000,"DIS/(DIS + RET)"
"2002","OR_WA","Trawl","FALSE",52938,328,2138,68,TRUE,13.3102921164837,43.1222570620089,0.235861968141544,13.1880205025855,2.36600818894111,0.234567100607366,0.0315256042953409,10000,"DIS/(DIS + RET)"
"2003","CA","FixedGears","FALSE",5553,312,639,71,TRUE,2.2138029574526,10.9688644652091,0.167932853532128,2.20250612355983,0.39594887421975,0.167988324181343,0.0226430039540436,10000,"DIS/(DIS + RET)"
"2003","CA","Trawl","FALSE",23494,315,1137,65,TRUE,7.00923069944661,46.9401373924856,0.129922387367032,6.91659938310805,1.58994000419041,0.129363756828645,0.0273840652354972,10000,"DIS/(DIS + RET)"
"2003","OR_WA","FixedGears","FALSE",6160,65,596,17,TRUE,0.10228159303275,0.932409507393631,0.0988522980342645,0.101759956454686,0.0194866436067937,0.0994965028653167,0.0323685419993846,10000,"DIS/(DIS + RET)"
"2003","OR_WA","Trawl","FALSE",38070,225,1495,68,TRUE,23.3037058876894,53.6710163357775,0.302744916961648,23.2479656173455,3.96360680691748,0.301959459827909,0.0350173657967474,10000,"DIS/(DIS + RET)"
"2004","CA","FixedGears","FALSE",7020,477,892,114,TRUE,1.66944570443618,9.8884423478182,0.14444210714695,1.654089177175,0.354824832552806,0.143603774267484,0.0255767094497264,10000,"DIS/(DIS + RET)"
"2004","CA","Trawl","FALSE",32754,334,1665,48,TRUE,10.7050576068221,75.5125349761411,0.124163262811138,10.4961013335753,3.2173636580472,0.122731020313512,0.0320448816100775,10000,"DIS/(DIS + RET)"
"2004","OR_WA","FixedGears","FALSE",5976,147,584,44,TRUE,0.139707883516284,0.884864918806132,0.136357204875638,0.136151682844961,0.0668239301302689,0.134028289695311,0.0633304023063233,10000,"DIS/(DIS + RET)"
"2004","OR_WA","Trawl","FALSE",75660,427,3329,79,TRUE,18.570352898485,80.9688709418897,0.186563167583717,18.4652816837522,3.51307779728717,0.185900114128878,0.0233896031120409,10000,"DIS/(DIS + RET)"
"2005","CA","FixedGears","FALSE",4230,303,449,86,TRUE,0.458831534065137,6.73111501406151,0.0638157086417681,0.456270978862379,0.0937333123824643,0.0637210859920598,0.0136425930155343,10000,"DIS/(DIS + RET)"
"2005","CA","Trawl","FALSE",29174,299,1457,48,TRUE,4.97207203120748,38.3222176685055,0.114843598675334,4.94597659439354,1.4509662141947,0.114497299288156,0.0297677909467767,10000,"DIS/(DIS + RET)"
"2005","OR_WA","FixedGears","FALSE",12419,257,1257,75,TRUE,0.230885421391636,2.39423024584959,0.0879524754938806,0.229726480994285,0.0550977730721236,0.087956509791348,0.0177218731585206,10000,"DIS/(DIS + RET)"
"2005","OR_WA","Trawl","FALSE",73166,379,3204,84,TRUE,11.7067585956636,65.9730438018099,0.150705308643323,11.5993173364783,2.41467780663171,0.149951234385085,0.0244373398482952,10000,"DIS/(DIS + RET)"
"2006","CA","FixedGears","FALSE",4926,301,566,87,TRUE,1.72827270253107,11.8763416492788,0.127035773145687,1.67521772657171,0.590851509786718,0.123357626280814,0.0364338583316821,10000,"DIS/(DIS + RET)"
"2006","CA","Trawl","FALSE",22022,230,983,31,TRUE,2.51008799782273,40.4590947369047,0.0584160051011186,2.4172026671505,1.11701749109646,0.0565089234942199,0.0254239190665198,10000,"DIS/(DIS + RET)"
