"","h 0.5","h 0.55","h 0.6","h 0.65","h 0.7","h 0.72","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",724.624,722.826,721.297,719.984,718.847,718.434,717.855,716.984,716.213,715.529,714.917,713.97
"surveylike",-45.3174,-45.7356,-46.1335,-46.5111,-46.8698,-47.0082,-47.2102,-47.5311,-47.8304,-48.1054,-48.3502,-48.9679
"discardlike",415.391,415.181,415.001,414.846,414.713,414.666,414.6,414.502,414.417,414.344,414.282,414.264
"lengthlike",440.861,440.599,440.414,440.283,440.191,440.162,440.126,440.079,440.045,440.018,439.988,439.486
"agelike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recrlike",-9.19899,-10.128,-10.9127,-11.5806,-12.1506,-12.3547,-12.6383,-13.0582,-13.4231,-13.7439,-14.03,-13.8486
"forerecrlike",0.0696434,0.0754992,0.0809024,0.0858723,0.0904216,0.092129,0.0945758,0.0983773,0.101888,0.105185,0.108401,0.105342
"priorlike",1.82494,1.83424,1.84258,1.85002,1.85659,1.85899,1.86238,1.8675,1.87205,1.87609,1.87969,1.88224
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0
"R0",9.38201,9.36437,9.34931,9.33632,9.32502,9.32091,9.31512,9.30639,9.29868,9.29185,9.28579,9.28113
"SB0",20831.7,20467.5,20161.5,19901.3,19677.7,19597,19483.9,19314.6,19166.2,19035.8,18920.7,18832.8
"SBfinal",8244.26,7991.56,7787.13,7619.76,7481.68,7433.28,7366.85,7270.51,7189.2,7119.89,7059.51,7062.67
"deplfinal",0.395755,0.390452,0.386237,0.382878,0.380211,0.379308,0.3781,0.376426,0.375097,0.374027,0.373111,0.37502
"yieldspr",777.459,854.431,909.462,950.427,981.92,992.539,1006.77,1026.82,1043.31,1057.12,1068.84,1080.21
"steep",0.5,0.55,0.6,0.65,0.7,0.72,0.75,0.8,0.85,0.9,0.95,1
"mfem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminfem",11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832
"lmaxfem",73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079
"kfem",0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856
"cv1fem",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"cv2fem",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733
"lmaxmale",66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728
"kmale",0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854
"cv1male",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"cv2male",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
