"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","SR_BH_steep",0.5,724.624,9.75653e-05,20831.7,8244.26,0.395755,0
"4","SR_BH_steep",0.55,722.826,0.000229799,20467.5,7991.56,0.390452,0
"3","SR_BH_steep",0.6,721.297,3.58351e-05,20161.5,7787.13,0.386237,0
"2","SR_BH_steep",0.65,719.984,2.51799e-05,19901.3,7619.76,0.382878,0
"1","SR_BH_steep",0.7,718.847,9.44722e-05,19677.7,7481.68,0.380211,0
"6","SR_BH_steep",0.72,718.434,5.42365e-05,19597,7433.28,0.379308,0
"7","SR_BH_steep",0.75,717.855,8.11763e-05,19483.9,7366.85,0.3781,0
"8","SR_BH_steep",0.8,716.984,8.33074e-05,19314.6,7270.51,0.376426,0
"9","SR_BH_steep",0.85,716.213,0.000316995,19166.2,7189.2,0.375097,0
"10","SR_BH_steep",0.9,715.529,0.000162783,19035.8,7119.89,0.374027,0
"11","SR_BH_steep",0.95,714.917,5.47444e-05,18920.7,7059.51,0.373111,0
"12","SR_BH_steep",1,713.97,9.40369e-05,18832.8,7062.67,0.37502,0
