"","R0 9","R0 9.05","R0 9.1","R0 9.15","R0 9.2","R0 9.25","R0 9.3","R0 9.32091","R0 9.35","R0 9.4","R0 9.45","R0 9.5","R0 9.55","R0 9.6","R0 9.65","R0 9.7","R0 9.75","R0 9.8","R0 9.85","R0 9.9","R0 9.95","R0 10"
"totlikelihood",726.08,723.689,721.794,720.362,719.356,718.736,718.459,718.434,718.48,718.752,719.231,719.875,720.646,721.509,722.435,723.4,724.386,725.378,726.364,727.336,728.287,729.211
"surveylike",-41.442,-42.3375,-43.2368,-44.1289,-45.0072,-45.8622,-46.6795,-47.0083,-47.4513,-48.168,-48.8251,-49.425,-49.9591,-50.4286,-50.8368,-51.194,-51.5027,-51.7655,-51.9857,-52.1685,-52.325,-52.4335
"discardlike",414.373,414.293,414.262,414.277,414.338,414.445,414.592,414.666,414.778,414.991,415.214,415.455,415.713,415.98,416.249,416.515,416.773,417.024,417.266,417.496,417.715,417.923
"lengthlike",441.593,441.083,440.679,440.385,440.196,440.11,440.127,440.162,440.239,440.447,440.754,441.135,441.574,442.068,442.598,443.153,443.723,444.299,444.875,445.444,446.004,446.556
"agelike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recrlike",-11.5805,-12.4556,-12.9875,-13.2208,-13.1968,-12.9585,-12.5589,-12.3547,-12.0426,-11.4543,-10.8303,-10.1907,-9.56695,-8.97917,-8.43022,-7.91492,-7.43708,-6.99868,-6.59938,-6.23629,-5.89736,-5.61673
"forerecrlike",0.0849818,0.0873787,0.0892976,0.0907298,0.0916783,0.092157,0.0922175,0.0921291,0.0919041,0.091275,0.0903826,0.0892825,0.0880073,0.0865243,0.0849879,0.0834366,0.0818887,0.0803699,0.0789046,0.0775097,0.0761721,0.0749376
"priorlike",1.93135,1.92034,1.90934,1.89826,1.88701,1.87552,1.8639,1.85899,1.85212,1.8406,1.82988,1.81949,1.80921,1.79971,1.79067,1.78214,1.7741,1.76654,1.75941,1.75271,1.74649,1.74049
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",9,9.05,9.1,9.15,9.2,9.25,9.3,9.32091,9.35,9.4,9.45,9.5,9.55,9.6,9.65,9.7,9.75,9.8,9.85,9.9,9.95,10
"SB0",14217.4,14946.4,15712.7,16518.3,17365.2,18255.5,19191.5,19597,20175.5,21209.9,22297.3,23440.5,24642.4,25905.8,27234,28630.3,30098.3,31641.4,33263.7,34969.2,36762.1,38646.9
"SBfinal",4490.93,4842.12,5227.24,5649.98,6113.87,6622.89,7182.98,7433.32,7798.15,8472.74,9209.89,10011.3,10881.9,11824.1,12838.7,13924.9,15084.7,16319.8,17632.4,19024.3,20496.1,22057.9
"deplfinal",0.315875,0.323967,0.332677,0.342044,0.352076,0.362789,0.374279,0.379309,0.386516,0.399471,0.413049,0.427094,0.441594,0.456427,0.471421,0.48637,0.50118,0.515773,0.530078,0.54403,0.557534,0.570754
"yieldspr",748.482,781.583,816.331,852.834,891.219,931.627,974.121,992.542,1018.83,1065.89,1115.45,1167.66,1222.65,1280.55,1341.49,1405.69,1473.3,1544.49,1619.42,1698.29,1781.32,1868.59
"steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"mfem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminfem",11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832
"lmaxfem",73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079
"kfem",0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856
"cv1fem",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"cv2fem",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733
"lmaxmale",66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728
"kmale",0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854
"cv1male",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"cv2male",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
