"Label","Total"
"TOTAL","242.84"
"Catch","8.86549e-12"
"Equil catch","0"
"Survey","-53.2773"
"Discard","100.666"
"Mean body wt","-78.5823"
"Length comp","265.307"
"Recruitment","1.48013"
"InitEQ Regime","0"
"Forecast Recruitment","0.00524911"
"Parm priors","7.24148"
"Parm devs","0"
"F Ballpark","0"
"F Ballpark(info only) 1999 estF tgtF","0.0158726"
"Crash Pen","0"
