"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","1031.341","857.998","889.257","942.384","1016.944","885.444","731.553","431.2563","454.939","670.1175","NA"
"Total Dead","1111.268","928.117","929.063","992.09","1094.534","948.282","785.619","477.3619","499.9311","724.1363","NA"
"(1-SPR)/(1-SPR_50%)","1.29","1.16","1.15","1.19","1.25","1.14","1.00","0.68","0.69","0.88","NA"
"Exploitation Rate","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","NA"
"Age 1+ Biomass (mt)","92,838","92,518","92,466","92,487","92,513","92,496","92,687","93,099","93,882","94,694","216,885"
"Spawning Output","9,626","9,476","9,348","9,228","9,112","8,997","8,902","8,829","8,787","8,754","8,717"
"Interval","6,360–12,892","6,228–12,724","6,116–12,579","6,011–12,444","5,908–12,315","5,804–12,190","5,718–12,086","5,651–12,006","5,614–11,960","5,583–11,925","5,545–11,889"
"Recruits","9,622","9,650","9,783","10,155","9,995","9,990","10,354","10,839","11,299","10,952","10,942"
"Interval","4,001–23,138","3,996–23,304","4,016–23,832","4,111–25,087","4,024–24,828","3,990–25,017","4,097–26,165","4,230–27,777","4,349–29,354","4,253–28,200","4,249–28,177"
"Fraction Unfished","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"Interval","0.4–0.5","0.4–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5","0.3–0.5"
