"Year","OFL","ABC","ACL","Landings","Total Mortality"
2013,"fill in","fill in","fill in","1,031.34","1,111.27"
2014,"fill in","fill in","fill in","858.00","928.12"
2015,"fill in","fill in","fill in","889.26","929.06"
2016,"fill in","fill in","fill in","942.38","992.09"
2017,"fill in","fill in","fill in","1,016.94","1,094.53"
2018,"fill in","fill in","fill in","885.44","948.28"
2019,"fill in","fill in","fill in","731.55","785.62"
2020,"fill in","fill in","fill in","431.26","477.36"
2021,"fill in","fill in","fill in","454.94","499.93"
2022,"fill in","fill in","fill in","670.12","724.14"
