"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 1+ Biomass (mt)","Spawning Output","Fraction Unfished"
2023,856.34,420,88366,8273.34,0.406902
2024,872.85,420,88980.6,8275.64,0.407015
2025,888.932,776.927,89609.7,8284.28,0.40744
2026,899.902,778.416,89881.2,8273.27,0.406898
2027,910.213,780.052,90156.6,8267.04,0.406592
2028,919.89,780.987,90434.9,8265.16,0.4065
2029,929,781.289,90716.2,8267.24,0.406602
2030,937.619,781.036,91000.7,8272.85,0.406878
2031,945.821,781.248,91288.5,8281.59,0.407308
2032,953.662,780.096,91578.9,8292.98,0.407868
2033,961.203,778.575,91873.2,8306.7,0.408543
2034,968.476,777.686,92171.7,8322.42,0.409316
