Label,Phase,23.model.fleetstruct_5,23.model.francis
SR_LN(R0),4,10.1844,10.2053
LnQ_base_Triennial1(4),-1,-1.12744,-0.957784
LnQ_base_NWFSCcombo(6),-1,-0.537788,-0.278364
