Label,Phase,23.model.francis_2,23.blkret.T1,23.blkret.T2,23.blkret.T3,23.blkret.T4,23.blkret.T3.NT1,23.blkret.T3.NT2
SR_LN(R0),4,9.35448,9.36919,9.31623,9.33206,9.35434,9.33256,9.33406
LnQ_base_Triennial1(4),-1,-0.472564,-0.491103,-0.405748,-0.428511,-0.476098,-0.422171,-0.422217
LnQ_base_NWFSCcombo(6),-1,0.182302,0.173774,0.294271,0.281613,0.200687,0.289836,0.288827
