"Year","est","lwr","upr","log_est","se","spp"
2003,4428.63485018053,2602.87062495097,7535.06780099873,8.39584665531793,0.271166438789812,"short"
2004,8753.8656931494,5360.42599517402,14295.536332875,9.07725067529243,0.250235183678243,"short"
2005,6503.17059393968,3935.83795097704,10745.1648926205,8.78004512063897,0.256211868313397,"short"
2006,4620.07441330471,2568.51525581396,8310.28257907255,8.43816609072198,0.299537545527402,"short"
2007,3090.79891015617,1569.35478213958,6087.23917099129,8.03618488345039,0.345804842188035,"short"
2008,5772.06500069312,3350.56147442369,9943.62724771587,8.6607851812117,0.277506102367833,"short"
2009,10919.1425825384,6525.60975308013,18270.7331957028,9.29827272813362,0.262649240303099,"short"
2010,17207.1939281621,8708.21509288591,34000.942756141,9.75308282699604,0.347486336336666,"short"
2011,6546.79691868879,4127.3071210239,10384.6281940657,8.78673118897249,0.235387358200193,"short"
2012,6355.60297752922,3966.30951359398,10184.1999646105,8.75709206150318,0.240566009087045,"short"
2013,6547.59966649444,3750.37606663028,11431.1366729678,8.78685379833466,0.284312571230422,"short"
2014,2648.69091017181,1423.19717355976,4929.43891961165,7.88182080076238,0.316924012526657,"short"
2015,1900.0004849152,858.382587109048,4205.58606021606,7.54960942037303,0.405394956650918,"short"
2016,1917.13524457689,942.047338440898,3901.51046133386,7.55858729067546,0.362522867687545,"short"
2017,2137.42854258074,945.468557739294,4832.102281183,7.66735876988053,0.416169962003094,"short"
2018,2054.72662683072,1024.91936411425,4119.25236153163,7.62789808977506,0.354868189385216,"short"
2019,1493.87482219886,540.532350947931,4128.63722307466,7.30912857516695,0.518669778707543,"short"
2021,1704.84616067741,804.001846958325,3615.04198351323,7.4412301573051,0.383491021695133,"short"
2022,3320.89680591594,1877.82428073259,5872.94333591225,8.10799014769792,0.290883436654696,"short"
