"type","Quantity","values"
Mohn,SSB,-0.335310022550846
Mohn,Recruitment,-0.0899310020232901
Mohn,Fraction unfished,-0.155769435905652
Mohn,F,0.509786032545647
NEFSC,SSB,-0.196191320280238
NEFSC,Recruitment,-0.18155941529565
NEFSC,Fraction unfished,-0.0110372235036764
NEFSC,F,0.221784434667355
AFSC,SSB,-0.0670620045101691
AFSC,Recruitment,-0.017986200404658
AFSC,F,0.101957206509129
AFSC,Fraction unfished,-0.0311538871811304
