Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.sq.floatQ,Main_InitAge_33,0.00808512,6,-5,5,0,-8.41656e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_32,0.00826157,6,-5,5,0,-9.94371e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_31,0.00843759,6,-5,5,0,1.71714e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_30,0.00861298,6,-5,5,0,2.07759e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_29,0.00878729,6,-5,5,0,-6.7736e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_28,0.00896362,6,-5,5,0,-1.61501e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_27,0.00914387,6,-5,5,0,4.47269e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_26,0.00932347,6,-5,5,0,6.75282e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_25,0.00950503,6,-5,5,0,-1.81541e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_24,0.00968805,6,-5,5,0,-1.78727e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_23,0.00987339,6,-5,5,0,1.03704e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_22,0.0101152,6,-5,5,0,1.15815e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_21,0.0104593,6,-5,5,0,8.33001e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_20,0.0107543,6,-5,5,0,1.00116e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_19,0.0111694,6,-5,5,0,-3.54972e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_18,0.0114702,6,-5,5,0,-9.05558e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_17,0.0117505,6,-5,5,0,-8.95584e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_16,0.0119854,6,-5,5,0,9.12035e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_15,0.0121394,6,-5,5,0,-6.11865e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_14,0.0123329,6,-5,5,0,3.30835e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_13,0.0125908,6,-5,5,0,-1.24217e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_12,0.0128109,6,-5,5,0,4.36825e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_11,0.012919,6,-5,5,0,-1.88034e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_10,0.0131544,6,-5,5,0,-9.22613e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_9,0.0132061,6,-5,5,0,-4.74045e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_8,0.0132653,6,-5,5,0,1.05429e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_7,0.0131873,6,-5,5,0,1.94032e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_6,0.0130389,6,-5,5,0,1.00727e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_5,0.0126144,6,-5,5,0,-1.88581e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_4,0.0121253,6,-5,5,0,-1.06626e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_3,0.0117744,6,-5,5,0,7.94088e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_2,0.0111355,6,-5,5,0,1.20671e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_InitAge_1,0.00162906,6,-5,5,0,8.30139e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1901,0.0104893,6,-5,5,0,1.11652e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1902,0.0101231,6,-5,5,0,-1.3788e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1903,0.00946507,6,-5,5,0,-6.46277e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1904,0.00899977,6,-5,5,0,1.00221e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1905,0.00837197,6,-5,5,0,7.72041e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1906,0.00754268,6,-5,5,0,-1.14774e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1907,0.00654576,6,-5,5,0,1.60438e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1908,0.00589991,6,-5,5,0,-4.59431e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1909,0.00477775,6,-5,5,0,-1.12197e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1910,0.00396667,6,-5,5,0,8.68559e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1911,0.00407202,6,-5,5,0,-3.07448e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1912,0.00425765,6,-5,5,0,1.47839e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1913,0.00426191,6,-5,5,0,-1.742e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1914,0.00456057,6,-5,5,0,7.50291e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1915,0.00459226,6,-5,5,0,6.42979e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1916,0.00473956,6,-5,5,0,2.68235e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1917,0.00503354,6,-5,5,0,-1.34825e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1918,0.00551089,6,-5,5,0,-5.07581e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1919,0.00621537,6,-5,5,0,-7.13489e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1920,0.00719715,6,-5,5,0,1.20295e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1921,0.00851464,6,-5,5,0,-3.18203e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1922,0.0102362,6,-5,5,0,-4.72001e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1923,0.0124406,6,-5,5,0,1.30078e-5,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1924,0.015216,6,-5,5,0,-1.18411e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1925,0.0186662,6,-5,5,0,1.62368e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1926,0.0229065,6,-5,5,0,7.82243e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1927,0.0280676,6,-5,5,0,9.41777e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1928,0.0342957,6,-5,5,0,-1.07803e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1929,0.0417536,6,-5,5,0,-1.24099e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1930,0.0506212,6,-5,5,0,4.0277e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1931,0.061094999999999997,6,-5,5,0,4.93796e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1932,0.0733879,6,-5,5,0,-3.34631e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1933,0.0877284,6,-5,5,0,-2.06565e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1934,0.104356,6,-5,5,0,1.34676e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1935,0.123518,6,-5,5,0,-1.79538e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1936,0.145463,6,-5,5,0,-6.19591e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1937,0.170424,6,-5,5,0,1.44352e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1938,0.198598,6,-5,5,0,8.12983e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1939,0.230105,6,-5,5,0,-8.11402e-8,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1940,0.264929,6,-5,5,0,-5.54687e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1941,0.302813,6,-5,5,0,1.68451e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1942,0.343084,6,-5,5,0,-2.68818e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1943,0.384412,6,-5,5,0,-4.50017e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1944,0.424333,6,-5,5,0,-1.0607e-8,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1945,0.458944,6,-5,5,0,6.74432e-8,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1946,0.482683,6,-5,5,0,2.53193e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1947,0.489366,6,-5,5,0,-1.04616e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1948,0.4741,6,-5,5,0,-1.0127e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1949,0.435957,6,-5,5,0,-2.83301e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1950,0.37854,6,-5,5,0,-5.88811e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1951,0.307409,6,-5,5,0,-6.70633e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1952,0.227839,6,-5,5,0,-3.46532e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1953,0.144062,6,-5,5,0,3.99783e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1954,0.0590209,6,-5,5,0,2.67271e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1955,-0.0252073,6,-5,5,0,-1.82614e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1956,-0.107093,6,-5,5,0,-5.06237e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1957,-0.185356,6,-5,5,0,-3.12342e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1958,-0.25897,6,-5,5,0,-7.62511e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1959,-0.326683,6,-5,5,0,-6.76936e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1960,-0.38695,6,-5,5,0,-5.57556e-8,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1961,-0.437698,6,-5,5,0,1.22433e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1962,-0.476107,6,-5,5,0,-1.49658e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1963,-0.49856,6,-5,5,0,-2.5636e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1964,-0.500907,6,-5,5,0,-3.69892e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1965,-0.479585,6,-5,5,0,-4.37881e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1966,-0.432783,6,-5,5,0,7.91276e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1967,-0.361725,6,-5,5,0,1.67595e-8,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1968,-0.271621,6,-5,5,0,-1.61451e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1969,-0.172161,6,-5,5,0,2.44387e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1970,-0.080714,6,-5,5,0,5.74687e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1971,-0.0208132,6,-5,5,0,-3.25095e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1972,-0.00641088,6,-5,5,0,-1.59211e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1973,-0.0311911,6,-5,5,0,4.26513e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1974,-0.0845871,6,-5,5,0,1.08794e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1975,-0.148111,6,-5,5,0,2.34212e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1976,-0.194123,6,-5,5,0,8.14073e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1977,-0.203077,6,-5,5,0,1.39432e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1978,-0.176369,6,-5,5,0,1.27188e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1979,-0.137019,6,-5,5,0,1.40676e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1980,-0.0943047,6,-5,5,0,1.76059e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1981,-0.0229667,6,-5,5,0,2.0235e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1982,0.06008,6,-5,5,0,1.38529e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1983,0.109902,6,-5,5,0,-1.63353e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1984,0.137562,6,-5,5,0,2.16515e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1985,0.162904,6,-5,5,0,-3.02009e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1986,0.159399,6,-5,5,0,-6.22233e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1987,0.117185,6,-5,5,0,-1.52795e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1988,0.0616537,6,-5,5,0,-2.07313e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1989,0.0411141,6,-5,5,0,-1.3416e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1990,0.0711928,6,-5,5,0,9.18037e-8,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1991,0.112012,6,-5,5,0,1.18611e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1992,0.0160947,6,-5,5,0,8.43323e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1993,-0.222669,6,-5,5,0,2.00058e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1994,-0.39351,6,-5,5,0,2.11146e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1995,-0.410999,6,-5,5,0,1.82978e-6,dev,NA,NA,NA,NA,NA
