"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"10","SR_LN(R0)",9,276.507,0.000130289,14264.1,3523.13,0.246993,2
"9","SR_LN(R0)",9.05,271.652,5.23318e-05,14995.4,3950.86,0.263471,2
"8","SR_LN(R0)",9.1,267.699,6.10789e-05,15764.3,4422.75,0.280556,2
"7","SR_LN(R0)",9.15,264.573,9.09543e-05,16572.5,4939.54,0.298056,2
"6","SR_LN(R0)",9.2,262.151,2.99834e-05,17422.2,5496.48,0.315487,2
"5","SR_LN(R0)",9.25,260.308,7.64884e-05,18315.5,6094.36,0.332744,2
"4","SR_LN(R0)",9.3,258.971,0.000293859,19254.5,6747.53,0.350439,2
"3","SR_LN(R0)",9.35,258.064,0.000517161,20241.7,7453.76,0.368238,2
"2","SR_LN(R0)",9.4,257.529,0.00104812,21279.5,8224.6,0.386503,2
"1","SR_LN(R0)",9.45,257.321,4.83525e-05,22370.5,9068.6,0.405381,2
"11","SR_LN(R0)",9.46106,257.314,0.00420532,22619.3,9264.86,0.409599,2
"12","SR_LN(R0)",9.5,257.392,0.000139924,23517.5,9984.4,0.424552,2
"13","SR_LN(R0)",9.55,257.692,0.000175791,24723.3,10974.2,0.443883,2
"14","SR_LN(R0)",9.6,258.177,0.000731372,25990.9,12035.3,0.463057,2
"15","SR_LN(R0)",9.65,258.804,0.000793701,27323.4,13169.7,0.481991,2
"16","SR_LN(R0)",9.7,259.544,0.000168809,28724.3,14377.7,0.500539,2
"17","SR_LN(R0)",9.75,260.369,0.000681915,30197.1,15660.3,0.518603,2
"18","SR_LN(R0)",9.8,261.26,0.00202042,31745.3,17019.3,0.536121,2
"19","SR_LN(R0)",9.85,262.199,0.00142052,33372.9,18454.1,0.552965,3
"20","SR_LN(R0)",9.9,263.168,0.000185434,35084,19970.3,0.569214,3
"21","SR_LN(R0)",9.95,264.159,9.45299e-05,36882.8,21568,0.584772,3
"22","SR_LN(R0)",10,265.166,3.09306e-05,38773.8,23256.2,0.599792,3
