"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2013,9626.13,6360.32,12891.94,0.43468,0.36004,0.50932
2014,9475.88,6228.08,12723.68,0.427896,0.352949,0.502843
2015,9347.67,6116.43,12578.91,0.422106,0.346935,0.497277
2016,9227.73,6011.25,12444.21,0.41669,0.34127,0.49211
2017,9111.75,5908.05,12315.45,0.411453,0.335709,0.487197
2018,8996.77,5803.83,12189.71,0.406261,0.330111,0.482411
2019,8902.13,5717.87,12086.39,0.401987,0.325476,0.478498
2020,8828.55,5650.96,12006.14,0.398665,0.321847,0.475483
2021,8786.86,5613.7,11960.02,0.396782,0.319776,0.473788
2022,8754.15,5582.89,11925.41,0.395305,0.318059,0.472551
2023,8716.84,5544.91,11888.77,0.39362,0.31599,0.47125
