"Year","Total Biomass (mt)","Spawning Output","Total Biomass 1+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","(1-SPR)/(1-SPR_50%)","Exploitation Rate"
1901,"216,876","22,145","216,864","100.0","12,739",0.112404,"0.000",5.18315626383355e-07
1902,"216,877","22,145","216,866","100.0","12,742",0.138343,"0.000",6.37919268119484e-07
1903,"216,879","22,145","216,867","100.0","12,741",0.163048,"0.000",7.5183407341827e-07
1904,"216,882","22,145","216,870","100.0","12,724",0.188987,"0.000",8.71429888873519e-07
1905,"216,885","22,145","216,873","100.0","12,705",0.213691,"0.000",9.8532781858507e-07
1906,"216,888","22,145","216,876","100.0","12,698",0.239631,"0.000",1.10492170641288e-06
1907,"216,892","22,145","216,880","100.0","12,690",0.26557,"0.000",1.22450202877167e-06
1908,"216,897","22,145","216,885","100.0","12,673",0.290275,"0.000",1.33838209189202e-06
1909,"216,902","22,145","216,890","100.0","12,661",0.316214,"0.000",1.45794642445479e-06
1910,"216,908","22,145","216,896","100.0","12,636",0.340919,"0.000",1.57180860873414e-06
1911,"216,914","22,145","216,902","100.0","12,628",0.366859,"0.000",1.69135830928253e-06
1912,"216,921","22,145","216,909","100.0","12,660",0.391564,"0.000",1.80519941542306e-06
1913,"216,928","22,145","216,917","100.0","12,703",0.417505,"0.000",1.9247223592434e-06
1914,"216,937","22,146","216,925","100.0","12,714",0.442211,"0.000",2.03854327532557e-06
1915,"216,946","22,146","216,934","100.0","12,655",0.468153,"0.000",2.15804346022292e-06
1916,"216,956","22,146","216,944","100.0","12,640",0.49286,"0.000",2.27183051847481e-06
1917,"216,966","22,146","216,954","100.0","12,632",0.518803,"0.000",2.39130414742296e-06
1918,"216,977","22,146","216,965","100.0","12,617",0.543511,"0.000",2.50506302859908e-06
1919,"216,988","22,146","216,976","100.0","12,638",0.569455,"0.000",2.62450685790133e-06
1920,"216,999","22,147","216,988","100.0","12,599",0.594163,"0.000",2.73822976385791e-06
1921,"217,011","22,147","217,000","100.0","12,522",0.620107,"0.000",2.85763594470046e-06
1922,"217,023","22,148","217,012","100.0","12,551",0.64605,"0.000",2.97702431201961e-06
1923,"217,035","22,148","217,024","100.0","12,541",0.670759,"0.000",3.09071346947803e-06
1924,"217,047","22,149","217,035","100.0","12,522",0.696702,"0.000",3.21009053839243e-06
1925,"217,059","22,149","217,047","100.0","12,502",0.721409,"0.000",3.32374554819924e-06
1926,"217,070","22,150","217,059","100.0","12,482",0.747351,"0.000",3.44307768855472e-06
1927,"217,081","22,151","217,070","100.0","12,463",0.774528,"0.000",3.56810245542912e-06
1928,"217,092","22,152","217,080","100.0","12,444",1.29212,"0.001",5.95227565874332e-06
1929,"217,101","22,153","217,089","100.0","12,428",2.04564,"0.001",9.42304769011788e-06
1930,"217,108","22,154","217,097","100.0","12,414",1.71458,"0.001",7.89775998747104e-06
1931,"217,115","22,154","217,104","100.0","12,404",1.39958,"0.001",6.44658781045029e-06
1932,"217,121","22,156","217,110","100.0","12,399",0.51777379,"0.000",2.38484542397863e-06
1933,"217,127","22,157","217,116","100.1","12,398",0.76596572,"0.000",3.52791005729656e-06
1934,"217,131","22,158","217,120","100.1","12,402",6.037979,"0.005",2.78094095431098e-05
