Label,Phase,23.base.day2.update,23.model.SigmaR.non.zero
SR_LN(R0),4,9.48449,9.46695
LnQ_base_Triennial1(4),-1,-0.367219,-0.418727
LnQ_base_NWFSCcombo(6),-1,0.365154,0.244486
