Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.base.day2.update,NatM_break_1_Fem_GP_1,0.04,-3,0.01,0.15,0.04,NA,Log_Norm,-3.129,0.5361,0.0140528,0.04,0.04
23.base.day2.update,NatM_break_2_Fem_GP_1,0.04,-3,-3,3,0.04,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,L_at_Amin_Fem_GP_1,11.3832,-2,3,25,11.3832,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,L_at_Amax_Fem_GP_1,73.6079,-2,55,95,73.6079,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,VonBert_K_Fem_GP_1,0.00989856,-3,0.001,0.03,0.00989856,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,CV_young_Fem_GP_1,0.109034,-3,0.05,0.25,0.109034,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,CV_old_Fem_GP_1,0.109034,-3,-3,3,0.109034,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Wtlen_1_Fem_GP_1,4.86e-6,-3,0,100,4.86e-6,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Wtlen_2_Fem_GP_1,3.26,-3,0,100,3.26,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Mat50%_Fem_GP_1,31.4247,-3,0,100,31.4247,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Mat_slope_Fem_GP_1,-0.177291,-3,-3,100,-0.177291,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Eggs_scalar_Fem_GP_1,5.44e-8,-3,0,100,5.44e-8,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Eggs_exp_len_Fem_GP_1,3.978,-3,0,100,3.978,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,NatM_break_1_Mal_GP_1,0.04,-3,-3,3,0.04,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,NatM_break_2_Mal_GP_1,0.04,-3,-3,3,0.04,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,L_at_Amin_Mal_GP_1,9.1733,-3,-3,25,9.1733,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,L_at_Amax_Mal_GP_1,66.0728,-2,-3,75,66.0728,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,VonBert_K_Mal_GP_1,0.0167854,-3,-3,3,0.0167854,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,CV_young_Mal_GP_1,0.109034,-3,-3,3,0.109034,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,CV_old_Mal_GP_1,0.109034,-3,-3,3,0.109034,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Wtlen_1_Mal_GP_1,4.96e-6,-3,0,100,4.96e-6,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Wtlen_2_Mal_GP_1,3.25,-3,0,100,3.25,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,CohortGrowDev,1,-1,0.1,10,1,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,FracFemale_GP_1,0.5,-99,1e-8,1,0.5,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,SR_LN(R0),9.48449,4,7,13,9.33,1.7944e-5,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,SR_BH_steep,0.72,-2,0.2,1,0.72,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,SR_sigmaR,0.5,-4,0,2,0.5,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,SR_regime,0,-4,-5,5,0,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,SR_autocorr,0,-1,-1,1,0,NA,No_prior,NA,NA,NA,NA,NA
23.base.day2.update,Early_InitAge_1,0.014953,6,-5,5,0,5.9525e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1901,0.0154641,6,-5,5,0,-5.05891e-8,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1902,0.0157303,6,-5,5,0,2.43167e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1903,0.0156578,6,-5,5,0,1.20305e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1904,0.0139572,6,-5,5,0,1.89577e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1905,0.0121715,6,-5,5,0,2.31943e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1906,0.0112416,6,-5,5,0,2.10261e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1907,0.0102874,6,-5,5,0,1.70277e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1908,0.00838967,6,-5,5,0,2.23557e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1909,0.00697841,6,-5,5,0,1.71022e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1910,0.00446246,6,-5,5,0,4.14344e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1911,0.00338793,6,-5,5,0,-2.53322e-8,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1912,0.00626306,6,-5,5,0,4.0167e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1913,0.00977196,6,-5,5,0,4.89739e-8,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1914,0.00956655,6,-5,5,0,4.14821e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1915,0.00389971,6,-5,5,0,4.96305e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1916,0.00193131,6,-5,5,0,4.97228e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1917,4.65433e-4,6,-5,5,0,2.56204e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1918,-0.00162633,6,-5,5,0,1.54817e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1919,-0.00206739,6,-5,5,0,1.04865e-8,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1920,-0.00402103,6,-5,5,0,2.67788e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1921,-0.0141207,6,-5,5,0,3.82766e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1922,-0.0108989,6,-5,5,0,1.9525e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1923,-0.012699,6,-5,5,0,2.97709e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1924,-0.0154603,6,-5,5,0,8.12323e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1925,-0.0183629,6,-5,5,0,6.23976e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1926,-0.021373,6,-5,5,0,7.58264e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1927,-0.024449,6,-5,5,0,7.41558e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1928,-0.0275421,6,-5,5,0,4.15284e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1929,-0.0305979,6,-5,5,0,8.71754e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1930,-0.0335584,6,-5,5,0,5.11e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1931,-0.036366,6,-5,5,0,7.82774e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1932,-0.0389679,6,-5,5,0,7.4692e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1933,-0.0413227,6,-5,5,0,4.17805e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1934,-0.0434081,6,-5,5,0,6.10053e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1935,-0.0452297,6,-5,5,0,7.29777e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1936,-0.0468319,6,-5,5,0,5.21273e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1937,-0.0483089,6,-5,5,0,6.22929e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1938,-0.0498141,6,-5,5,0,9.97625e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1939,-0.0515687,6,-5,5,0,1.19824e-6,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1940,-0.0538664,6,-5,5,0,9.97787e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1941,-0.0570699,6,-5,5,0,9.60796e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1942,-0.0615992,6,-5,5,0,7.93645e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1943,-0.0679078,6,-5,5,0,4.8701e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1944,-0.0764468,6,-5,5,0,7.0249e-8,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1945,-0.0876205,6,-5,5,0,4.39388e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1946,-0.101734,6,-5,5,0,7.0706e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1947,-0.118949,6,-5,5,0,6.0381e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1948,-0.139245,6,-5,5,0,6.01105e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1949,-0.162404,6,-5,5,0,5.39319e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1950,-0.188021,6,-5,5,0,9.29128e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1951,-0.215002,6,-5,5,0,4.4666e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1952,-0.243046,6,-5,5,0,5.14298e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1953,-0.271356,6,-5,5,0,3.79915e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1954,-0.299066,6,-5,5,0,4.97819e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1955,-0.325265,6,-5,5,0,4.44615e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1956,-0.349044,6,-5,5,0,7.7308e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1957,-0.369457,6,-5,5,0,3.15532e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1958,-0.385596,6,-5,5,0,2.53694e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1959,-0.396516,6,-5,5,0,2.8138e-7,dev,NA,NA,NA,NA,NA
23.base.day2.update,Early_RecrDev_1960,-0.401164,6,-5,5,0,1.57868e-7,dev,NA,NA,NA,NA,NA
