length,pmat
6,6.348421560921502e-13
8,6.374056135272404e-11
10,6.399794180467958e-9
12,6.42563210725962e-7
14,6.451166397144643e-5
16,0.0064359440445429395
18,0.39407857442637867
20,0.9849171620448105
22,0.9998475009986755
24,0.9999984809136951
26,0.9999999848702075
28,0.9999999998493105
30,0.9999999999984992
32,0.9999999999999851
34,0.9999999999999998
36,1
38,1
40,1
42,1
44,1
46,1
48,1
50,1
52,1
54,1
56,1
58,1
60,1
62,1
64,1
66,1
68,1
70,1
72,1
