Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.model.recdevs_bias,Main_RecrDev_1965,-0.256803,6,-5,5,0,1.15514e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1966,-0.218164,6,-5,5,0,1.38934e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1967,-0.234105,6,-5,5,0,1.42648e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1968,-0.302237,6,-5,5,0,1.12204e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1969,-0.389774,6,-5,5,0,5.567e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1970,-0.456835,6,-5,5,0,4.32314e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1971,-0.474147,6,-5,5,0,3.53509e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1972,-0.428461,6,-5,5,0,2.51559e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1973,-0.326496,6,-5,5,0,4.0245e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1974,-0.206514,6,-5,5,0,1.01799e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1975,-0.139192,6,-5,5,0,3.89281e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1976,-0.162374,6,-5,5,0,-3.39289e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1977,-0.222728,6,-5,5,0,-6.15729e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1978,-0.250194,6,-5,5,0,-4.55811e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1979,-0.231562,6,-5,5,0,-4.34591e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1980,-0.211224,6,-5,5,0,-1.25885e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1981,-0.219593,6,-5,5,0,-7.23453e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1982,-0.221954,6,-5,5,0,-1.45824e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1983,-0.193705,6,-5,5,0,-5.61705e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1984,-0.0369561,6,-5,5,0,-1.74457e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1985,0.319609,6,-5,5,0,-1.61812e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1986,0.446739,6,-5,5,0,-2.35567e-7,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1987,0.144508,6,-5,5,0,1.30521e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1988,0.0935161,6,-5,5,0,1.39716e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1989,0.10094499999999999,6,-5,5,0,8.77352e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1990,0.193703,6,-5,5,0,3.38501e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1991,0.188918,6,-5,5,0,2.28616e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1992,0.114943,6,-5,5,0,2.02174e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1993,0.251439,6,-5,5,0,2.2086e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1994,0.221534,6,-5,5,0,9.26724e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1995,0.423805,6,-5,5,0,-7.03825e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1996,0.298153,6,-5,5,0,-6.7007e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1997,0.171645,6,-5,5,0,-1.49549e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1998,-0.241924,6,-5,5,0,-2.48538e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_1999,0.962422,6,-5,5,0,-4.61429e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2000,0.988966,6,-5,5,0,-6.27722e-5,dev,NA,NA,NA,NA,NA
