Label,Phase,23.model.francis_2,23.length.comp.reweight
SR_LN(R0),4,9.35448,10.2306
LnQ_base_Triennial1(4),-1,-0.472564,-1.08283
LnQ_base_NWFSCcombo(6),-1,0.182302,-0.437201
