"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",825.626,9.92854e-05,20293.7,10563.2,0,"Best Fit"
"2",825.626,0.000396166,20293.7,10563.2,0,"Best Fit"
"3",830.154,0.000170183,18287.8,9178.84,1,"0"
"4",974.812,0.000171592,18315.3,8498.77,0,"0"
"5",974.812,0.00103407,18315.3,8498.77,0,"0"
"6",974.812,0.00147807,18315.3,8498.77,0,"0"
"7",974.812,0.000362606,18315.3,8498.77,0,"0"
"8",825.626,0.00101865,20293.7,10563.2,0,"Best Fit"
"9",825.626,0.000141927,20293.7,10563.2,0,"Best Fit"
"10",825.626,0.000246498,20293.7,10563.2,0,"Best Fit"
"11",825.626,7.84113e-05,20293.7,10563.2,0,"Best Fit"
"12",974.812,0.000218612,18315.3,8498.77,0,"0"
"13",825.626,6.9426e-05,20293.7,10563.2,0,"Best Fit"
"14",825.626,0.000198831,20293.7,10563.2,0,"Best Fit"
"15",974.812,0.000701749,18315.3,8498.77,0,"0"
"16",825.626,7.47414e-05,20293.7,10563.2,0,"Best Fit"
"17",974.812,0.000381267,18315.3,8498.77,0,"0"
"18",825.626,0.000476835,20293.7,10563.2,0,"Best Fit"
"19",974.812,0.000461687,18315.3,8498.77,0,"0"
"20",974.812,0.00036464,18315.3,8498.77,0,"0"
"21",974.812,0.000360514,18315.3,8498.77,0,"0"
"22",825.626,0.00100357,20293.7,10563.2,0,"Best Fit"
"23",825.626,9.45791e-05,20293.7,10563.2,0,"Best Fit"
"24",974.812,0.00163588,18315.3,8498.77,0,"0"
"25",825.626,8.95543e-05,20293.7,10563.2,0,"Best Fit"
"26",974.812,9.96346e-05,18315.3,8498.77,0,"0"
"27",825.626,9.53806e-05,20293.7,10563.2,0,"Best Fit"
"28",825.626,0.00107762,20293.7,10563.2,0,"Best Fit"
"29",825.626,0.00076904,20293.7,10563.2,0,"Best Fit"
"30",825.626,0.000124036,20293.7,10563.2,0,"Best Fit"
"31",825.626,8.58429e-05,20293.7,10563.2,0,"Best Fit"
"32",825.626,0.000740702,20293.7,10563.2,0,"Best Fit"
"33",825.626,8.9711e-05,20293.7,10563.2,0,"Best Fit"
"34",825.626,0.000591314,20293.7,10563.2,0,"Best Fit"
"35",825.626,0.000825046,20293.7,10563.2,0,"Best Fit"
"36",825.626,3.37467e-05,20293.7,10563.2,0,"Best Fit"
"37",825.626,0.000240216,20293.7,10563.2,0,"Best Fit"
"38",825.626,0.00022577,20293.7,10563.2,0,"Best Fit"
"39",825.626,4.43755e-05,20293.7,10563.2,0,"Best Fit"
"40",974.812,7.03029e-05,18315.3,8498.77,0,"0"
"41",974.812,2.74001e-05,18315.3,8498.77,0,"0"
"42",825.626,0.000128026,20293.7,10563.2,0,"Best Fit"
"43",974.812,0.00113006,18315.3,8498.77,0,"0"
"44",825.626,0.000258659,20293.7,10563.2,0,"Best Fit"
"45",825.626,0.000394704,20293.7,10563.2,0,"Best Fit"
"46",825.626,0.000195627,20293.7,10563.2,0,"Best Fit"
"47",825.626,6.4266e-05,20293.7,10563.2,0,"Best Fit"
"48",974.812,0.00101813,18315.3,8498.77,0,"0"
"49",825.626,0.000170213,20293.7,10563.2,0,"Best Fit"
"50",825.626,0.000148575,20293.7,10563.2,0,"Best Fit"
"51",974.812,9.87715e-05,18315.3,8498.77,0,"0"
"52",974.812,0.00128067,18315.3,8498.77,0,"0"
"53",825.626,0.000166668,20293.7,10563.2,0,"Best Fit"
"54",825.626,0.000208785,20293.7,10563.2,0,"Best Fit"
"55",825.626,3.88829e-05,20293.7,10563.2,0,"Best Fit"
"56",974.812,0.000302209,18315.3,8498.77,0,"0"
"57",825.626,8.02318e-05,20293.7,10563.2,0,"Best Fit"
"58",825.626,0.000216794,20293.7,10563.2,0,"Best Fit"
"59",974.812,0.00252647,18315.3,8498.77,0,"0"
"60",825.626,0.000259917,20293.7,10563.2,0,"Best Fit"
"61",825.626,0.00010387,20293.7,10563.2,0,"Best Fit"
"62",825.626,0.00020012,20293.7,10563.2,0,"Best Fit"
"63",829.744,0.000363658,18472.8,9298.15,1,"0"
"64",974.812,4.39767e-05,18315.3,8498.77,0,"0"
"65",974.812,0.000257836,18315.3,8498.77,0,"0"
"66",825.626,2.64919e-05,20293.7,10563.2,0,"Best Fit"
"67",974.812,0.000389104,18315.3,8498.77,0,"0"
"68",974.812,0.000127589,18315.3,8498.77,0,"0"
"69",974.812,0.000161463,18315.3,8498.77,0,"0"
"70",825.626,0.000303621,20293.7,10563.2,0,"Best Fit"
"71",825.626,0.000311445,20293.7,10563.2,0,"Best Fit"
"72",825.626,0.00012454,20293.7,10563.2,0,"Best Fit"
"73",825.626,0.00087267,20293.7,10563.2,0,"Best Fit"
"74",825.626,0.000107708,20293.7,10563.2,0,"Best Fit"
"75",825.626,0.000823848,20293.7,10563.2,0,"Best Fit"
"76",825.626,9.42409e-05,20293.7,10563.2,0,"Best Fit"
"77",825.626,0.000179275,20293.7,10563.2,0,"Best Fit"
"78",825.626,3.00657e-05,20293.7,10563.2,0,"Best Fit"
