

 Females then males 
"year","month","fleet","sex","partition","Ntows","Nsamps","InputN","F6","F8","F10","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","F68","F70","F72","M6","M8","M10","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M68","M70","M72"
1985,7,"CA_NONTWL",3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,7,"CA_NONTWL",3,2,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1509,0,0,0.1461,0.1509,0,0.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1509,0,0,0,0.1159,0.0478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,7,"CA_NONTWL",3,2,11,47,17,0,0,0,0,0,0,0,0,0,0.004,0.004,0.0039,0.0039,0,0.0541,0.0541,0.0254,0.0541,0.1082,0,0.0541,0,0,0,0.0541,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0.002,0.002,0.01,0.1142,0.1102,0.1095,0.002,0,0.0041,0.1082,0.0541,0.056,0,0,0.002,0,0,0,0,0,0,0,0,0
1988,7,"CA_NONTWL",3,2,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2446,0,0,0,0.2446,0,0.2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,7,"CA_NONTWL",3,2,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854,0.3689,0.3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854,0,0,0,0,0.1534,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,7,"CA_NONTWL",3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,"CA_NONTWL",3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,7,"CA_NONTWL",3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,"CA_NONTWL",3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,"CA_NONTWL",3,2,3,39,8,0,0,0,0,0,0,0,0,0,0,0,0.1738,0.0736,0,0,0.009,0.0094,0,0.0094,0,0.0094,0,0.0128,0.0189,0,0,0,0,0.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736,0.321,0.0736,0,0.0094,0.0313,0.0181,0.0551,0.0094,0.0271,0.0279,0.009,0.0094,0,0.009,0,0,0,0,0,0,0,0
2002,7,"CA_NONTWL",3,2,5,96,18,0,0,0,0,0,0,0,0,0,0,0.1305,0.0759,0.1532,0.0091,0.0045,0,0,0,0.0103,0.0103,0,0,0,0.0114,0,0,0.0114,0,0,0,0.0114,0.0103,0,0,0,0,0,0,0,0,0,0,0,0.0026,0.0643,0.1502,0.1206,0.0175,0.0026,0,0,0,0.0422,0.0205,0.0763,0,0.0217,0.033,0,0.0103,0,0,0,0,0,0,0,0
2003,7,"CA_NONTWL",3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,"CA_NONTWL",3,2,2,24,5,0,0,0,0,0,0,0,0,0,0,0.263,0.1315,0.1185,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593,0.25,0.0593,0.0593,0,0,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,"CA_NONTWL",3,2,6,51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109,0.0109,0.0217,0.0544,0.0109,0,0.0701,0.0217,0.085,0.095,0.1116,0.0483,0.0109,0,0.0366,0,0,0.0375,0,0.0366,0,0,0,0,0,0,0,0,0,0,0.0109,0.0109,0,0,0.0109,0,0.0967,0.0109,0.0801,0.0217,0.0366,0.0217,0,0,0.0375,0,0,0,0,0,0,0,0,0
2006,7,"CA_NONTWL",3,2,9,54,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.0181,0.009,0.009,0.009,0.0271,0.0271,0.0362,0.0181,0,0.0181,0.0271,0,0.009,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0.0588,0.0362,0.4485,0.0452,0.009,0,0.009,0.0181,0.0271,0.0181,0.0271,0.009,0,0.009,0,0,0,0,0,0,0
2007,7,"CA_NONTWL",3,2,3,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0.6419,0,0.0275,0.0138,0.0275,0,0,0.0551,0.0413,0,0.0275,0,0.0138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138,0.0413,0.0275,0.0275,0,0.0138,0.0138,0,0,0,0.0138,0,0,0,0,0,0,0,0,0,0,0
