"Year","Season","Fleet","Value","seLogB"
"1995",7,6,5201134.05492991,0.185258944422736
"1998",7,6,3783995.13283702,0.168827629890035
"2001",7,6,4610888.6658235,0.135582055588218
"2004",7,6,5103473.76419581,0.198659768442002
