"year","month","fleet","sex","partition","InputN","U6","U8","U10","U12","U14","U16","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U68","U70","U72","U6.1","U8.1","U10.1","U12.1","U14.1","U16.1","U18.1","U20.1","U22.1","U24.1","U26.1","U28.1","U30.1","U32.1","U34.1","U36.1","U38.1","U40.1","U42.1","U44.1","U46.1","U48.1","U50.1","U52.1","U54.1","U56.1","U58.1","U60.1","U62.1","U64.1","U66.1","U68.1","U70.1","U72.1"
1997,"Enter Month","Enter Fleet",0,0,"Enter Samps",0.314515569106675,3.3788364145041,17.3307215336058,25.763467736643,35.2668560841222,15.4395843824268,2.26918970054781,0.0726553300298031,0.164173249013756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314515569106675,3.3788364145041,17.3307215336058,25.763467736643,35.2668560841222,15.4395843824268,2.26918970054781,0.0726553300298031,0.164173249013756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,"Enter Month","Enter Fleet",0,0,"Enter Samps",0.213552986189577,2.18809362119024,13.6173424282342,30.3508583158879,34.9048697360997,14.66220048343,3.87982742295151,0.183255006016908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649048694278801,2.18809362119024,13.6173424282342,30.3508583158879,34.9048697360997,14.66220048343,3.87982742295151,0.183255006016908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",0,0,"Enter Samps",3.35890539501427,11.8810555558456,9.35959302187761,41.0621500540085,28.2592796169406,3.88159303063948,0.566881074459883,0.748503865455584,0.374251932727792,0,0,0.0445115067676154,0.374251932727792,0,0.0445115067676154,0.0445115067676154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35890539501427,11.8810555558456,9.35959302187761,41.0621500540085,28.2592796169406,3.88159303063948,0.566881074459883,0.748503865455584,0.374251932727792,0,0,0.0445115067676154,0.374251932727792,0,0.0445115067676154,0.0445115067676154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Enter Month","Enter Fleet",0,0,"Enter Samps",0.797909227663885,5.07437873729593,16.3531658049888,18.6248916743569,19.2664409936635,16.3877874390468,5.26926944635557,5.91479550649234,1.31439900144274,2.62879800288549,3.94319700432823,2.93989603914248,0.827871621615914,0,0.657199500721371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797909227663885,5.07437873729593,16.3531658049888,18.6248916743569,19.2664409936635,16.3877874390468,5.26926944635557,5.91479550649234,1.31439900144274,2.62879800288549,3.94319700432823,2.93989603914248,0.827871621615914,0,0.657199500721371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
