"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U21","U22","U23","U24","U25","U26","U27","U28","U29","U30","U31","U32","U33","U34","U35","U36","U37","U38","U39","U40","U1.1","U2.1","U3.1","U4.1","U5.1","U6.1","U7.1","U8.1","U9.1","U10.1","U11.1","U12.1","U13.1","U14.1","U15.1","U16.1","U17.1","U18.1","U19.1","U20.1","U21.1","U22.1","U23.1","U24.1","U25.1","U26.1","U27.1","U28.1","U29.1","U30.1","U31.1","U32.1","U33.1","U34.1","U35.1","U36.1","U37.1","U38.1","U39.1","U40.1"
1988,"Enter Month","Enter Fleet",0,0,"Enter","Enter","Enter",345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,"Enter Month","Enter Fleet",0,0,"Enter","Enter","Enter",221,0,6.6158529308626,16.3687181266665,15.1320343180904,17.0323015752075,6.97524551608408,4.41056862057506,2.20528431028753,4.46570914322888,0,4.46570914322888,17.8628671725397,4.46570914322888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6158529308626,16.3687181266665,15.1320343180904,17.0323015752075,6.97524551608408,4.41056862057506,2.20528431028753,4.46570914322888,0,4.46570914322888,17.8628671725397,4.46570914322888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
