"Year","Season","Fleet","Value","seLogB"
"1997",7,7,43486937.1321369,0.0888154069150897
"1999",7,7,43474612.9702359,0.0837296377216965
"2000",7,7,55589744.1108773,0.0972136125936433
"2001",7,7,54692648.5651974,0.10045980221194
