"year","month","fleet","sex","partition","InputN","F.999","F6","F8","F10","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","F68","F70","F72","M.999","M6","M8","M10","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M68","M70","M72"
2005,7,9,3,0,2176,0.0158134025080753,0.14877008314986,0.389466067873831,1.04364810770882,1.74433388938902,2.87365645412003,2.0416710356484,2.41859561201635,5.01818144541519,5.16007243755039,5.53967487684475,4.0752984744874,3.0836549509139,2.26492230894863,2.05204364404731,1.69061650237818,1.44396073569544,1.27298640792268,0.82947697719859,0.83812891926971,0.656022087665369,0.66802814955783,0.610847269253213,0.578777251472946,0.289731043339717,0.276160154446209,0.272563697323198,0.173058142623408,0.125299107852738,0.0987849765284528,0.0969413544015903,0.0439173809088018,0,0.020938228807989,0,0.0158134025080753,0.14877008314986,0.389466067873831,1.04364810770882,1.75581524455751,3.04644580964778,2.04471133223838,3.15703954690273,5.5213165752395,6.60610983950351,5.80455383672562,4.384535168604,3.24635192288716,2.47095619608156,2.46556186782669,1.79414385548267,1.52111978877223,1.37473304651844,1.38961856165906,0.771320313953622,0.800094115515601,0.809889117602561,0.538169669109074,0.337169821145349,0.284421068481891,0.0973166555324948,0.162741293249667,0.0696301549611936,0.0447380393817131,0.0336684431682713,0.0140898767431022,0,0,0,0
2006,7,9,3,0,2294,0.00944325200980481,0.0791650795897164,0.273635798789319,0.489992975283918,1.29008552133871,2.20299269876015,2.61790490109878,2.25189785511444,3.72338722785052,5.5580812622973,5.36785417958225,5.3812642893829,3.25315661547875,2.43598391056319,2.42440381778333,1.64864958764891,1.3754435241998,1.48766909038612,1.13711339706843,0.975215159926553,0.864114917639583,0.721238842495479,0.80252892692427,0.590241489774429,0.608088252780233,0.632146148181996,0.416302469000695,0.360057214526176,0.287146058775194,0.23061401058846,0.0705011781121515,0.0732798905238295,0.114007329026972,0.0230891699738382,0.0160249400910697,0.00944325200980481,0.0791650795897164,0.273635798789319,0.489992975283918,1.29881952794593,2.15927350108769,2.11800434112814,2.58511390954603,3.71645683503345,4.53645468562839,5.22974434279828,4.93345275120025,3.9692495593665,2.91049457766867,2.54811478930167,2.27112031748264,1.8240189351588,1.82210970844606,1.2510305909287,1.33727173633217,0.896340515873968,1.27215226499113,0.910861382274313,0.619316909455601,0.33361665517246,0.424711442734069,0.196342617206945,0.0383520582010237,0.0596112111540648,0.0846405633524397,0.00836618229059935,0,0,0,0
2007,7,9,3,0,2535,0,0.0421239286568695,0.347883095915309,0.801454094327261,1.1615277849919,2.03585483779659,3.09369878077197,3.51570350710739,4.07813705011916,7.57370562550447,5.83488162211129,5.75406741934704,3.40168622824019,3.1169465008787,1.90427419555489,1.72597312019861,1.76126066661577,1.36845785396637,1.05535046494744,1.06766476713382,0.632136498414913,0.734117816829089,0.626507036857873,0.609504995978967,0.481475530351952,0.300134344730288,0.309938159116124,0.242615025533138,0.218982266028606,0.25267939870825,0.0648118726109678,0.0529947196872206,0.0447697214666748,0.0188816207505123,0.0881500537810351,0,0.0421239286568695,0.300487684097349,0.815281493102993,1.09746820823246,1.9637674215444,3.31111924040788,3.5197680695858,3.78584343738309,5.37452681712037,5.64000065750503,4.05369941910235,2.10541475647565,2.27767040401782,1.528594811707,1.87743664025941,1.1531543378469,1.21533433473473,1.00960422789959,1.1476362129832,0.809039679732579,0.557131132991417,0.402842444337104,0.63790049180974,0.377077277886505,0.295198417992183,0.202887155297538,0.0503110414748203,0.0617508867155795,0.0685787640689955,0,0,0,0,0
2008,7,9,3,0,2501,0.045653057089269,0.12263683205546,0.377324131927375,0.407756939693925,1.19659404429298,2.18077562725102,3.0069884805343,2.38542414634681,3.50155140889643,4.53991331091269,5.34036268127534,3.64159366123915,3.07614005671119,2.46291167388028,1.96845930190219,2.45323078007787,1.43861158255398,1.1242920918509,1.0348067932495,0.975491851172534,0.983059676,0.907457375154372,0.70107456286895,0.556492769261587,0.526392592007018,0.589611616480365,0.367288496336176,0.27185430291359,0.267825243735248,0.194589810867925,0.158490748079388,0.0915935607770406,0.0221728038390099,0.0102000281274668,0.0132859932819596,0.045653057089269,0.12263683205546,0.377324131927375,0.407756939693925,1.21669511763108,2.16628601142282,2.88356044931307,2.81326293218161,4.28125559481397,4.83252625730945,6.03276962363559,5.64491379442863,3.8080290872116,3.3186901883353,3.43249020054649,1.9426352533103,1.5120873553866,1.72932103642553,1.34899650037131,0.997006123506613,0.936646183260512,0.836274445590738,0.745303846003763,0.567598398378317,0.453424417181112,0.244185404748028,0.160405776922924,0.0966560818061868,0.0349348559966086,0.0243262499281263,0,0.0222199104722093,0.0222199104722093,0,0
2009,7,9,3,0,2349,0,0.288921615194802,0.896763613444902,0.664651785484699,0.896866343620733,1.70107240341854,2.46991282192758,2.23387545603637,2.50329935081378,3.34663471197852,3.27562325619418,3.32460375881619,3.53809107285356,2.99296895998398,3.03812743310974,2.38862523552449,2.34934650844725,1.6019650228033,2.56958599676879,1.38269913637543,1.46482646414004,1.21593537412742,0.845004726521999,0.514077365036986,0.351745009010059,0.331782668024697,0.344388905813426,0.345539950738079,0.208603739390852,0.127705282441676,0.0439685152557113,0.0686502182580411,0,0,0.00975703192723117,0,0.288921615194802,0.896763613444902,0.658728456937347,0.906316741538287,1.68270082364074,2.37930636336236,3.29509062451417,4.12605244730362,4.22846042394689,5.04105377999418,3.5537971158721,4.78322127338972,2.65588946183272,2.34295855933194,3.49007483301833,3.06124950526081,2.26759585799402,1.30967821609112,1.16850438499086,0.824180074666782,1.26185031491157,1.12583478385229,0.663878974389243,0.405406738962561,0.1145363634626,0.0913333523851114,0.0101609483003853,0.00690315651228687,0.0126840636795097,0.01124739773569,0,0,0,0
2010,7,9,3,0,2487,0.00638730823855798,0.234048495663269,1.2678772896556,1.44592053556951,1.74911138823781,1.96814325771397,2.49541368517294,2.55240029169047,2.83053174086409,4.47345200732452,4.75557509968496,3.69666058553721,2.2354857249094,3.0291614068717,2.14718738566048,2.45101153603557,1.68349970839442,1.61335392258318,1.31191355231625,0.837322288259119,0.881147168709321,0.552734767959211,0.609747691137483,0.43787357985536,0.739645030692867,0.308456731589586,0.400804440894053,0.29663121274813,0.219376532839372,0.246829903536705,0.0263489198708616,0.0295018256122232,0,0.00716492311714904,0,0.0134860152415912,0.286637673063879,1.28162477365549,1.44592053556951,1.74911138823781,2.02047351312989,2.26661663671378,3.46080557845294,4.73114474927438,5.21685862265389,7.03576519086795,4.17325955613132,2.68390124970182,2.06941740855597,2.03103668118045,2.03956412818421,1.8979482342794,1.45272211898357,1.49305282602735,1.02495838147443,1.06820259753931,0.96870779253303,0.784862996313121,0.337714066934304,0.346575990206807,0.244256813256126,0.114603963968247,0.13488392230303,0.0618823543394051,0.0165183736982803,0,0.00676592858337415,0,0,0
2011,7,9,3,0,2397,0.0250356768925683,0.173118107211262,0.453915629494177,1.03612010334455,1.27407348995779,1.49211883447469,1.75192235486335,2.66683707506306,3.39079043460972,4.23600503189453,4.70115659113593,4.31599888166285,3.50481163514542,3.21099633002359,2.44604112073761,2.0012783193547,1.47897011381866,1.37782660181405,1.2051589939456,1.159882894344,1.20070527686545,1.20037839014719,0.664177041260594,0.408877598650978,0.456130584596332,0.59335524823402,0.530592082679155,0.541316164595832,0.336471732731998,0.292279761630176,0.0552493492802531,0.0466596453475056,0.00890102461680407,0,0.0131011069043548,0.0250356768925683,0.173118107211262,0.453915629494177,1.03612010334455,1.28602820422556,1.43878136045418,2.22297985061112,3.1584060256448,4.40846753437113,5.63081417702386,5.51411836555249,5.53603534171007,3.3085358472857,2.37221050486454,2.19404533997528,2.5606858782905,1.93595225205079,1.9015998458633,1.20717159060312,1.17244010570033,1.03257287884445,0.890791029781614,0.801600400746635,0.415757785768627,0.333939047402292,0.298159144313491,0.156162117719031,0.164239973821227,0.0514008762358722,0.00828937103754009,0.0499550663531509,0.0104173394779734,0,0,0
2012,7,9,3,0,2411,0,0.0996242318120424,0.57144616362869,1.33835666983669,1.32170984938064,1.43634553205061,2.09287480064948,2.65302076736394,4.8019427892733,5.0754295803351,4.66164049828279,3.49771193576447,3.61588746908354,2.51451117266707,1.51156011303575,2.18089080643818,0.988587960365961,1.11962288095535,1.14367233645304,1.26108690538696,1.03827669902129,0.769367286763765,1.02473997892501,0.738712594160131,0.925270589702767,0.571198581092062,0.368415235030309,0.264311332572264,0.245117475719336,0.112725405372311,0.0453117443790298,0.0306629729560296,0.0445698248043868,0.0103901861859593,0.0260508166716979,0,0.0996242318120424,0.578237708663535,1.24219031318504,1.33228468742502,1.52846693655702,1.98906153856052,2.82121956557512,4.29255703881416,4.60136118891353,5.32027049228442,4.36880666384875,3.92841860579616,2.1638730261948,2.60827539908877,2.58996339976597,2.54736843900792,1.89942755191373,1.5874528548821,1.48711402865832,0.9554417097265,1.16736242465676,0.990550403883711,0.82242364473837,0.428528109316417,0.211139049664121,0.213034422327467,0.070048469125551,0.0301785723408888,0.0161814646514199,0,0,0.00809487250190773,0,0
2013,7,9,3,0,1706,0,0.0530258400332166,0.60054700487348,1.51474372849627,1.71025589107852,2.50997102246807,2.56071508760183,2.5954300528465,3.23542715229834,4.02393837297882,4.46765391926476,4.69937790384776,3.08271049703408,3.1079140555781,2.06186350591802,1.34870520337842,1.5328791418601,1.00329075572944,0.405232818677543,1.01940448081896,1.01321830103032,0.497991354875856,0.33499079681536,0.187629596895233,0.348162049339753,0.293949127366672,0.323367641994099,0.435069801039166,0.19397338141494,0.115497871016288,0.153059814333863,0.100712528659993,0.0529458731007077,0.0499381847847927,0,0,0.0530258400332166,0.60054700487348,1.51474372849627,1.71025589107852,2.50997102246807,2.28634698940803,4.24935894469735,4.84601396672941,4.96633857968169,5.77345414602925,5.84355020883015,4.14854160500932,2.80053902370779,2.15743485955788,1.70019713789808,2.03401016930941,1.07281928622292,1.47356852203407,0.793026635044274,0.770022555333235,0.553493064304904,1.19493345043184,0.455069297946232,0.354776013398421,0.222755266094238,0.105617684772526,0.0720579699703206,0.0519691895949201,0.0285489712836416,0.0234202183112785,0,0,0,0
2014,7,9,3,0,2390,0.0455266194529188,0.083819983831654,0.0844110248175723,0.509438640549098,1.29411058032759,1.71766964853978,2.08423277410018,2.10515546036631,3.75469158333023,5.34003555152689,5.60527795319905,4.22466630200481,3.05229946347719,2.84258857282181,2.42999010450864,1.6485688901527,2.30287348733946,1.23173023783053,0.773109597594354,0.907754167153816,0.772957309875142,0.747489864161577,0.64486687447986,0.351955028992001,0.543529687054417,0.440848251815597,0.38696309452004,0.214754495280344,0.190070713938081,0.0859050908195802,0.132231838181012,0.0849814863819753,0.0312971842404074,0,0.00997525719687683,0.0455266194529188,0.083819983831654,0.0844110248175723,0.509438640549098,1.30005967949922,1.73840382730484,2.43563874412615,3.2646074771278,4.32902948756985,5.74923429940574,6.36192236722748,5.22857905095396,3.95299406587442,2.88171416900662,3.45821126615163,2.19971707905207,1.59274762088099,1.93584526685282,1.22104869488725,1.21974972180121,1.27781826390238,0.617521762347243,0.678119926941078,0.399083550615668,0.260013582253565,0.207335202235663,0.134175358748913,0.0900967073938083,0.0277114258355885,0.0396483134912999,0,0,0,0,0
