"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",717.972,4.57757e-05,19616,7460.39,0,"Best Fit"
"2",718.449,8.73658e-05,19597,7433.29,0,"0"
"3",717.972,7.67874e-05,19616,7460.39,0,"Best Fit"
"4",718.449,0.000149205,19597,7433.28,0,"0"
"5",717.972,0.000311485,19616,7460.39,0,"Best Fit"
"6",717.972,0.000142649,19616,7460.39,0,"Best Fit"
"7",718.449,0.000580458,19597,7433.29,0,"0"
"8",853.273,0.000176763,19063.6,6736.33,0,"0"
"9",852.616,6.19654e-05,19094.4,6751.93,0,"0"
"10",852.707,3.29963e-05,19035.3,6772.06,0,"0"
"11",718.449,0.000594076,19597,7433.29,0,"0"
"12",717.972,5.51279e-05,19616,7460.39,0,"Best Fit"
"13",718.449,0.000205732,19597,7433.29,0,"0"
"14",718.449,7.75134e-05,19597,7433.28,0,"0"
"15",717.972,6.34494e-05,19616,7460.39,0,"Best Fit"
"16",853.273,0.000144441,19063.6,6736.33,0,"0"
"17",717.972,9.84846e-05,19616,7460.39,0,"Best Fit"
"18",717.972,0.000255414,19616,7460.39,0,"Best Fit"
"19",717.972,5.7259e-05,19616,7460.39,0,"Best Fit"
"20",853.273,0.000497089,19063.6,6736.33,0,"0"
"21",718.449,4.37755e-05,19597,7433.28,0,"0"
"22",718.449,8.38275e-05,19597,7433.29,0,"0"
"23",852.616,4.5124e-05,19094.4,6751.93,0,"0"
"24",717.972,5.85183e-05,19616,7460.39,0,"Best Fit"
"25",717.972,2.1351e-05,19616,7460.39,0,"Best Fit"
"26",904.503,0.000295082,18918.8,6602.16,1,"0"
"27",717.972,5.14669e-05,19616,7460.39,0,"Best Fit"
"28",852.707,7.19258e-05,19035.3,6772.06,0,"0"
"29",717.972,0.0002682,19616,7460.39,0,"Best Fit"
"30",718.449,0.000205467,19597,7433.29,0,"0"
"31",717.972,8.46101e-05,19616,7460.39,0,"Best Fit"
"32",718.449,0.000529948,19597,7433.29,0,"0"
"33",717.972,8.81203e-05,19616,7460.39,0,"Best Fit"
"34",717.972,0.000243068,19616,7460.39,0,"Best Fit"
"35",852.616,0.000134593,19094.4,6751.93,0,"0"
"36",717.972,9.33885e-05,19616,7460.39,0,"Best Fit"
"37",717.972,7.07455e-05,19616,7460.39,0,"Best Fit"
"38",853.273,4.47674e-05,19063.6,6736.33,0,"0"
"39",717.972,2.50191e-05,19616,7460.39,0,"Best Fit"
"40",852.616,0.000159812,19094.4,6751.93,0,"0"
"41",718.449,0.00152579,19597,7433.28,0,"0"
"42",1130.67,9.42776e-05,428317,387731,1,"0"
"43",717.972,9.77491e-05,19616,7460.39,0,"Best Fit"
"44",717.972,0.000104997,19616,7460.39,0,"Best Fit"
"45",717.972,0.00049312,19616,7460.39,0,"Best Fit"
"46",718.449,7.49416e-05,19597,7433.29,0,"0"
"47",718.449,6.94034e-05,19597,7433.29,0,"0"
"48",718.449,2.39193e-05,19597,7433.28,0,"0"
"49",718.449,2.26827e-05,19597,7433.29,0,"0"
"50",717.972,9.66032e-05,19616,7460.39,0,"Best Fit"
"51",717.972,0.000194206,19616,7460.39,0,"Best Fit"
"52",852.616,8.62754e-05,19094.4,6751.93,0,"0"
"53",717.972,7.78102e-05,19616,7460.39,0,"Best Fit"
"54",852.616,7.12805e-05,19094.4,6751.93,0,"0"
"55",853.273,2.62305e-05,19063.6,6736.33,0,"0"
"56",718.449,0.000197603,19597,7433.28,0,"0"
"57",829.002,0.00139853,19796.7,7695.44,1,"0"
"58",718.449,0.000518476,19597,7433.29,0,"0"
"59",852.616,3.7434e-05,19094.4,6751.93,0,"0"
"60",718.449,0.000263138,19597,7433.28,0,"0"
"61",718.449,0.00017193,19597,7433.29,0,"0"
"62",717.972,0.000135548,19616,7460.39,0,"Best Fit"
"63",717.972,0.000111202,19616,7460.39,0,"Best Fit"
"64",718.449,9.34959e-05,19597,7433.29,0,"0"
"65",717.972,0.000516124,19616,7460.39,0,"Best Fit"
"66",717.972,8.82549e-05,19616,7460.39,0,"Best Fit"
"67",717.972,8.14985e-05,19616,7460.39,0,"Best Fit"
"68",718.449,0.000181759,19597,7433.28,0,"0"
"69",1150.26,2.55238e-05,776244,937217,4,"0"
"70",718.449,0.000364975,19597,7433.28,0,"0"
"71",717.972,0.000403591,19616,7460.39,0,"Best Fit"
"72",717.972,0.000223169,19616,7460.39,0,"Best Fit"
"73",717.972,0.000101132,19616,7460.39,0,"Best Fit"
"74",852.616,8.60078e-05,19094.4,6751.93,0,"0"
"75",756.4,0.119534,14576.4,4697.15,0,"0"
"76",852.707,0.000461311,19035.3,6772.06,0,"0"
"77",718.449,0.00015507,19597,7433.29,0,"0"
"78",717.972,8.5051e-05,19616,7460.39,0,"Best Fit"
"79",717.972,0.00067341,19616,7460.39,0,"Best Fit"
"80",852.616,4.30192e-05,19094.4,6751.93,0,"0"
"81",717.972,6.12648e-05,19616,7460.39,0,"Best Fit"
"82",852.616,0.000173696,19094.4,6751.93,0,"0"
"83",717.972,0.000287919,19616,7460.39,0,"Best Fit"
"84",717.972,0.000149423,19616,7460.39,0,"Best Fit"
"85",718.449,0.000141176,19597,7433.29,0,"0"
"86",718.449,0.000905454,19597,7433.28,0,"0"
"87",717.972,0.000778936,19616,7460.39,0,"Best Fit"
"88",717.972,0.000611876,19616,7460.39,0,"Best Fit"
"89",852.616,7.82872e-05,19094.4,6751.93,0,"0"
"90",717.972,0.000237619,19616,7460.39,0,"Best Fit"
"91",852.616,7.25416e-05,19094.4,6751.93,0,"0"
"92",717.972,0.000310349,19616,7460.39,0,"Best Fit"
"93",717.972,8.68748e-05,19616,7460.39,0,"Best Fit"
"94",853.273,5.10088e-05,19063.6,6736.33,0,"0"
"95",717.972,0.000268214,19616,7460.39,0,"Best Fit"
"96",717.972,3.73113e-05,19616,7460.39,0,"Best Fit"
"97",852.707,8.93391e-05,19035.3,6772.06,0,"0"
"98",717.972,6.86407e-05,19616,7460.39,0,"Best Fit"
"99",717.972,5.53189e-05,19616,7460.39,0,"Best Fit"
"100",717.972,7.36396e-05,19616,7460.39,0,"Best Fit"
