fleet,year,sex,length_bin,freq,prop,survey
Enter Fleet,1980,Female,6,0,0,Triennial 1
Enter Fleet,1980,Female,8,0.326797385620915,0.005927993130520117,Triennial 1
Enter Fleet,1980,Female,10,0.326797385620915,0.005927993130520117,Triennial 1
Enter Fleet,1980,Female,12,1.30718954248366,0.023711972522080467,Triennial 1
Enter Fleet,1980,Female,14,0.980392156862745,0.01778397939156035,Triennial 1
Enter Fleet,1980,Female,16,2.24886643741822,0.04079367026496572,Triennial 1
Enter Fleet,1980,Female,18,3.92156862745098,0.0711359175662414,Triennial 1
Enter Fleet,1980,Female,20,4.46628729091223,0.08101692836113843,Triennial 1
Enter Fleet,1980,Female,22,6.25581151584621,0.11347828753680082,Triennial 1
Enter Fleet,1980,Female,24,2.61437908496732,0.047423945044160934,Triennial 1
Enter Fleet,1980,Female,26,7.18954248366013,0.13041584887144256,Triennial 1
Enter Fleet,1980,Female,28,3.92156862745098,0.0711359175662414,Triennial 1
Enter Fleet,1980,Female,30,6.5359477124183,0.11855986261040233,Triennial 1
Enter Fleet,1980,Female,32,1.96078431372549,0.0355679587831207,Triennial 1
Enter Fleet,1980,Female,34,3.26797385620915,0.059279931305201164,Triennial 1
Enter Fleet,1980,Female,36,2.61437908496732,0.047423945044160934,Triennial 1
Enter Fleet,1980,Female,38,3.26797385620915,0.059279931305201164,Triennial 1
Enter Fleet,1980,Female,40,2.61437908496732,0.047423945044160934,Triennial 1
Enter Fleet,1980,Female,42,0,0,Triennial 1
Enter Fleet,1980,Female,44,0,0,Triennial 1
Enter Fleet,1980,Female,46,0.65359477124183,0.011855986261040233,Triennial 1
Enter Fleet,1980,Female,48,0.65359477124183,0.011855986261040233,Triennial 1
Enter Fleet,1980,Female,50,0,0,Triennial 1
Enter Fleet,1980,Female,52,0,0,Triennial 1
Enter Fleet,1980,Female,54,0,0,Triennial 1
Enter Fleet,1980,Female,56,0,0,Triennial 1
Enter Fleet,1980,Female,58,0,0,Triennial 1
Enter Fleet,1980,Female,60,0,0,Triennial 1
Enter Fleet,1980,Female,62,0,0,Triennial 1
Enter Fleet,1980,Female,64,0,0,Triennial 1
Enter Fleet,1980,Female,66,0,0,Triennial 1
Enter Fleet,1980,Female,68,0,0,Triennial 1
Enter Fleet,1980,Female,70,0,0,Triennial 1
Enter Fleet,1980,Female,72,0,0,Triennial 1
Enter Fleet,1983,Female,6,0,0,Triennial 1
Enter Fleet,1983,Female,8,0,0,Triennial 1
Enter Fleet,1983,Female,10,0,0,Triennial 1
Enter Fleet,1983,Female,12,0,0,Triennial 1
Enter Fleet,1983,Female,14,1.28213154929074,0.033334883612771295,Triennial 1
Enter Fleet,1983,Female,16,1.28213154929074,0.033334883612771295,Triennial 1
Enter Fleet,1983,Female,18,6.41021054326244,0.166662790968072,Triennial 1
Enter Fleet,1983,Female,20,2.56426309858147,0.06666976722554234,Triennial 1
Enter Fleet,1983,Female,22,7.69234209255317,0.19999767458084303,Triennial 1
Enter Fleet,1983,Female,24,8.97402643865267,0.23332093109783036,Triennial 1
