"","area","year","est","lwr","upr","log_est","se","method","survey"
"1","Total",1980,11237.840530666,8598.57772163798,14687.2033818893,9.32704198138335,0.136578986213584,"delta-gamma","Triennial"
"2","Total",1983,10753.4282405841,8529.95207797691,13556.4910410163,9.28297988881691,0.118186287212805,"delta-gamma","Triennial"
"3","Total",1986,9831.20302579224,7676.06776423693,12591.4147585635,9.1933165887448,0.12625431158009,"delta-gamma","Triennial"
"4","Total",1989,9804.79190322573,7670.86443783538,12532.3482176786,9.19062651486884,0.125227772058385,"delta-gamma","Triennial"
"5","Total",1992,8267.85972256809,6183.84530097524,11054.2067378825,9.02013095435005,0.148184039451579,"delta-gamma","Triennial"
"6","Total",1995,9748.30657323912,7639.42979418106,12439.3421506721,9.18484886411095,0.124375050219284,"delta-gamma","Triennial"
"7","Total",1998,8217.38687581237,6401.0078445696,10549.1898629775,9.01400753919018,0.127449692186581,"delta-gamma","Triennial"
"8","Total",2001,10706.8767746243,8403.66198269757,13641.3399899969,9.27864150323095,0.123583221420254,"delta-gamma","Triennial"
"9","Total",2004,10839.8347334875,8203.88705679127,14322.724854196,9.29098302888918,0.142155508384792,"delta-gamma","Triennial"
"10","Washington",1980,3678.83043759387,2581.80784251191,5241.98322033127,8.21035016477758,0.180669145396898,"delta-gamma","Triennial"
"11","Washington",1983,3472.80753720662,2479.16055875511,4864.70799476379,8.15271863433739,0.171964046027691,"delta-gamma","Triennial"
"12","Washington",1986,2719.0404724551,1907.56031655464,3875.72598710908,7.90803432957321,0.180847173200139,"delta-gamma","Triennial"
"13","Washington",1989,2925.96163039129,2046.64044259771,4183.07548523554,7.98137846816234,0.182362304437055,"delta-gamma","Triennial"
"14","Washington",1992,2661.01611131119,1769.50044755712,4001.69819365315,7.8864633255671,0.208172586879847,"delta-gamma","Triennial"
"15","Washington",1995,3254.97823579869,2239.39035784272,4731.14625970326,8.08794086822974,0.190810609302338,"delta-gamma","Triennial"
"16","Washington",1998,2597.66132155873,1753.83950336713,3847.46969638174,7.86236682751597,0.200413969379208,"delta-gamma","Triennial"
"17","Washington",2001,3486.10353514905,2369.55517792456,5128.77605510041,8.15653992591117,0.196984434960286,"delta-gamma","Triennial"
"18","Washington",2004,3777.77830436571,2468.24050054101,5782.09818443873,8.23689136565299,0.217162428079168,"delta-gamma","Triennial"
"19","Oregon",1980,4938.9628464544,3623.98300738345,6731.08950813464,8.50491063802891,0.157952728841361,"delta-gamma","Triennial"
"20","Oregon",1983,4882.57258871814,3755.15097913828,6348.48378042375,8.49342752976129,0.133953358811037,"delta-gamma","Triennial"
"21","Oregon",1986,4802.53187726533,3695.37029315957,6241.40765401604,8.47689853226052,0.133707808566361,"delta-gamma","Triennial"
"22","Oregon",1989,4468.23195734872,3401.56108406443,5869.39241461943,8.40474807409417,0.139164968664277,"delta-gamma","Triennial"
"23","Oregon",1992,3962.1792735096,2907.70659115393,5399.05389463624,8.28454947447046,0.157875114275319,"delta-gamma","Triennial"
"24","Oregon",1995,4154.85244258101,3170.50367006532,5444.81275407756,8.33203219344137,0.137954806755634,"delta-gamma","Triennial"
"25","Oregon",1998,3959.35376217325,3014.13583325996,5200.98730821976,8.28383609956097,0.139169727659788,"delta-gamma","Triennial"
