Year,Season,Fleet,Value,seLogB,survey,lci,uci
1980,NA,NA,2396.51733288477,0.170380511503775,AFSC Triennial Shelf Survey 1,1596.2104288358132,3196.8242369337268
1983,NA,NA,3103.0632165215,0.132203903857698,AFSC Triennial Shelf Survey 1,2298.99855708442,3907.1278759585803
1986,NA,NA,1449.26967697249,0.18186731916163,AFSC Triennial Shelf Survey 1,932.6630868217627,1965.8762671232175
1989,NA,NA,1916.29347384027,0.142737758650371,AFSC Triennial Shelf Survey 1,1380.1797005105748,2452.4072471699656
1992,NA,NA,2000.25900184552,0.179714372991675,AFSC Triennial Shelf Survey 1,1295.6874288637823,2704.830574827258
1995,NA,NA,3048.47278060421,0.175768399751954,AFSC Triennial Shelf Survey 1,1998.2554232291948,4098.690137979225
1998,NA,NA,2705.23319678113,0.208775316723324,AFSC Triennial Shelf Survey 1,1598.252798543006,3812.213595019254
2001,NA,NA,3069.73206357642,0.152851633823834,AFSC Triennial Shelf Survey 1,2150.073483391052,3989.390643761788
2004,NA,NA,3556.23165356565,0.197405380128368,AFSC Triennial Shelf Survey 1,2180.2739012281927,4932.189405903107
1995,NA,NA,5201.13405492991,0.185258944422736,AFSC Triennial Shelf Survey 2,3312.5631094876894,7089.705000372131
1998,NA,NA,3783.99513283702,0.168827629890035,AFSC Triennial Shelf Survey 2,2531.8629904441077,5036.127275229932
2001,NA,NA,4610.8886658235,0.135582055588218,AFSC Triennial Shelf Survey 2,3385.587289557998,5836.1900420890015
2004,NA,NA,5103.47376419581,0.198659768442002,AFSC Triennial Shelf Survey 2,3116.318128355665,7090.629400035955
1997,NA,NA,43486.9371321369,0.0888154069150897,AFSC Slope Survey,35916.809499048846,51057.06476522496
1999,NA,NA,43474.612970235896,0.0837296377216965,AFSC Slope Survey,36339.99032582181,50609.23561464998
2000,NA,NA,55589.7441108773,0.0972136125936433,AFSC Slope Survey,44997.7476084551,66181.7406132995
2001,NA,NA,54692.6485651974,0.10045980221194,AFSC Slope Survey,43923.59975687593,65461.69737351887
1998,NA,NA,67811.3697105201,0.0638867363982446,NWFSC Slope Survey,59320.16539158028,76302.57402945991
1999,NA,NA,75298.9337604442,0.0899879738618028,NWFSC Slope Survey,62017.976733653515,88579.89078723488
2000,NA,NA,73831.8181233108,0.111914592823468,NWFSC Slope Survey,57636.61671244493,90027.01953417668
2001,NA,NA,71720.77676308049,0.0669383131897995,NWFSC Slope Survey,62311.07584140225,81130.47768475873
2002,NA,NA,92668.8914201765,0.0726815170068565,NWFSC Slope Survey,79467.6728289628,105870.1100113902
2003,NA,NA,50654.596490194795,0.105227420106877,West Coast Groundfish Bottom Trawl Survey,40207.30157996739,61101.8914004222
2004,NA,NA,52952.4133678041,0.092892308558838,West Coast Groundfish Bottom Trawl Survey,43311.424401669596,62593.40233393861
2005,NA,NA,48194.477757921195,0.0584263762290811,West Coast Groundfish Bottom Trawl Survey,42675.45352621036,53713.50198963203
2006,NA,NA,47416.571786709006,0.069675651691948,West Coast Groundfish Bottom Trawl Survey,40941.161927844514,53891.9816455735
2007,NA,NA,48874.540546273405,0.0809471669236504,West Coast Groundfish Bottom Trawl Survey,41120.27958611822,56628.801506428594
2008,NA,NA,43530.0499861819,0.0620620457130562,West Coast Groundfish Bottom Trawl Survey,38234.98463999917,48825.11533236462
2009,NA,NA,57265.2501808082,0.186795654782928,West Coast Groundfish Bottom Trawl Survey,36299.326369296985,78231.17399231941
2010,NA,NA,46055.4848211901,0.0833550460597565,West Coast Groundfish Bottom Trawl Survey,38531.12898638365,53579.840655996544
2011,NA,NA,47984.093165467595,0.0680070311077625,West Coast Groundfish Bottom Trawl Survey,41588.111960967406,54380.074369967784
2012,NA,NA,53234.232768921596,0.0848219097967493,West Coast Groundfish Bottom Trawl Survey,44383.99136047333,62084.47417736986
2013,NA,NA,47904.121675622795,0.0824450693019565,West Coast Groundfish Bottom Trawl Survey,40163.182758086485,55645.060593159105
2014,NA,NA,48602.5402436253,0.0854936705415572,West Coast Groundfish Bottom Trawl Survey,40458.329500005595,56746.750987245
2015,NA,NA,47261.8320661442,0.0667888457370871,West Coast Groundfish Bottom Trawl Survey,41074.96817235327,53448.695959935125
2016,NA,NA,53192.3523251019,0.0717352272121509,West Coast Groundfish Bottom Trawl Survey,45713.45198432156,60671.25266588224
2017,NA,NA,58442.5328767287,0.0682799407153045,West Coast Groundfish Bottom Trawl Survey,50621.24562378117,66263.82012967623
2018,NA,NA,55501.9047831837,0.0539784258171418,West Coast Groundfish Bottom Trawl Survey,49629.93010108737,61373.879465280035
2019,NA,NA,52950.5722428442,0.100051497707792,West Coast Groundfish Bottom Trawl Survey,42566.91549037705,63334.22899531136
2021,NA,NA,54858.860608120594,0.0612186847017968,West Coast Groundfish Bottom Trawl Survey,48276.42151841062,61441.29969783057
2022,NA,NA,67996.65037565389,0.0669477766554457,West Coast Groundfish Bottom Trawl Survey,59074.29023282519,76919.0105184826
