"","area","year","est","lwr","upr","log_est","se","method","survey"
"1","Total",1980,6296.68315503992,4652.11130294529,8522.62901144732,8.74777829041162,0.154442557934924,"delta-gamma","Triennial"
"2","Total",1983,6406.36954542123,5041.639330155,8140.52098233667,8.76504801589539,0.122227472385616,"delta-gamma","Triennial"
"3","Total",1986,5441.13817329529,4086.50281341733,7244.82178837246,8.60174354099813,0.146073457387082,"delta-gamma","Triennial"
"4","Total",1989,5997.58377951863,4560.46188953766,7887.58070204853,8.69911196368984,0.139764187968003,"delta-gamma","Triennial"
"5","Total",1992,4867.10611650491,3602.70793106578,6575.25461474523,8.49025481286368,0.153479232517215,"delta-gamma","Triennial"
"6","Total",1995,7535.34389587387,6237.36288114546,9103.43180460519,8.92735974981659,0.0964543198101177,"delta-gamma","Triennial"
"7","Total",1998,6247.00813279655,5168.44447851192,7550.64909248328,8.73985792936507,0.0967012063445618,"delta-gamma","Triennial"
"8","Total",2001,8234.98363768257,6824.9054540547,9936.39486575019,9.01614665568597,0.0958246631550211,"delta-gamma","Triennial"
"9","Total",2004,8654.53186199261,6942.63050284661,10788.550783386,9.06583837741177,0.112452250384567,"delta-gamma","Triennial"
"10","Washington",1980,978.246954855892,695.797301719527,1375.35328510167,6.88576214823711,0.173831644952833,"delta-gamma","Triennial"
"11","Washington",1983,881.392527897115,660.571852630782,1176.03071511295,6.78150307483294,0.147144117878044,"delta-gamma","Triennial"
"12","Washington",1986,624.345323142485,433.561431399852,899.081547155413,6.43670361777068,0.18605960323841,"delta-gamma","Triennial"
"13","Washington",1989,781.587754543593,548.304466856337,1114.12446000108,6.66132743344053,0.18086898898252,"delta-gamma","Triennial"
"14","Washington",1992,457.855630309772,294.803914662668,711.088855269211,6.1265539167584,0.22461814653651,"delta-gamma","Triennial"
"15","Washington",1995,1008.65288580071,699.887233210386,1453.63509399559,6.91637094312887,0.186458383602503,"delta-gamma","Triennial"
"16","Washington",1998,731.984076828471,502.534607771869,1066.19659709817,6.59575876075814,0.191888348446812,"delta-gamma","Triennial"
"17","Washington",2001,1098.08682804291,773.479127952162,1558.92336114327,7.00132469730626,0.178792066753706,"delta-gamma","Triennial"
"18","Washington",2004,977.500195627813,643.97951843072,1483.75313982165,6.88499849199026,0.212928183049543,"delta-gamma","Triennial"
"19","Oregon",1980,4074.68221173589,2847.24839971863,5831.2562852885,8.3125480377839,0.182880760820852,"delta-gamma","Triennial"
"20","Oregon",1983,4305.02236570275,3212.2895680763,5769.47288730873,8.36753761213353,0.149389678323611,"delta-gamma","Triennial"
"21","Oregon",1986,3800.24107254707,2722.83016004247,5303.97834628377,8.2428197838462,0.170101424370672,"delta-gamma","Triennial"
"22","Oregon",1989,3978.05652671362,2866.05218493983,5521.50927777371,8.28854866914544,0.167277488375263,"delta-gamma","Triennial"
"23","Oregon",1992,3587.57707247926,2556.3116630687,5034.87483037508,8.18523234345502,0.172917259784505,"delta-gamma","Triennial"
"24","Oregon",1995,4987.20640625011,3932.81988704079,6324.27328302009,8.51463119355069,0.121185501035888,"delta-gamma","Triennial"
"25","Oregon",1998,4460.57409284855,3548.2085683427,5607.53993305559,8.40303275709998,0.116754507959984,"delta-gamma","Triennial"
"26","Oregon",2001,5509.19920035967,4358.79031922276,6963.23374294721,8.6141745558968,0.119504597848279,"delta-gamma","Triennial"
"27","Oregon",2004,6092.96621758715,4691.68367723944,7912.77500415415,8.71489030577016,0.133340978609325,"delta-gamma","Triennial"
"28","California",1980,1257.33839654889,876.053698910987,1804.56956622789,7.13675238202482,0.18435287367043,"delta-gamma","Triennial"
"29","California",1983,1233.16336724755,892.131179117581,1704.56086046162,7.11733799012766,0.165168752651919,"delta-gamma","Triennial"
"30","California",1986,1024.99068168649,716.855833966304,1465.57487260893,6.93243880049361,0.182433989256269,"delta-gamma","Triennial"
"31","California",1989,1252.3710809671,918.554973490832,1707.50076991267,7.13279389829385,0.15816216343602,"delta-gamma","Triennial"
"32","California",1992,829.995930744164,576.03778336351,1195.91676960736,6.72142079806075,0.186354211750834,"delta-gamma","Triennial"
"33","California",1995,1553.98776319364,1236.13689285729,1953.56839692217,7.34857965650382,0.116753813684915,"delta-gamma","Triennial"
"34","California",1998,1064.13757661069,834.792161498049,1356.49187208799,6.96991996286873,0.123847774398386,"delta-gamma","Triennial"
"35","California",2001,1643.39716768389,1321.74162634954,2043.3299495988,7.40452082204659,0.111132277911608,"delta-gamma","Triennial"
"36","California",2004,1599.47877622155,1234.80269636811,2071.8551741974,7.37743309029344,0.132026208675921,"delta-gamma","Triennial"
"37","Total",1980,7712.35797725543,5359.95773545238,11097.1892886232,8.95057925342567,0.18565029124966,"delta-lognormal","Triennial"
"38","Total",1983,7867.16615964553,5744.7539206486,10773.7083673871,8.97045319520007,0.160416641310877,"delta-lognormal","Triennial"
"39","Total",1986,6996.85100128676,4893.09938573277,10005.0949459462,8.85321546986242,0.18246981566042,"delta-lognormal","Triennial"
"40","Total",1989,7446.50270383387,5383.67650353317,10299.7277941597,8.91549976542716,0.165499459810728,"delta-lognormal","Triennial"
"41","Total",1992,5701.61431672601,3928.10672777374,8275.84586407589,8.64850462718598,0.190101343697069,"delta-lognormal","Triennial"
"42","Total",1995,10415.0219111086,8217.67532226953,13199.9229897678,9.2510044574959,0.120901107786761,"delta-lognormal","Triennial"
"43","Total",1998,8557.21632694406,6689.28593248631,10946.7515673831,9.05453022079782,0.125649150629276,"delta-lognormal","Triennial"
"44","Total",2001,12108.2790588855,9492.73787047734,15444.4822735289,9.40164471735582,0.124166754441704,"delta-lognormal","Triennial"
"45","Total",2004,12170.8265781581,9144.51663889811,16198.6713398829,9.40679710299793,0.145863598034184,"delta-lognormal","Triennial"
"46","Washington",1980,977.407296140463,665.166783303439,1436.21877479232,6.88490344965418,0.196363627862342,"delta-lognormal","Triennial"
"47","Washington",1983,863.790180312382,633.430362369648,1177.92502527481,6.76132989245131,0.158257920249809,"delta-lognormal","Triennial"
"48","Washington",1986,614.580416596307,417.925011027476,903.772395758477,6.42093978553156,0.196757579015979,"delta-lognormal","Triennial"
"49","Washington",1989,816.164831100768,557.823496086182,1194.15018585526,6.70461633346308,0.194173841652012,"delta-lognormal","Triennial"
"50","Washington",1992,438.545893877866,273.592041777704,702.953564685192,6.08346446740262,0.240732162870728,"delta-lognormal","Triennial"
"51","Washington",1995,1170.06771066733,786.339223225005,1741.05323391016,7.0648168984825,0.202773428788264,"delta-lognormal","Triennial"
"52","Washington",1998,760.738543971117,506.909007384933,1141.67064276257,6.6342897298022,0.207125344207263,"delta-lognormal","Triennial"
"53","Washington",2001,1289.90817015136,882.186135328173,1886.06805388556,7.1623263088927,0.193841948301598,"delta-lognormal","Triennial"
"54","Washington",2004,1062.87278309908,679.791500015731,1661.8309482049,6.96873069394494,0.228037129223268,"delta-lognormal","Triennial"
"55","Oregon",1980,5455.11220790801,3544.37410419162,8395.91090728107,8.60430846779127,0.219999757732824,"delta-lognormal","Triennial"
"56","Oregon",1983,5793.15025427927,3957.81017397368,8479.58552670066,8.66443150797401,0.194383848914717,"delta-lognormal","Triennial"
"57","Oregon",1986,5345.63019585876,3531.36480250004,8091.98816577847,8.58403472031797,0.211531956086672,"delta-lognormal","Triennial"
"58","Oregon",1989,5324.05086889609,3612.1311984232,7847.3112125514,8.57998973410799,0.197930421355064,"delta-lognormal","Triennial"
"59","Oregon",1992,4492.09801366838,2951.35399861358,6837.18204386279,8.4100751352259,0.214318126212924,"delta-lognormal","Triennial"
"60","Oregon",1995,7347.1264781109,5476.74720517243,9856.26421361525,8.90206456040485,0.149899658725615,"delta-lognormal","Triennial"
"61","Oregon",1998,6634.02824607749,4965.265120379,8863.64165915772,8.79996747727265,0.14783205540696,"delta-lognormal","Triennial"
"62","Oregon",2001,8817.92772231523,6552.69220382139,11866.2447277212,9.08454216927681,0.15148793750923,"delta-lognormal","Triennial"
"63","Oregon",2004,9383.70384409093,6731.63607280739,13080.6087675035,9.14672983016894,0.169470632234715,"delta-lognormal","Triennial"
"64","California",1980,1291.95579668332,861.289026554875,1937.96708087665,7.16391247066386,0.206882544122858,"delta-lognormal","Triennial"
"65","California",1983,1220.88771331975,854.843490385841,1743.67217543219,7.10733350699877,0.181847783841828,"delta-lognormal","Triennial"
"66","California",1986,1043.34002660611,698.664087172325,1558.05691333603,6.95018241012294,0.204601895006443,"delta-lognormal","Triennial"
"67","California",1989,1318.48637533628,923.357641325422,1882.70096454936,7.18423967228244,0.18174978651665,"delta-lognormal","Triennial"
"68","California",1992,777.071881386252,520.890714706858,1159.24644420086,6.65553285752535,0.204081606381208,"delta-lognormal","Triennial"
"69","California",1995,1912.87772588282,1441.65110312413,2538.13227503461,7.55636404992897,0.144298424379761,"delta-lognormal","Triennial"
"70","California",1998,1170.88929803931,895.154553307924,1531.55870480321,7.06551882286869,0.137003759436415,"delta-lognormal","Triennial"
"71","California",2001,2015.920703487,1544.03616846504,2632.02142912726,7.60883129482988,0.136061754935994,"delta-lognormal","Triennial"
"72","California",2004,1738.21522027262,1281.67331478528,2357.38086853559,7.46061413030642,0.155458137171384,"delta-lognormal","Triennial"
"73","Total",2003,48340.8622294653,41755.6757182046,55964.582560194,10.7860324908685,0.0747165895078179,"delta-gamma","WCGBTS"
"74","Total",2004,48009.7231249054,41037.1148009611,56167.0459950584,10.7791588344787,0.0800660932874223,"delta-gamma","WCGBTS"
"75","Total",2005,54339.0010346072,47383.3613259584,62315.6937543271,10.9029974992009,0.0698844882360118,"delta-gamma","WCGBTS"
"76","Total",2006,49203.642524991,43148.3588625817,56108.7026609161,10.8037229348007,0.0670029007473765,"delta-gamma","WCGBTS"
