"Year","Season","Fleet","Value","seLogB"
"1980",7,5,1988590.96333445,0.158231023283259
"1983",7,5,1891131.6505816,0.106010659468563
"1986",7,5,1934488.78330338,0.175768423870399
"1989",7,5,1963956.20452995,0.136817120907271
"1992",7,5,1928853.4334574,0.143560302575838
