"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","Age100"
1911,0,5498.78,5305.94,5116.77,4934.95,4755.84,4583.79,4420.6,4263.27,4108.83,3957.14,3809.73,3743.52,3596.73,3455.7,3320.2,3190.01,3064.93,2944.75,2829.29,2718.35,2611.76,2509.35,2410.95,2316.42,2225.59,2138.32,2054.47,1973.91,1896.51,1822.15,1750.7,1682.05,1616.1,1552.73,1491.84,1433.34,1377.14,1323.14,1271.26,1221.41,1173.52,1127.5,1083.29,1040.82,1000,960.793,923.119,886.923,852.146,818.733,786.63,755.786,726.151,697.679,670.322,644.039,618.786,594.523,571.212,548.815,527.296,506.621,486.756,467.671,449.333,431.715,414.787,398.524,382.898,367.884,353.459,339.6,326.285,313.491,301.199,289.389,278.042,267.14,256.665,246.602,236.932,227.642,218.716,210.14,201.901,193.984,186.378,179.07,172.049,165.303,158.821,152.594,146.61,140.862,135.338,130.032,124.933,120.035,115.328,2825.92
1912,0,5480.14,5283.17,5097.89,4916.13,4741.44,4569.36,4404.06,4247.26,4096.1,3947.72,3801.97,3660.35,3596.73,3455.7,3320.2,3190.01,3064.93,2944.75,2829.29,2718.35,2611.76,2509.35,2410.95,2316.42,2225.59,2138.32,2054.47,1973.91,1896.51,1822.15,1750.7,1682.05,1616.09,1552.72,1491.84,1433.34,1377.14,1323.14,1271.26,1221.41,1173.51,1127.5,1083.29,1040.81,1000,960.789,923.116,886.92,852.143,818.73,786.627,755.783,726.148,697.676,670.32,644.037,618.784,594.521,571.21,548.813,527.294,506.619,486.755,467.669,449.332,431.714,414.786,398.523,382.897,367.883,353.459,339.6,326.284,313.49,301.198,289.389,278.042,267.14,256.665,246.601,236.932,227.642,218.716,210.14,201.901,193.984,186.378,179.07,172.049,165.302,158.821,152.593,146.61,140.862,135.338,130.032,124.933,120.034,115.328,2825.92
1913,0,5475.23,5265.26,5076.01,4898,4723.37,4555.53,4390.2,4231.37,4080.73,3935.49,3792.92,3652.9,3516.83,3455.7,3320.2,3190.01,3064.93,2944.75,2829.29,2718.35,2611.76,2509.35,2410.95,2316.42,2225.59,2138.32,2054.47,1973.91,1896.51,1822.15,1750.7,1682.05,1616.09,1552.72,1491.84,1433.34,1377.13,1323.13,1271.25,1221.4,1173.51,1127.5,1083.29,1040.81,999.997,960.786,923.112,886.916,852.14,818.727,786.624,755.78,726.145,697.673,670.317,644.034,618.781,594.519,571.208,548.811,527.292,506.617,486.753,467.667,449.33,431.712,414.785,398.521,382.896,367.882,353.458,339.599,326.283,313.49,301.198,289.388,278.041,267.139,256.665,246.601,236.932,227.642,218.716,210.14,201.9,193.984,186.378,179.07,172.048,165.302,158.821,152.593,146.61,140.862,135.338,130.032,124.933,120.034,115.328,2825.92
1914,0,5475.48,5260.54,5058.8,4876.98,4705.95,4538.16,4376.9,4218.05,4065.46,3920.72,3781.18,3644.2,3509.66,3378.93,3320.2,3190.01,3064.93,2944.75,2829.29,2718.35,2611.76,2509.35,2410.95,2316.42,2225.58,2138.32,2054.47,1973.91,1896.51,1822.14,1750.69,1682.05,1616.09,1552.72,1491.83,1433.34,1377.13,1323.13,1271.25,1221.4,1173.51,1127.49,1083.28,1040.8,999.993,960.782,923.109,886.913,852.136,818.723,786.62,755.777,726.142,697.67,670.314,644.031,618.779,594.517,571.206,548.809,527.29,506.615,486.751,467.666,449.329,431.711,414.784,398.52,382.894,367.881,353.457,339.598,326.282,313.489,301.197,289.387,278.041,267.139,256.664,246.6,236.931,227.641,218.715,210.14,201.9,193.984,186.377,179.07,172.048,165.302,158.821,152.593,146.61,140.861,135.338,130.032,124.933,120.034,115.328,2825.92
1915,0,5451.84,5260.78,5054.27,4860.45,4685.75,4521.42,4360.22,4205.28,4052.66,3906.05,3766.98,3632.92,3501.31,3372.05,3246.44,3190.01,3064.93,2944.75,2829.29,2718.35,2611.76,2509.35,2410.95,2316.41,2225.58,2138.31,2054.47,1973.91,1896.51,1822.14,1750.69,1682.04,1616.09,1552.72,1491.83,1433.33,1377.13,1323.13,1271.25,1221.4,1173.5,1127.49,1083.28,1040.8,999.989,960.778,923.105,886.909,852.132,818.72,786.617,755.773,726.139,697.667,670.311,644.028,618.776,594.514,571.203,548.806,527.288,506.613,486.749,467.664,449.327,431.709,414.782,398.519,382.893,367.88,353.456,339.597,326.281,313.488,301.196,289.387,278.04,267.138,256.664,246.6,236.931,227.641,218.715,210.139,201.9,193.983,186.377,179.069,172.048,165.302,158.82,152.593,146.61,140.861,135.338,130.031,124.933,120.034,115.328,2825.92
1916,0,5425.79,5238.07,5054.5,4856.09,4669.86,4502.02,4344.14,4189.25,4040.39,3893.76,3752.89,3619.28,3490.47,3364.02,3239.83,3119.14,3064.93,2944.75,2829.28,2718.35,2611.76,2509.35,2410.95,2316.41,2225.58,2138.31,2054.47,1973.91,1896.51,1822.14,1750.69,1682.04,1616.08,1552.71,1491.83,1433.33,1377.12,1323.12,1271.24,1221.39,1173.5,1127.48,1083.27,1040.8,999.985,960.774,923.101,886.905,852.129,818.716,786.613,755.77,726.136,697.664,670.308,644.025,618.773,594.511,571.2,548.804,527.286,506.611,486.747,467.662,449.325,431.707,414.781,398.517,382.892,367.879,353.455,339.596,326.28,313.487,301.196,289.386,278.039,267.137,256.663,246.599,236.93,227.64,218.715,210.139,201.899,193.983,186.377,179.069,172.048,165.302,158.82,152.593,146.61,140.861,135.338,130.031,124.933,120.034,115.328,2825.92
1917,0,5412.79,5213.04,5032.68,4856.31,4665.68,4486.76,4325.49,4173.8,4024.99,3881.96,3741.08,3605.74,3477.36,3353.6,3232.11,3112.79,2996.84,2944.75,2829.28,2718.34,2611.75,2509.34,2410.95,2316.41,2225.58,2138.31,2054.46,1973.9,1896.5,1822.14,1750.69,1682.04,1616.08,1552.71,1491.82,1433.33,1377.12,1323.12,1271.24,1221.39,1173.5,1127.48,1083.27,1040.79,999.981,960.77,923.097,886.901,852.125,818.712,786.61,755.766,726.132,697.66,670.305,644.022,618.77,594.508,571.198,548.801,527.283,506.609,486.745,467.66,449.323,431.706,414.779,398.516,382.89,367.877,353.453,339.595,326.279,313.486,301.195,289.385,278.038,267.137,256.662,246.599,236.93,227.64,218.714,210.139,201.899,193.983,186.377,179.069,172.048,165.302,158.82,152.593,146.61,140.861,135.338,130.031,124.933,120.034,115.328,2825.92
1918,0,5403.61,5200.55,5008.64,4835.35,4665.89,4482.74,4310.83,4155.88,4010.14,3867.17,3729.75,3594.39,3464.35,3341.01,3222.11,3105.38,2990.73,2879.33,2829.28,2718.34,2611.75,2509.34,2410.95,2316.41,2225.58,2138.31,2054.46,1973.9,1896.5,1822.13,1750.68,1682.04,1616.08,1552.71,1491.82,1433.32,1377.12,1323.12,1271.23,1221.39,1173.49,1127.48,1083.27,1040.79,999.977,960.766,923.093,886.897,852.12,818.708,786.606,755.762,726.128,697.657,670.301,644.019,618.767,594.505,571.195,548.798,527.28,506.606,486.742,467.658,449.321,431.704,414.777,398.514,382.889,367.876,353.452,339.593,326.278,313.485,301.194,289.384,278.038,267.136,256.662,246.598,236.929,227.639,218.714,210.138,201.899,193.982,186.376,179.069,172.047,165.301,158.82,152.593,146.609,140.861,135.338,130.031,124.933,120.034,115.327,2825.92
1919,0,5395.18,5191.73,4996.63,4812.25,4645.75,4482.94,4306.97,4141.8,3992.93,3852.9,3715.53,3583.5,3453.45,3328.51,3210.01,3095.76,2983.61,2873.46,2766.43,2718.34,2611.75,2509.34,2410.95,2316.41,2225.58,2138.31,2054.46,1973.9,1896.5,1822.13,1750.68,1682.03,1616.08,1552.7,1491.82,1433.32,1377.11,1323.11,1271.23,1221.38,1173.49,1127.47,1083.26,1040.78,999.973,960.762,923.088,886.893,852.116,818.704,786.602,755.758,726.124,697.653,670.298,644.015,618.763,594.502,571.192,548.795,527.278,506.603,486.74,467.655,449.319,431.702,414.775,398.512,382.887,367.874,353.45,339.592,326.277,313.484,301.193,289.383,278.037,267.135,256.661,246.598,236.929,227.639,218.713,210.138,201.898,193.982,186.376,179.068,172.047,165.301,158.82,152.592,146.609,140.861,135.338,130.031,124.932,120.034,115.327,2825.91
1920,0,5382.34,5183.63,4988.16,4800.71,4623.55,4463.59,4307.16,4138.09,3979.4,3836.36,3701.83,3569.84,3442.99,3318.04,3198,3084.14,2974.38,2866.62,2760.79,2657.95,2611.75,2509.34,2410.95,2316.41,2225.58,2138.31,2054.46,1973.9,1896.5,1822.13,1750.68,1682.03,1616.07,1552.7,1491.81,1433.32,1377.11,1323.11,1271.23,1221.38,1173.48,1127.47,1083.26,1040.78,999.968,960.757,923.084,886.888,852.112,818.7,786.597,755.754,726.12,697.649,670.294,644.012,618.76,594.498,571.188,548.792,527.275,506.601,486.737,467.653,449.317,431.699,414.773,398.51,382.885,367.873,353.449,339.591,326.276,313.483,301.192,289.382,278.036,267.134,256.66,246.597,236.928,227.638,218.713,210.137,201.898,193.982,186.376,179.068,172.047,165.301,158.819,152.592,146.609,140.861,135.337,130.031,124.932,120.034,115.327,2825.91
1921,0,5374.28,5171.29,4980.38,4792.57,4612.47,4442.26,4288.57,4138.27,3975.83,3823.36,3685.94,3556.68,3429.87,3307.99,3187.93,3072.6,2963.21,2857.75,2754.22,2652.54,2553.73,2509.34,2410.95,2316.41,2225.58,2138.31,2054.46,1973.9,1896.5,1822.13,1750.68,1682.03,1616.07,1552.7,1491.81,1433.31,1377.11,1323.11,1271.22,1221.37,1173.48,1127.46,1083.25,1040.78,999.964,960.753,923.08,886.884,852.108,818.695,786.593,755.75,726.116,697.645,670.29,644.008,618.756,594.495,571.185,548.789,527.272,506.598,486.734,467.65,449.314,431.697,414.771,398.508,382.883,367.871,353.447,339.589,326.274,313.482,301.19,289.381,278.035,267.133,256.659,246.596,236.927,227.638,218.712,210.137,201.897,193.981,186.375,179.068,172.046,165.301,158.819,152.592,146.609,140.86,135.337,130.031,124.932,120.034,115.327,2825.91
1922,0,5365.08,5163.55,4968.52,4785.09,4604.65,4431.62,4268.08,4120.41,3976.01,3819.94,3673.44,3541.41,3417.22,3295.38,3178.28,3062.93,2952.12,2847.02,2745.69,2646.22,2548.53,2453.59,2410.94,2316.41,2225.58,2138.31,2054.46,1973.9,1896.49,1822.13,1750.68,1682.03,1616.07,1552.7,1491.81,1433.31,1377.1,1323.1,1271.22,1221.37,1173.48,1127.46,1083.25,1040.77,999.96,960.749,923.075,886.879,852.103,818.691,786.589,755.746,726.112,697.641,670.286,644.004,618.752,594.491,571.182,548.786,527.268,506.595,486.732,467.647,449.312,431.695,414.769,398.506,382.881,367.869,353.446,339.587,326.273,313.48,301.189,289.38,278.034,267.132,256.658,246.595,236.927,227.637,218.712,210.136,201.897,193.981,186.375,179.067,172.046,165.3,158.819,152.592,146.609,140.86,135.337,130.031,124.932,120.033,115.327,2825.91
1923,0,5361.05,5154.71,4961.09,4773.7,4597.47,4424.1,4257.85,4100.72,3958.85,3820.11,3670.16,3529.41,3402.55,3283.22,3166.17,3053.66,2942.83,2836.37,2735.38,2638.03,2542.46,2448.59,2357.38,2316.41,2225.57,2138.3,2054.46,1973.89,1896.49,1822.12,1750.67,1682.02,1616.06,1552.69,1491.81,1433.31,1377.1,1323.1,1271.22,1221.37,1173.47,1127.46,1083.24,1040.77,999.955,960.744,923.071,886.875,852.099,818.686,786.584,755.741,726.108,697.637,670.282,644,618.749,594.488,571.178,548.782,527.265,506.592,486.729,467.645,449.309,431.692,414.766,398.504,382.879,367.867,353.444,339.586,326.271,313.479,301.188,289.379,278.033,267.131,256.658,246.594,236.926,227.636,218.711,210.135,201.896,193.98,186.374,179.067,172.046,165.3,158.819,152.591,146.608,140.86,135.337,130.03,124.932,120.033,115.327,2825.91
1924,0,5362.1,5150.84,4952.59,4766.56,4586.53,4417.2,4250.63,4090.9,3939.93,3803.62,3670.32,3526.25,3391.02,3269.13,3154.49,3042.02,2933.92,2827.44,2725.15,2628.12,2534.59,2442.76,2352.58,2264.94,2225.57,2138.3,2054.45,1973.89,1896.49,1822.12,1750.67,1682.02,1616.06,1552.69,1491.8,1433.3,1377.1,1323.1,1271.21,1221.36,1173.47,1127.45,1083.24,1040.76,999.951,960.739,923.066,886.87,852.094,818.682,786.58,755.737,726.103,697.632,670.278,643.996,618.745,594.484,571.174,548.779,527.262,506.588,486.725,467.642,449.306,431.689,414.764,398.502,382.877,367.865,353.442,339.584,326.27,313.477,301.186,289.377,278.031,267.13,256.656,246.593,236.925,227.635,218.71,210.135,201.896,193.98,186.374,179.066,172.045,165.3,158.818,152.591,146.608,140.86,135.337,130.03,124.932,120.033,115.327,2825.91
