"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2013,8874.86,5904.4,11845.32,0.436486,0.358867,0.514105
2014,8767.16,5807.03,11727.29,0.431189,0.353289,0.509089
2015,8678.98,5728.1,11629.86,0.426852,0.348734,0.50497
2016,8593.33,5650.35,11536.31,0.42264,0.34426,0.50102
2017,8508.37,5571.87,11444.87,0.418461,0.339755,0.497167
2018,8423.35,5491.99,11354.71,0.414279,0.335187,0.493371
2019,8358.42,5430.78,11286.06,0.411086,0.331661,0.490511
2020,8311.1,5385.8,11236.4,0.408759,0.329041,0.488477
2021,8290.57,5366.11,11215.03,0.407749,0.327824,0.487674
2022,8280.17,5354.92,11205.42,0.407238,0.327092,0.487384
2023,8273.34,5345.7,11200.98,0.406902,0.326482,0.487322
