"Label","Total"
"TOTAL","536.263"
"Catch","7.79309e-12"
"Equil catch","0"
"Survey","-48.4806"
"Discard","406.178"
"Mean body wt","-79.6714"
"Length comp","269.969"
"Recruitment","-13.3152"
"InitEQ Regime","0"
"Forecast Recruitment","0.0116907"
"Parm priors","1.57154"
"Parm devs","0"
"F Ballpark","0"
"F Ballpark(info only) 1999 estF tgtF","0.0150649"
"Crash Pen","0"
