"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","Age100"
1911,0,5364.82,5176.73,4991.04,4815.36,4639.99,4470.95,4311,4156.99,4005.45,3856.73,3712.36,3620.71,3478.74,3342.34,3211.28,3085.37,2964.39,2848.15,2736.47,2629.17,2526.08,2427.03,2331.86,2240.43,2152.58,2068.17,1987.08,1909.16,1834.3,1762.37,1693.27,1626.87,1563.08,1501.79,1442.9,1386.32,1331.96,1279.73,1229.55,1181.34,1135.02,1090.51,1047.75,1006.67,967.198,929.274,892.836,857.827,824.191,791.874,760.825,730.992,702.33,674.791,648.332,622.911,598.486,575.02,552.473,530.81,509.997,490,470.787,452.328,434.592,417.551,401.179,385.449,370.335,355.815,341.863,328.459,315.58,303.206,291.317,279.894,268.92,258.375,248.244,238.511,229.159,220.173,211.54,203.246,195.276,187.62,180.263,173.195,166.404,159.879,153.61,147.587,141.8,136.24,130.898,125.766,120.834,116.096,111.544,2733.21
1912,0,5347.33,5154.46,4973.75,4795.34,4626.54,4458.05,4295.64,4141.97,3993.99,3848.39,3705.5,3566.8,3478.74,3342.34,3211.28,3085.37,2964.39,2848.15,2736.47,2629.17,2526.08,2427.03,2331.86,2240.43,2152.58,2068.17,1987.08,1909.16,1834.3,1762.37,1693.26,1626.87,1563.08,1501.79,1442.9,1386.32,1331.96,1279.73,1229.55,1181.34,1135.02,1090.51,1047.75,1006.67,967.195,929.27,892.833,857.824,824.188,791.871,760.822,730.989,702.327,674.788,648.33,622.909,598.484,575.017,552.471,530.808,509.995,489.998,470.786,452.326,434.59,417.55,401.178,385.448,370.334,355.813,341.862,328.458,315.579,303.205,291.316,279.894,268.919,258.375,248.244,238.51,229.158,220.173,211.54,203.245,195.276,187.619,180.263,173.195,166.404,159.879,153.61,147.587,141.8,136.24,130.898,125.765,120.834,116.096,111.544,2733.2
1913,0,5342.79,5137.66,4952.35,4778.73,4607.31,4445.13,4283.25,4127.21,3979.56,3837.38,3697.49,3560.21,3426.94,3342.34,3211.28,3085.37,2964.39,2848.15,2736.47,2629.17,2526.08,2427.03,2331.86,2240.43,2152.58,2068.17,1987.07,1909.16,1834.3,1762.37,1693.26,1626.87,1563.07,1501.78,1442.89,1386.32,1331.96,1279.73,1229.55,1181.33,1135.01,1090.51,1047.75,1006.66,967.191,929.267,892.829,857.821,824.185,791.868,760.818,730.986,702.324,674.786,648.327,622.906,598.482,575.015,552.469,530.806,509.993,489.997,470.784,452.324,434.589,417.549,401.177,385.446,370.333,355.812,341.861,328.457,315.578,303.204,291.315,279.893,268.918,258.374,248.243,238.51,229.158,220.172,211.539,203.245,195.276,187.619,180.262,173.194,166.403,159.879,153.61,147.587,141.8,136.24,130.898,125.765,120.834,116.096,111.544,2733.2
1914,0,5341.63,5133.29,4936.21,4758.17,4591.35,4426.66,4270.84,4115.3,3965.38,3823.52,3686.92,3552.51,3420.61,3292.57,3211.28,3085.37,2964.39,2848.15,2736.47,2629.17,2526.08,2427.03,2331.86,2240.43,2152.58,2068.17,1987.07,1909.16,1834.29,1762.37,1693.26,1626.86,1563.07,1501.78,1442.89,1386.31,1331.95,1279.72,1229.54,1181.33,1135.01,1090.5,1047.74,1006.66,967.187,929.263,892.826,857.817,824.181,791.865,760.815,730.983,702.321,674.783,648.324,622.903,598.479,575.013,552.466,530.804,509.991,489.995,470.782,452.323,434.587,417.547,401.175,385.445,370.332,355.811,341.86,328.456,315.577,303.203,291.315,279.892,268.918,258.373,248.243,238.509,229.157,220.172,211.539,203.245,195.275,187.619,180.262,173.194,166.403,159.878,153.609,147.586,141.8,136.24,130.898,125.765,120.834,116.096,111.544,2733.2
1915,0,5321.72,5132.18,4932.01,4742.66,4571.6,4411.32,4253.08,4103.38,3953.93,3809.89,3673.59,3542.35,3413.22,3286.49,3163.46,3085.37,2964.39,2848.15,2736.47,2629.17,2526.08,2427.03,2331.86,2240.43,2152.57,2068.17,1987.07,1909.15,1834.29,1762.36,1693.26,1626.86,1563.07,1501.78,1442.89,1386.31,1331.95,1279.72,1229.54,1181.33,1135,1090.5,1047.74,1006.66,967.184,929.259,892.822,857.813,824.178,791.861,760.812,730.98,702.318,674.78,648.321,622.9,598.476,575.01,552.464,530.802,509.989,489.992,470.78,452.321,434.585,417.545,401.173,385.443,370.33,355.81,341.859,328.454,315.576,303.202,291.314,279.891,268.917,258.373,248.242,238.508,229.157,220.171,211.538,203.244,195.275,187.618,180.262,173.194,166.403,159.878,153.609,147.586,141.799,136.239,130.897,125.765,120.834,116.096,111.544,2733.2
1916,0,5299.63,5113.05,4930.95,4738.63,4556.69,4392.34,4238.35,4086.32,3942.48,3798.9,3660.5,3529.55,3403.45,3279.38,3157.62,3039.42,2964.39,2848.15,2736.47,2629.17,2526.08,2427.03,2331.86,2240.42,2152.57,2068.17,1987.07,1909.15,1834.29,1762.36,1693.26,1626.86,1563.07,1501.77,1442.88,1386.31,1331.95,1279.72,1229.54,1181.32,1135,1090.5,1047.74,1006.65,967.18,929.255,892.818,857.81,824.174,791.857,760.808,730.976,702.314,674.776,648.318,622.897,598.474,575.007,552.461,530.799,509.987,489.99,470.778,452.319,434.583,417.543,401.172,385.442,370.329,355.808,341.857,328.453,315.575,303.201,291.313,279.89,268.916,258.372,248.241,238.508,229.156,220.171,211.538,203.243,195.274,187.618,180.261,173.193,166.402,159.878,153.609,147.586,141.799,136.239,130.897,125.765,120.833,116.096,111.543,2733.19
1917,0,5288.15,5091.83,4912.57,4737.6,4552.82,4378.02,4220.11,4072.16,3926.09,3787.89,3649.94,3516.97,3391.15,3270,3150.79,3033.81,2920.24,2848.15,2736.47,2629.17,2526.08,2427.03,2331.86,2240.42,2152.57,2068.17,1987.07,1909.15,1834.29,1762.36,1693.25,1626.86,1563.06,1501.77,1442.88,1386.3,1331.94,1279.71,1229.53,1181.32,1135,1090.49,1047.73,1006.65,967.175,929.251,892.814,857.805,824.17,791.854,760.804,730.973,702.311,674.773,648.315,622.894,598.47,575.004,552.458,530.797,509.984,489.988,470.775,452.316,434.581,417.542,401.17,385.44,370.327,355.807,341.856,328.452,315.573,303.2,291.312,279.889,268.915,258.371,248.24,238.507,229.155,220.17,211.537,203.243,195.274,187.617,180.261,173.193,166.402,159.877,153.609,147.586,141.799,136.239,130.897,125.764,120.833,116.095,111.543,2733.19
1918,0,5280.94,5080.8,4892.18,4719.94,4551.84,4374.3,4206.36,4054.64,3912.49,3772.15,3639.37,3506.82,3379.07,3258.18,3141.78,3027.25,2914.85,2805.74,2736.47,2629.17,2526.08,2427.03,2331.86,2240.42,2152.57,2068.16,1987.07,1909.15,1834.29,1762.36,1693.25,1626.85,1563.06,1501.77,1442.88,1386.3,1331.94,1279.71,1229.53,1181.32,1134.99,1090.49,1047.73,1006.64,967.171,929.247,892.81,857.801,824.166,791.85,760.8,730.969,702.307,674.769,648.311,622.891,598.467,575.001,552.456,530.794,509.981,489.985,470.773,452.314,434.579,417.539,401.168,385.438,370.326,355.805,341.854,328.45,315.572,303.199,291.31,279.888,268.914,258.37,248.239,238.506,229.154,220.169,211.537,203.242,195.273,187.617,180.26,173.192,166.401,159.877,153.608,147.585,141.798,136.239,130.897,125.764,120.833,116.095,111.543,2733.19
1919,0,5273.65,5073.87,4881.58,4700.35,4534.87,4373.36,4202.78,4041.42,3895.66,3759.08,3624.24,3496.67,3369.32,3246.58,3130.43,3018.59,2908.55,2800.56,2695.72,2629.17,2526.08,2427.03,2331.86,2240.42,2152.57,2068.16,1987.06,1909.15,1834.28,1762.36,1693.25,1626.85,1563.06,1501.76,1442.88,1386.3,1331.93,1279.71,1229.52,1181.31,1134.99,1090.48,1047.72,1006.64,967.167,929.242,892.805,857.797,824.162,791.845,760.796,730.965,702.303,674.766,648.308,622.887,598.464,574.998,552.452,530.791,509.979,489.983,470.771,452.312,434.577,417.537,401.166,385.436,370.324,355.804,341.853,328.449,315.571,303.197,291.309,279.887,268.913,258.369,248.239,238.505,229.154,220.169,211.536,203.242,195.273,187.616,180.26,173.192,166.401,159.876,153.608,147.585,141.798,136.238,130.896,125.764,120.833,116.095,111.543,2733.18
1920,0,5261.83,5066.86,4874.92,4690.17,4516.05,4357.06,4201.88,4037.99,3882.96,3742.91,3611.68,3482.13,3359.56,3237.21,3119.27,3007.68,2900.23,2794.5,2690.74,2590.02,2526.08,2427.03,2331.86,2240.42,2152.57,2068.16,1987.06,1909.15,1834.28,1762.35,1693.25,1626.85,1563.05,1501.76,1442.87,1386.29,1331.93,1279.7,1229.52,1181.31,1134.98,1090.48,1047.72,1006.63,967.162,929.238,892.801,857.793,824.157,791.841,760.792,730.961,702.299,674.762,648.304,622.884,598.46,574.995,552.449,530.788,509.976,489.98,470.768,452.309,434.574,417.535,401.164,385.434,370.322,355.802,341.851,328.447,315.569,303.196,291.308,279.886,268.912,258.368,248.238,238.504,229.153,220.168,211.535,203.241,195.272,187.615,180.259,173.191,166.401,159.876,153.607,147.584,141.798,136.238,130.896,125.764,120.832,116.095,111.543,2733.18
