"","h 0.5","h 0.55","h 0.6","h 0.65","h 0.7","h 0.72","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",259.834,259.066,258.436,257.913,257.472,257.314,257.096,256.773,256.492,256.247,256.03,255.838
"surveylike",-52.3537,-52.6552,-52.9154,-53.1422,-53.3414,-53.4145,-53.5178,-53.6746,-53.8144,-53.9402,-54.0541,-54.1577
"discardlike",124.308,124.228,124.161,124.104,124.057,124.04,124.016,123.982,123.953,123.928,123.907,123.888
"lengthlike",257.546,257.705,257.854,257.992,258.119,258.167,258.235,258.341,258.437,258.525,258.605,258.679
"agelike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recrlike",2.58618,2.06777,1.64116,1.2851,0.984306,0.876843,0.727522,0.505976,0.31282,0.143485,-0.00586967,-0.138425
"forerecrlike",0.00500198,0.00523963,0.00546325,0.00567278,0.00586894,0.00594386,0.00605241,0.00622354,0.00638316,0.00653225,0.00667168,0.00680238
"priorlike",6.63411,6.60216,6.57338,6.54757,6.52441,6.51582,6.5036,6.48496,6.46826,6.45311,6.4393,6.4267
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0
"R0",9.49484,9.48464,9.47618,9.46912,9.46317,9.46106,9.45814,9.45381,9.44997,9.44664,9.44375,9.44123
"SB0",23396.5,23159,22964,22802.3,22667.2,22619.4,22553.5,22455.9,22369.9,22295.5,22231.1,22175.2
"SBfinal",9513.29,9427.73,9362.93,9313.86,9276.9,9264.9,9249.38,9228.17,9210.6,9197.48,9188.29,9182.17
"deplfinal",0.406611,0.407087,0.407722,0.408462,0.409266,0.4096,0.410109,0.410946,0.411741,0.412527,0.413307,0.414074
"yieldspr",867.426,959.033,1026.17,1077.4,1117.75,1131.59,1150.36,1177.24,1199.7,1218.82,1235.34,1249.75
"steep",0.5,0.55,0.6,0.65,0.7,0.72,0.75,0.8,0.85,0.9,0.95,1
"mfem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminfem",11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832,11.3832
"lmaxfem",73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079
"kfem",0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856
"cv1fem",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"cv2fem",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733,9.1733
"lmaxmale",66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728
"kmale",0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854
"cv1male",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
"cv2male",0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034,0.109034
