id,sex,r1,r2,age,length_cm,sex2
1230_402_3,Female,22,21,21.5,24.8,Female
1230_403_4,Male,18,17,17.5,25,Male
1230_405_6,Female,12,14,13,20.5,Female
1230_409_8,Female,14,14,14,19.9,Female
1231_401_10,Female,50,54,52,58,Female
1231_402_11,Female,17,19,18,32.2,Female
1231_404_13,Female,22,21,21.5,30.5,Female
1231_405_14,Female,16,13,14.5,27.3,Female
1231_406_15,Female,19,16,17.5,27.5,Female
1231_407_16,Male,19,18,18.5,29.3,Male
1231_408_17,Female,17,17,17,24.6,Female
1231_409_18,Male,13,17,15,26.6,Male
1231_410_19,Female,20,18,19,26.2,Female
1231_411_20,Female,22,21,21.5,29.9,Female
1231_413_21,Female,33,28,30.5,30.6,Female
1231_414_22,Male,19,21,20,27.5,Male
1231_415_23,Male,20,18,19,24.4,Male
1231_416_24,Female,22,25,23.5,29.3,Female
1231_417_25,Female,19,19,19,25,Female
1231_418_26,Male,48,51,49.5,41.7,Male
1231_419_27,Male,31,33,32,35.6,Male
1231_420_28,Male,16,18,17,26.4,Male
1231_421_29,Male,22,23,22.5,30.3,Male
1231_422_30,Female,23,18,20.5,27.4,Female
1231_423_31,Male,59,62,60.5,51.8,Male
1231_425_32,Female,17,18,17.5,26.1,Female
1231_426_33,Female,17,18,17.5,25.9,Female
1231_427_34,Female,35,31,33,34.4,Female
1231_428_35,Male,18,23,20.5,25,Male
1231_429_36,Female,21,23,22,28,Female
1231_430_37,Female,16,19,17.5,23.8,Female
1231_431_38,Male,13,12,12.5,21.9,Male
1231_432_39,Female,17,18,17.5,27.2,Female
1231_433_40,Male,19,18,18.5,26,Male
1231_434_41,Male,20,19,19.5,24.8,Male
1231_435_42,Female,67,77,72,61.5,Female
1231_436_43,Male,27,24,25.5,33.9,Male
1231_438_45,Male,15,15,15,22.1,Male
1231_439_46,Male,19,19,19,25.6,Male
1231_440_47,Female,25,21,23,32.3,Female
1231_441_48,Male,24,23,23.5,27.4,Male
1231_443_49,Male,25,21,23,28.9,Male
1231_444_50,Female,21,17,19,22.7,Female
1231_445_51,Male,23,22,22.5,39,Male
1231_446_52,Female,17,18,17.5,26.3,Female
1231_450_56,Male,28,23,25.5,24.5,Male
1231_451_57,Male,15,16,15.5,29.2,Male
1231_452_58,Female,13,15,14,22.2,Female
1231_453_59,Male,24,27,25.5,22.8,Male
1231_454_60,Male,55,55,55,41.2,Male
1231_455_61,Male,23,21,22,33.8,Male
1231_456_62,Male,16,18,17,25.3,Male
1231_458_64,Female,9,9,9,21.8,Female
1231_459_65,Female,13,10,11.5,23.5,Female
1231_460_66,Female,25,28,26.5,28,Female
1231_461_67,Female,18,18,18,28,Female
1231_462_68,Female,18,18,18,30.3,Female
1231_463_69,Female,21,17,19,30.7,Female
1231_464_70,Female,23,19,21,29,Female
1231_465_71,Male,22,17,19.5,24.2,Male
1231_467_72,Male,17,14,15.5,22.4,Male
1231_468_73,Male,16,17,16.5,28,Male
1231_469_74,Female,18,17,17.5,28,Female
1231_470_75,Male,19,15,17,25.2,Male
1231_472_76,Female,14,14,14,20.2,Female
1231_473_77,Male,18,21,19.5,22.2,Male
1231_474_78,Female,11,10,10.5,20.8,Female
1231_476_79,Female,48,46,47,61.7,Female
1232_401_81,Male,31,29,30,51.4,Male
1232_402_82,Male,30,38,34,40,Male
1232_403_83,Male,35,49,42,47.4,Male
1232_404_84,Male,110,107,108.5,65.2,Male
1232_405_85,Male,30,42,36,45.3,Male
1232_406_86,Male,25,30,27.5,35.6,Male
1232_407_87,Female,47,51,49,49.8,Female
1232_408_88,Male,38,39,38.5,45.5,Male
1232_409_89,Male,59,56,57.5,46.2,Male
1232_410_90,Male,40,36,38,42.8,Male
1232_411_91,Female,80,79,79.5,55.2,Female
1232_412_92,Male,34,34,34,39.1,Male
1232_414_94,Female,42,39,40.5,48.8,Female
1232_415_95,Female,55,48,51.5,56.4,Female
1233_401_96,Male,43,44,43.5,43.1,Male
1233_402_97,Male,42,36,39,39.9,Male
1233_403_98,Male,48,41,44.5,43.4,Male
1233_404_99,Female,59,60,59.5,57.2,Female
1233_405_100,Male,65,70,67.5,58.7,Male
1233_406_101,Male,107,95,101,60.2,Male
1233_407_102,Female,55,63,59,52.2,Female
1233_408_103,Male,36,41,38.5,46.1,Male
1233_409_104,Female,65,63,64,52.1,Female
1233_410_105,Male,38,36,37,40.8,Male
1233_411_106,Female,60,63,61.5,56.8,Female
1233_412_107,Male,43,46,44.5,42.6,Male
