Sensitivity_Run,Sex,A1,A2,Length_at_A1,Length_at_A2,k
Base_2023,Male,2,100,9.173302220555183,66.07283405498553,0.016785374453140215
Base_2023,Female,2,100,11.383213736604688,73.60789120941972,0.009898557783902515
Increase_Lengths_at_A1_and_A2_25percent,Male,2,100,11.46662777569398,82.59104256873192,0.016785374453140215
Increase_Lengths_at_A1_and_A2_25percent,Female,2,100,14.22901717075586,92.00986401177465,0.009898557783902515
Decrease_Lengths_at_A1_and_A2_10percent,Male,2,100,8.255971998499664,59.465550649486985,0.016785374453140215
Decrease_Lengths_at_A1_and_A2_10percent,Female,2,100,10.244892362944219,66.24710208847775,0.009898557783902515
