"","LANDING_YEAR","South_TWL","South_NONTWL","North_TWL","North_NONTWL"
"1",1981,1613.54289115331,5.62682770562241,72.1459117657379,0
"2",1982,1655.95729452771,4.17947599788508,115.153857601311,0
"3",1983,1424.79379183219,6.45290198422354,118.250131715736,0
"4",1984,1847.27664664958,2.09608391550174,252.736405284062,0
"5",1985,2397.98719630738,12.8552357341798,56.4582757455786,0
"6",1986,2333.99340607078,18.1963928890761,25.4248102334131,0
"7",1987,1788.49088570261,40.9029746410193,675.60786235984,7.88592149163379
"8",1988,1966.65103483525,47.6458296304722,897.67416223279,22.7577038105506
"9",1989,3129.93947412366,35.6531431254642,1723.23958468119,25.6590989708706
"10",1990,1913.59196352149,31.7060157716073,2252.57125257882,26.9845820596724
"11",1991,995.9580509031,18.6592592772536,2483.1534750272,53.7437643636261
"12",1992,1455.21013274051,43.80624219626,1841.67439633495,53.5902704744996
"13",1993,1572.02926546661,18.8968388465862,2211.14232964771,28.4620946599922
"14",1994,1188.39351538878,71.51346695336,2180.22901350959,20.6583594792291
"15",1995,930.855864926538,67.4434281590371,953.791340903909,25.6568913368039
"16",1996,709.779313043872,107.925341341416,810.142432655835,20.7335348849863
"17",1997,663.897859123906,65.8474908199612,689.592308879694,22.8691067317453
"18",1998,599.021152474494,69.9988783487247,582.08524513522,15.9468426392178
"19",1999,317.779021686348,56.745844459423,373.895539955346,17.1218963543067
"20",2000,444.93911009317,57.8949907708818,340.71769091022,13.8013532674359
"21",2001,203.414082959924,58.4281620616799,276.613233037027,12.6545830324466
"22",2002,378.548115115461,106.760980656359,288.513057931475,10.3821351520017
"23",2003,312.782578093317,158.001159219522,346.05012678266,10.7816003448245
"24",2004,293.091950383347,152.479596782973,328.549373379145,10.4981816797289
"25",2005,216.516585027518,140.712605948659,292.594080786606,10.7359778427747
"26",2006,210.536097902125,147.553241831391,334.062923645494,15.4684886613383
"27",2007,222.703063882928,145.793287319895,626.031830323727,16.3536723577662
"28",2008,259.939329253548,178.956228802036,972.945065427034,19.8560842254263
"29",2009,308.737999641059,173.043209474661,1022.69524086499,28.6652840348703
"30",2010,285.998430904473,208.926548131785,834.860179037168,23.1533381436502
"31",2011,232.989707503772,237.057028590801,483.466072260671,24.2698535860981
"32",2012,263.587162492469,156.115730591906,455.932707301529,36.645886932794
"33",2013,296.675491951656,147.13283304743,547.976715579576,19.3102981044438
"34",2014,254.050485161947,128.414572711826,433.115755552123,20.2924803520341
"35",2015,244.291008399433,114.987034756768,503.136645344504,19.2781324179646
"36",2016,185.732961010735,144.137246026355,577.189091344858,26.7057745692549
"37",2017,289.913161973624,202.286086427307,606.856166118635,39.0472784915905
"38",2018,105.072301716654,152.402145890449,525.043543766171,33.2824689515342
"39",2019,127.942642713786,117.415847947526,402.947181251628,29.2991650425868
"40",2020,87.9897686072004,74.928162704091,248.473252057629,10.3105762382135
"41",2021,73.3862943853855,64.8714932444991,226.000094414132,13.8702493508844
"42",2022,97.6070271836365,55.2048885355263,261.158534325299,11.010647346075
"43",2023,0.00952543977798795,0.466746549121409,3.82600084181301,0.00136077711114113
