"Year","Fleet","round_mtons"
2011,"NOther",2.745
2012,"NOther",6.987
2013,"NOther",1.953
2014,"NOther",0.977
2015,"NOther",0.535
2016,"NOther",2.732
2017,"NOther",2.01
2018,"NOther",2.371
2019,"NOther",1.724
2020,"NOther",1.161
2021,"NOther",0.907
2022,"NOther",1.274
