"Year","Fleet","round_mtons"
1954,"NTrawl",78.744931976
1955,"NOther",0.009979024
1955,"NTrawl",11.12661176
1956,"NOther",0.258093848
1956,"NTrawl",10.769634856
1957,"NTrawl",3.00958292
1958,"NTrawl",14.44010132
1959,"NTrawl",14.992122784
1960,"NTrawl",6.305835984
1961,"NTrawl",7.818111712
1962,"NTrawl",0.83007336
1964,"NOther",0.003628736
1964,"NTrawl",1.360776
1965,"NTrawl",1.02738588
1969,"NTrawl",0.832935445287286
1970,"NTrawl",0.374542610723312
1971,"NTrawl",0.919362549699981
1972,"NTrawl",0.680543836717064
1973,"NTrawl",0.963409903686428
1974,"NTrawl",2.34313227417321
1975,"NTrawl",0.505694146691465
1976,"NTrawl",3.03983512961194
1978,"NTrawl",9.07952271075061
1979,"NTrawl",18.8502564462103
1980,"NTrawl",12.1658538128849
1981,"NTrawl",74.8363600848468
1982,"NTrawl",124.029726248579
1983,"NTrawl",146.127759837115
1984,"NTrawl",270.018326136651
1985,"NTrawl",60.9225491374285
1986,"NTrawl",29.5354525170107
1987,"NTrawl",66.7710261963986
1988,"NOther",20.71757873216
1988,"NTrawl",52.2290015456797
1989,"NOther",24.61128049896
1989,"NTrawl",111.943787892537
1990,"NOther",26.98456002544
1990,"NTrawl",147.061216559515
1991,"NOther",51.70943810488
1991,"NTrawl",86.6610323956073
1992,"NOther",48.12374798568
1992,"NTrawl",182.694608183849
1993,"NOther",24.2913484536
1993,"NTrawl",583.514879229715
1994,"NOther",17.67617633336
1994,"NTrawl",669.784430507818
1995,"NOther",20.3670972656
1995,"NTrawl",175.481955641529
1996,"NOther",19.38952485904
1996,"NTrawl",128.466798669517
1997,"NOther",20.9222152275338
1997,"NTrawl",111.471783895987
1998,"NOther",14.0943814075001
1998,"NTrawl",72.5219585472645
1999,"NOther",15.51344514144
1999,"NTrawl",42.0524647053931
2000,"NOther",12.3094779099552
2000,"NTrawl",36.4799456381445
2001,"NOther",11.53782919536
2001,"NTrawl",34.0515241563151
2002,"NOther",8.89842724248
2002,"NTrawl",22.9528896336555
2003,"NOther",10.23909550912
2003,"NTrawl",33.1762093044243
2004,"NOther",10.0704358514496
2004,"NTrawl",18.8633701591373
2005,"NOther",10.1630823803232
2005,"NTrawl",23.1879787468464
2006,"NOther",15.34283104656
2006,"NTrawl",32.5108475112351
2007,"NOther",16.110826259032
2007,"NTrawl",61.5340118516384
2008,"NOther",19.5861807719614
2008,"NTrawl",73.3998705713832
2009,"NOther",27.8631073980753
2009,"NTrawl",90.7904087279024
2010,"NOther",21.542898448
2010,"NTrawl",62.6911009579032
2011,"NOther",20.94100681156
2011,"NTrawl",94.8789157395632
2012,"NOther",29.3331012620323
2012,"NTrawl",78.3994822962144
2013,"NOther",17.3427526929112
2013,"NTrawl",62.6865352844824
2014,"NOther",19.1295172156736
2014,"NTrawl",49.0961426161098
