Year,Season,Fleet,Value,seLogB,survey,lci,uci
1980,NA,NA,239.651733288477,0.170380511503775,AFSC Triennial Shelf Survey 1,159.6210428835813,319.6824236933727
1983,NA,NA,310.30632165215,0.132203903857698,AFSC Triennial Shelf Survey 1,229.89985570844198,390.71278759585806
1986,NA,NA,144.926967697249,0.18186731916163,AFSC Triennial Shelf Survey 1,93.26630868217627,196.58762671232176
1989,NA,NA,191.629347384027,0.142737758650371,AFSC Triennial Shelf Survey 1,138.0179700510575,245.2407247169965
1992,NA,NA,200.025900184552,0.179714372991675,AFSC Triennial Shelf Survey 1,129.56874288637823,270.48305748272577
1995,NA,NA,304.847278060421,0.175768399751954,AFSC Triennial Shelf Survey 1,199.82554232291946,409.86901379792255
1998,NA,NA,270.523319678113,0.208775316723324,AFSC Triennial Shelf Survey 1,159.8252798543006,381.22135950192546
2001,NA,NA,306.973206357642,0.152851633823834,AFSC Triennial Shelf Survey 1,215.00734833910525,398.9390643761788
2004,NA,NA,355.623165356565,0.197405380128368,AFSC Triennial Shelf Survey 1,218.02739012281927,493.2189405903107
1995,NA,NA,520.113405492991,0.185258944422736,AFSC Triennial Shelf Survey 2,331.2563109487689,708.970500037213
1998,NA,NA,378.399513283702,0.168827629890035,AFSC Triennial Shelf Survey 2,253.18629904441076,503.6127275229932
2001,NA,NA,461.08886658235,0.135582055588218,AFSC Triennial Shelf Survey 2,338.55872895579984,583.6190042089002
2004,NA,NA,510.347376419581,0.198659768442002,AFSC Triennial Shelf Survey 2,311.6318128355665,709.0629400035955
1997,NA,NA,4348.69371321368,0.0888154069150897,AFSC Slope Survey,3591.680949904876,5105.706476522484
1999,NA,NA,4347.46129702359,0.0837296377216965,AFSC Slope Survey,3633.9990325821814,5060.923561464999
2000,NA,NA,5558.97441108773,0.0972136125936433,AFSC Slope Survey,4499.77476084551,6618.17406132995
2001,NA,NA,5469.26485651974,0.10045980221194,AFSC Slope Survey,4392.359975687592,6546.169737351887
1998,NA,NA,6781.13697105202,0.0638867363982446,NWFSC Slope Survey,5932.016539158038,7630.257402946003
1999,NA,NA,7529.89337604442,0.0899879738618028,NWFSC Slope Survey,6201.797673365351,8857.989078723489
2000,NA,NA,7383.18181233108,0.111914592823468,NWFSC Slope Survey,5763.661671244492,9002.701953417669
2001,NA,NA,7172.07767630805,0.0669383131897995,NWFSC Slope Survey,6231.107584140226,8113.047768475874
2002,NA,NA,9266.88914201765,0.0726815170068565,NWFSC Slope Survey,7946.767282896279,10587.01100113902
2003,NA,NA,5065.45964901948,0.105227420106877,West Coast Groundfish Bottom Trawl Survey ,4020.730157996739,6110.189140042221
2004,NA,NA,5295.24133678041,0.092892308558838,West Coast Groundfish Bottom Trawl Survey ,4331.142440166959,6259.340233393861
2005,NA,NA,4819.44777579212,0.0584263762290811,West Coast Groundfish Bottom Trawl Survey ,4267.545352621037,5371.350198963204
2006,NA,NA,4741.6571786709,0.069675651691948,West Coast Groundfish Bottom Trawl Survey ,4094.116192784451,5389.198164557349
2007,NA,NA,4887.45405462734,0.0809471669236504,West Coast Groundfish Bottom Trawl Survey ,4112.027958611821,5662.880150642859
2008,NA,NA,4353.00499861819,0.0620620457130562,West Coast Groundfish Bottom Trawl Survey ,3823.498463999918,4882.511533236462
2009,NA,NA,5726.52501808082,0.186795654782928,West Coast Groundfish Bottom Trawl Survey ,3629.932636929698,7823.117399231942
2010,NA,NA,4605.54848211901,0.0833550460597565,West Coast Groundfish Bottom Trawl Survey ,3853.1128986383656,5357.984065599655
2011,NA,NA,4798.40931654676,0.0680070311077625,West Coast Groundfish Bottom Trawl Survey ,4158.811196096742,5438.007436996779
2012,NA,NA,5323.42327689216,0.0848219097967493,West Coast Groundfish Bottom Trawl Survey ,4438.399136047334,6208.447417736987
2013,NA,NA,4790.41216756228,0.0824450693019565,West Coast Groundfish Bottom Trawl Survey ,4016.3182758086487,5564.506059315911
2014,NA,NA,4860.25402436253,0.0854936705415572,West Coast Groundfish Bottom Trawl Survey ,4045.83295000056,5674.6750987245
2015,NA,NA,4726.18320661442,0.0667888457370871,West Coast Groundfish Bottom Trawl Survey ,4107.4968172353265,5344.869595993513
2016,NA,NA,5319.2352325102,0.0717352272121509,West Coast Groundfish Bottom Trawl Survey ,4571.345198432165,6067.125266588236
2017,NA,NA,5844.25328767287,0.0682799407153045,West Coast Groundfish Bottom Trawl Survey ,5062.124562378117,6626.382012967623
2018,NA,NA,5550.19047831837,0.0539784258171418,West Coast Groundfish Bottom Trawl Survey ,4962.993010108737,6137.387946528003
2019,NA,NA,5295.05722428442,0.100051497707792,West Coast Groundfish Bottom Trawl Survey ,4256.691549037705,6333.422899531135
2021,NA,NA,5485.88606081206,0.0612186847017968,West Coast Groundfish Bottom Trawl Survey ,4827.6421518410625,6144.129969783058
