year,season,fleet_name,catch,catch_se
1901,1,Other,0.091,0.01
1902,1,Other,0.112,0.01
1903,1,Other,0.132,0.01
1904,1,Other,0.153,0.01
1905,1,Other,0.173,0.01
1906,1,Other,0.194,0.01
1907,1,Other,0.215,0.01
1908,1,Other,0.235,0.01
1909,1,Other,0.256,0.01
1910,1,Other,0.276,0.01
1911,1,Other,0.297,0.01
1912,1,Other,0.317,0.01
1913,1,Other,0.338,0.01
1914,1,Other,0.358,0.01
1915,1,Other,0.379,0.01
1916,1,Other,0.399,0.01
1917,1,Other,0.42,0.01
1918,1,Other,0.44,0.01
1919,1,Other,0.461,0.01
1920,1,Other,0.481,0.01
1921,1,Other,0.502,0.01
1922,1,Other,0.523,0.01
1923,1,Other,0.543,0.01
1924,1,Other,0.564,0.01
1925,1,Other,0.584,0.01
1926,1,Other,0.605,0.01
1927,1,Other,0.627,0.01
1928,1,Other,1.046,0.01
1929,1,Other,1.656,0.01
1930,1,Other,1.388,0.01
1931,1,Other,1.133,0.01
1932,1,Other,0.417,0.01
1933,1,Other,0.619,0.01
1934,1,Other,0.706,0.01
1935,1,Other,0.666,0.01
1936,1,Other,1.454,0.01
1937,1,Other,1.441,0.01
1938,1,Other,1.339,0.01
1939,1,Other,0.422,0.01
1940,1,Other,1.596,0.01
1941,1,Other,2.648,0.01
1942,1,Other,3.773,0.01
1943,1,Other,10.167,0.01
1944,1,Other,1.825,0.01
1945,1,Other,0.678,0.01
1946,1,Other,0.994,0.01
1947,1,Other,0.716,0.01
1948,1,Other,1.025,0.01
1949,1,Other,0.344,0.01
1950,1,Other,0.82,0.01
1951,1,Other,0.593,0.01
1952,1,Other,0.278,0.01
1953,1,Other,0.245,0.01
1954,1,Other,0.381,0.01
1955,1,Other,0.281979024,0.01
1956,1,Other,0.483093848,0.01
1957,1,Other,0.494,0.01
1958,1,Other,0.136,0.01
1959,1,Other,0.238,0.01
1960,1,Other,0.104,0.01
1961,1,Other,0.377,0.01
1962,1,Other,0.445,0.01
1963,1,Other,0.269,0.01
1964,1,Other,0.778628736,0.01
1965,1,Other,0.13,0.01
1966,1,Other,0.126,0.01
1967,1,Other,0.343,0.01
1968,1,Other,0.255,0.01
1969,1,Other,0.925,0.01
1970,1,Other,0.16,0.01
1971,1,Other,0.042,0.01
1972,1,Other,0.064,0.01
1973,1,Other,0.31,0.01
1974,1,Other,1.016,0.01
1975,1,Other,0.26,0.01
1976,1,Other,0.114,0.01
1977,1,Other,8.39,0.01
1978,1,Other,0.874,0.01
1979,1,Other,2.907,0.01
1980,1,Other,0.711,0.01
1981,1,Other,2.227,0.01
1982,1,Other,2.202,0.01
1983,1,Other,2.284,0.01
1984,1,Other,0.663,0.01
1985,1,Other,1.83,0.01
1986,1,Other,3.175,0.01
1987,1,Other,4.161928130810887,0.01
1988,1,Other,22.757703810550574,0.01
1989,1,Other,25.07487199782065,0.01
1990,1,Other,26.98458205967242,0.01
1991,1,Other,51.77653425328639,0.01
1992,1,Other,51.90154607957347,0.01
1993,1,Other,24.382484880791075,0.01
1994,1,Other,18.117335020358265,0.01
1995,1,Other,25.65689133680394,0.01
1996,1,Other,20.733534884986348,0.01
1997,1,Other,22.869106731745315,0.01
1998,1,Other,15.94684263921777,0.01
1999,1,Other,17.121896354306664,0.01
2000,1,Other,13.801353267435857,0.01
2001,1,Other,12.654583032446613,0.01
2002,1,Other,10.382135152001661,0.01
