Year,North,South
1962,0,230
1963,0,285
1964,12,172
1965,20,400
1966,612,543
1967,369,864
1968,159,1835
1969,155,400
1970,149,557
1971,260,582
1972,389,1297
1973,712,2377
1974,215,1244
1975,405,1867
1976,52,992
1977,91,1359
1978,76,1136
1979,109,1720
1980,87,1192
1981,94,1633
1982,252,1660
1983,728,1564
1984,845,1960
1985,813,2574
1986,472,2442
1987,580,1976
1988,720,2190
1989,1373,3529
1990,1903,2244
1991,2218,1316
1992,1721,1655
1993,2064,1788
1994,1860,1575
1995,841,1120
1996,710,918
1997,656,835
1998,522,728
1999,337,497
2000,303,546
2001,253,298
2002,246,539
2003,299,528
2004,298,407
