"year","total_catch"
1975,2.6255307168217
1976,1.8185949948764
1977,2.1117688564983
1978,0.446157518898038
1979,3.72929152921194
1980,0.58112561690383
1981,0.532018004438684
1982,0.040941879787224
1983,0.00169824596421254
1984,0.0448220520162252
1985,1.27668700554939
1986,0.5626456
1987,7.29613201466615
1988,5.43192599477958
1989,0.12380840266223
1990,19.1383839016985
1991,0.552573295950721
1992,11.5442087650305
1993,0.521762634987711
1994,0.256412979263067
1995,6.34583647617371
1996,2.13562991052675
1997,0.603305921180544
1998,3.09804516942298
1999,0.0367961592729335
2000,20.5859763380493
2001,15.6428785095717
2002,11.9706064171421
2003,15.7950669936102
2004,5.64461024976359
2005,7.08732612004739
2006,0.526609314581449
2007,2.73475716418381
2008,6.5958833051579
2009,0.497776794694177
2010,3.96692149511565
2011,13.4138477894876
2012,1.74038498411462
2013,22.1356222238406
2014,23.0197233913402
2015,10.5271483492369
2016,10.5240210347953
2017,27.9706783901692
2018,70.8489464060882
2019,57.187684959014
2020,9.62103609990285
2021,76.8105897506866
2022,245.136415246223
