Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.model.francis_2,Early_RecrDev_1919,-0.063935,6,-5,5,0,1.8554e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1920,-0.0661748,6,-5,5,0,-4.98483e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1921,-0.0675014,6,-5,5,0,-3.94364e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1922,-0.0695108,6,-5,5,0,4.35876e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1923,-0.0702689,6,-5,5,0,-5.80358e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1924,-0.0700906,6,-5,5,0,-4.34031e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1925,-0.0701088,6,-5,5,0,-4.5107e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1926,-0.0695942,6,-5,5,0,6.24492e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1927,-0.0684774,6,-5,5,0,6.43056e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1928,-0.0666854,6,-5,5,0,-1.03371e-5,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1929,-0.0641442,6,-5,5,0,7.19029e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1930,-0.0607852,6,-5,5,0,-5.40484e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1931,-0.0565435,6,-5,5,0,-7.73856e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1932,-0.0513688,6,-5,5,0,2.49552e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1933,-0.0452307,6,-5,5,0,2.65913e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1934,-0.0381286,6,-5,5,0,-2.3524e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1935,-0.030104,6,-5,5,0,7.65074e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1936,-0.0212558,6,-5,5,0,-8.057e-7,dev,NA,NA,NA,NA,NA
