Label,Phase,23.model.francis_2,23.surveys.gamvln
SR_LN(R0),4,9.32091,9.24804
LnQ_base_Triennial1(4),-1,-0.354591,-0.0220234
LnQ_base_NWFSCcombo(6),-1,0.345615,0.690554
