Year,JuvINDX
2003,0.1
2004,0.22
2005,0.15
2006,0.1
2007,0.09
2008,0.13
2009,0.28
2010,0.56
2011,0.13
2012,0.135
2013,0.14
2014,0.07
2015,0.06
2016,0.058
2017,0.055
2018,0.06
2019,0.058
2020,
2021,0.058
