"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 1+ Biomass (mt)","Spawning Output","Fraction Unfished"
2023,894.131,756.11,95317.9,8716.84,0.39362
2024,917.105,756.11,95942.3,8686.69,0.392259
2025,939.749,710.838,96595.2,8666.24,0.391335
2026,962.457,713.473,97317.9,8658.74,0.390997
2027,984.524,716.192,98058.6,8660.12,0.391059
2028,1005.9,718.041,98813.4,8669.87,0.391499
2029,1026.58,720.051,99580.2,8687.53,0.392297
2030,1046.56,721.254,100356,8712.5,0.393424
2031,1065.88,721.672,101138,8744.22,0.394857
2032,1084.54,721.318,101927,8782.1,0.396567
2033,1102.57,720.201,102719,8825.59,0.398531
2034,1119.95,719.011,103514,8874.11,0.400722
