"","Yr","Seas","Flt","Gender","Part","Nsamp","f6","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","f58","f60","f62","f64","f66","f68","f70","f72","m6","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56","m58","m60","m62","m64","m66","m68","m70","m72"
"1",1985,1,1,0,1,104,0,0.00223335443750429,0.00374732487935735,0.00709735653561378,0.0329965495322166,0.0290717856912353,0.0483979263103358,0.0780720560526991,0.08625882474855,0.107843867223251,0.122559317607866,0.147295963333071,0.0945625476861142,0.0800129663592859,0.043909117464928,0.0284607063345582,0.0291308858118305,0.012726939638184,0.00814927932549114,0.0157461498236891,0.00154547676864015,0.00499955579498322,0.00313001546539217,0.00432464933200261,0.00231821515296023,0,0.000772738384320077,0.00154547676864015,0.00154547676864015,0.000772738384320077,0,0,0.000772738384320077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1986,1,1,0,1,1724,0,0.00188905474451668,0.00345196228583798,0.006285544402613,0.0317742097330418,0.0284016820367332,0.0474095326486833,0.0780145421665887,0.0872078496862305,0.108675024293889,0.121662370111117,0.149687274249519,0.0941714581442495,0.0809927857166662,0.0454052805275839,0.0297832774952999,0.0300067492840023,0.0119557266840099,0.0079064550994527,0.0129035836291229,0.00144734744462865,0.00471898946086664,0.00380958566679009,0.00520297726541387,0.00217102116694297,0,0.000723673722314324,0.00144734744462865,0.00144734744462865,0.000723673722314324,0,0,0.000723673722314324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1987,1,1,0,1,386,0,0.00155267376712601,0.00349561540505356,0.00582462605574258,0.0270963789569337,0.0253520574342541,0.0466629352138121,0.0765954127228575,0.0920332364146045,0.109795915694657,0.120925411779653,0.149059991237542,0.0930496025673167,0.0825333229047736,0.0478457216571848,0.0293449359751991,0.0296698231522523,0.0114340998737109,0.00773196196543667,0.0183761001852265,0.00138458694699989,0.00451116513871139,0.00365008475600726,0.0051514054599444,0.00207688042049984,0,0.000692293473499947,0.00138458694699989,0.00138458694699989,0.000692293473499947,0,0,0.000692293473499947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2006,1,1,0,1,703,0.00142247510668563,0.015647226173542,0.0128022759601707,0.0327169274537696,0.0654338549075391,0.0867709815078236,0.145092460881935,0.184921763869132,0.194879089615932,0.119487908961593,0.0753911806543385,0.027027027027027,0.0142247510668563,0.0085348506401138,0.00711237553342817,0,0,0.00142247510668563,0,0.0042674253200569,0.00142247510668563,0,0,0,0,0,0,0,0.00142247510668563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2007,1,1,0,1,1146,0.00087260034904014,0.0043630017452007,0.0165794066317627,0.0427574171029668,0.081151832460733,0.12739965095986,0.184118673647469,0.18673647469459,0.177137870855148,0.105584642233857,0.0383944153577661,0.0200698080279232,0.00785340314136126,0.00087260034904014,0.00349040139616056,0.00087260034904014,0.00087260034904014,0,0.00087260034904014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2008,1,1,0,1,1703,0.00587199060481503,0.00763358778625954,0.0158543746330006,0.0405167351732237,0.0974750440399295,0.208455666470934,0.223722842043453,0.209630064591897,0.119201409277745,0.0428655314151497,0.00645918966529654,0.00880798590722255,0.00587199060481503,0.00234879624192601,0.00234879624192601,0,0.000587199060481503,0,0.000587199060481503,0,0.00117439812096301,0,0,0,0,0,0,0.000587199060481503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2009,1,1,0,1,2428,0.00247116968698517,0.00906095551894563,0.0189456342668863,0.0164744645799012,0.0613673805601318,0.116968698517298,0.194810543657331,0.205518945634267,0.180807248764415,0.117380560131796,0.0457166392092257,0.014827018121911,0.00453047775947282,0.00164744645799012,0.00370675453047776,0.00205930807248764,0.000823723228995058,0.000823723228995058,0.000411861614497529,0.000411861614497529,0,0.000823723228995058,0.000411861614497529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2010,1,1,0,1,1274,0,0.00549450549450549,0.0117739403453689,0.032182103610675,0.0722135007849294,0.0894819466248038,0.183673469387755,0.245682888540031,0.17425431711146,0.0989010989010989,0.0408163265306122,0.0172684458398744,0.010989010989011,0.0102040816326531,0.00156985871271586,0.00156985871271586,0,0,0,0.000784929356357928,0,0,0.000784929356357928,0.000784929356357928,0.000784929356357928,0,0,0,0,0.000784929356357928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2011,1,1,0,1,1459,0.0212474297464016,0.0315284441398218,0.0514050719671008,0.140507196710075,0.150102810143934,0.162440027416038,0.159698423577793,0.156271418779986,0.0767649074708705,0.021932830705963,0.0109664153529815,0.00205620287868403,0.0047978067169294,0.00205620287868403,0.0047978067169294,0.00137080191912269,0,0,0.000685400959561343,0.000685400959561343,0,0,0,0,0,0,0.000685400959561343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2012,1,1,0,1,2235,0.00178970917225951,0.00984340044742729,0.0483221476510067,0.138702460850112,0.179865771812081,0.223266219239374,0.176286353467562,0.131096196868009,0.054586129753915,0.0170022371364653,0.00850111856823266,0.00492170022371365,0.00357941834451902,0.000894854586129754,0.000447427293064877,0,0,0,0,0,0,0.000447427293064877,0.000447427293064877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2013,1,1,0,1,1920,0.021875,0.0328125,0.0385416666666667,0.096875,0.179166666666667,0.215104166666667,0.1828125,0.130729166666667,0.0515625,0.0291666666666667,0.0135416666666667,0.00364583333333333,0.00104166666666667,0.0015625,0.00104166666666667,0.000520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2014,1,1,0,1,1547,0.00711053652230123,0.0433096315449257,0.0271493212669683,0.092436974789916,0.15513897866839,0.191338073691015,0.19715578539108,0.165481577246283,0.0788623141564318,0.0239172592113769,0.00840336134453781,0.00323206205559147,0.00193923723335488,0.000646412411118293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323206205559147,0,0,0.000646412411118293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2015,1,1,0,1,1014,0.00591715976331361,0.0167652859960552,0.0335305719921105,0.0848126232741617,0.157790927021696,0.281065088757396,0.222879684418146,0.127218934911243,0.0433925049309665,0.00986193293885602,0.00788954635108481,0.00394477317554241,0.00394477317554241,0,0,0,0,0.000986193293885602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2016,1,1,0,1,970,0.00103092783505155,0.011340206185567,0.0247422680412371,0.0597938144329897,0.149484536082474,0.285567010309278,0.255670103092783,0.125773195876289,0.0587628865979381,0.0144329896907217,0.00824742268041237,0.00309278350515464,0,0,0.00103092783505155,0,0,0,0,0,0,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2017,1,1,0,1,915,0.0207650273224044,0.0273224043715847,0.0306010928961749,0.053551912568306,0.130054644808743,0.251366120218579,0.222950819672131,0.146448087431694,0.0502732240437158,0.0295081967213115,0.0153005464480874,0.0131147540983607,0.00437158469945355,0.00218579234972678,0.00218579234972678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2018,1,1,0,1,1066,0.0131332082551595,0.0375234521575985,0.049718574108818,0.0469043151969981,0.103189493433396,0.215759849906191,0.212945590994371,0.153846153846154,0.0619136960600375,0.0525328330206379,0.0178236397748593,0.0206378986866792,0.00938086303939963,0.00187617260787992,0.000938086303939962,0.00187617260787992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2019,1,1,0,1,921,0,0.00434310532030402,0.0162866449511401,0.0618892508143322,0.11943539630836,0.198697068403909,0.204125950054289,0.149837133550489,0.0912052117263844,0.0640608034744843,0.0423452768729642,0.0238870792616721,0.0152008686210641,0.001085776330076,0.00217155266015201,0.001085776330076,0,0,0.001085776330076,0,0.001085776330076,0,0,0.001085776330076,0.001085776330076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2020,1,1,0,1,1032,0.00290697674418605,0.00484496124031008,0.0135658914728682,0.0222868217054264,0.0503875968992248,0.0949612403100775,0.127906976744186,0.168604651162791,0.175387596899225,0.15406976744186,0.104651162790698,0.0426356589147287,0.0213178294573643,0.0106589147286822,0.000968992248062015,0.00290697674418605,0,0,0,0.000968992248062015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000968992248062015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
