year,season,fleet,catch,catch_se
2003,1,2,302.3977354727495,0.01
2004,1,2,286.5875427105978,0.01
2005,1,2,214.10605796106728,0.01
2006,1,2,210.5339931602444,0.01
2007,1,2,222.5566239450088,0.01
2008,1,2,259.9393292535482,0.01
2009,1,2,308.38459023885,0.01
2010,1,2,284.22050591134723,0.01
2011,1,2,232.98970750377228,0.01
2012,1,2,263.58635570472376,0.01
2013,1,2,294.8315220298338,0.01
2014,1,2,254.0477611537888,0.01
2015,1,2,244.291008399433,0.01
2016,1,2,185.73088282111516,0.01
2017,1,2,158.3,0.01
2018,1,2,105.07230171665388,0.01
2019,1,2,127.94178592796986,0.01
2020,1,2,87.98976860720045,0.01
2021,1,2,73.38629438538554,0.01
2022,1,2,97.60702718363655,0.01
2023,1,2,0.00952543977798795,0.01
1901,1,3,0.091,0.01
1902,1,3,0.112,0.01
1903,1,3,0.132,0.01
1904,1,3,0.153,0.01
1905,1,3,0.173,0.01
1906,1,3,0.194,0.01
1907,1,3,0.215,0.01
1908,1,3,0.235,0.01
1909,1,3,0.256,0.01
1910,1,3,0.276,0.01
1911,1,3,0.297,0.01
1912,1,3,0.317,0.01
1913,1,3,0.338,0.01
1914,1,3,0.358,0.01
1915,1,3,0.379,0.01
1916,1,3,0.399,0.01
1917,1,3,0.42,0.01
1918,1,3,0.44,0.01
1919,1,3,0.461,0.01
1920,1,3,0.481,0.01
1921,1,3,0.502,0.01
1922,1,3,0.523,0.01
1923,1,3,0.543,0.01
1924,1,3,0.564,0.01
1925,1,3,0.584,0.01
1926,1,3,0.605,0.01
1927,1,3,0.627,0.01
1928,1,3,1.046,0.01
1929,1,3,1.656,0.01
1930,1,3,1.388,0.01
1931,1,3,1.133,0.01
1932,1,3,0.417,0.01
1933,1,3,0.619,0.01
1934,1,3,0.706,0.01
1935,1,3,0.666,0.01
1936,1,3,1.454,0.01
1937,1,3,1.441,0.01
1938,1,3,1.339,0.01
1939,1,3,0.422,0.01
1940,1,3,1.596,0.01
1941,1,3,2.648,0.01
1942,1,3,3.773,0.01
1943,1,3,10.167,0.01
1944,1,3,1.825,0.01
1945,1,3,0.678,0.01
1946,1,3,0.994,0.01
1947,1,3,0.716,0.01
1948,1,3,1.025,0.01
1949,1,3,0.344,0.01
