year,month,fleet,sex,partition,Nsamp,F6,F8,F10,F12,F14,F16,F18,F20,F22,F24,F26,F28,F30,F32,F34,F36,F38,F40,F42,F44,F46,F48,F50,F52,F54,F56,F58,F60,F62,F64,F66,F68,F70,F72,M6,M8,M10,M12,M14,M16,M18,M20,M22,M24,M26,M28,M30,M32,M34,M36,M38,M40,M42,M44,M46,M48,M50,M52,M54,M56,M58,M60,M62,M64,M66,M68,M70,M72
1981,7,1,0,2,5.140000000000001,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0.03333333333333333,0,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.19999999999999998,0.06666666666666667,0.03333333333333333,0,0.06666666666666667,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0.03333333333333333,0,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.19999999999999998,0.06666666666666667,0.03333333333333333,0,0.06666666666666667,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0
1982,7,1,0,2,25.700000000000003,0,0,0,0,0,0,0,0,0,0.0015036537408837606,0.0015036537408837606,0.006014614963535042,0.026679751062154877,0.15220456575168118,0.14862897062077862,0.15829821736240737,0.11195240142384458,0.07683345164893715,0.06376914432533906,0.043313908808263635,0.04527737776849514,9.599657402804017e-4,0.010928730553101016,0.02380682836935892,0.049353123420330325,0.006763367411618371,0.04181025506737987,0.011164543493829737,4.7998287014020083e-4,0.00628338454147817,0.0019836366110239615,0.008982816963371052,0.0015036537408837606,0,0,0,0,0,0,0,0,0,0,0.0015036537408837606,0.0015036537408837606,0.006014614963535042,0.026679751062154877,0.15220456575168118,0.14862897062077862,0.15829821736240737,0.11195240142384458,0.07683345164893715,0.06376914432533906,0.043313908808263635,0.04527737776849514,9.599657402804017e-4,0.010928730553101016,0.02380682836935892,0.049353123420330325,0.006763367411618371,0.04181025506737987,0.011164543493829737,4.7998287014020083e-4,0.00628338454147817,0.0019836366110239615,0.008982816963371052,0.0015036537408837606,0
1983,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,7,1,0,2,86.82000000000001,0,0,0,0,0,0,0.006663457429585281,0.010280138437664291,0.06387275016763291,0.06510025814542217,0.10782111543005479,0.07899707759116548,0.04657906774380005,0.012952454619249243,0.025755549996284075,0.01359015573135796,0.03182472915595858,0.05429463554188702,0.05359592579364575,0.059431334468052786,0.06452112802364865,0.06389531150452524,0.04269158501206799,0.047813599523331994,0.032031524250326876,0.019113803987797766,0.021101560990774756,0.019839321860719898,0.008497729563183506,0.02567016767681348,0.005679795388057639,0.012706026578934224,0,0.005679795388057639,0,0,0,0,0,0,0.006663457429585281,0.010280138437664291,0.06387275016763291,0.06510025814542217,0.10782111543005479,0.07899707759116548,0.04657906774380005,0.012952454619249243,0.025755549996284075,0.01359015573135796,0.03182472915595858,0.05429463554188702,0.05359592579364575,0.059431334468052786,0.06452112802364865,0.06389531150452524,0.04269158501206799,0.047813599523331994,0.032031524250326876,0.019113803987797766,0.021101560990774756,0.019839321860719898,0.008497729563183506,0.02567016767681348,0.005679795388057639,0.012706026578934224,0,0.005679795388057639
1991,7,1,0,2,193.14200000000002,0,0,0,0,0,0,0,0.001551782974558836,0.00816532138874668,0.045949049800782765,0.09648192440354668,0.12896121495071544,0.11061264433581129,0.06386123661033162,0.07228843661503039,0.06340009766740547,0.04408268439016909,0.04336065288646026,0.04004735648046468,0.0426642904740258,0.036679708989131456,0.02514764821226162,0.03619731963362007,0.014613666151026898,0.015271233066341108,0.01919230278403647,0.010385476936606335,0.0211886309998814,0.018314893119302372,0.018733756951064887,0.003809151890164682,0.003419139689279561,0.00638706392145577,0.009233314677778395,0,0,0,0,0,0,0,0.001551782974558836,0.00816532138874668,0.045949049800782765,0.09648192440354668,0.12896121495071544,0.11061264433581129,0.06386123661033162,0.07228843661503039,0.06340009766740547,0.04408268439016909,0.04336065288646026,0.04004735648046468,0.0426642904740258,0.036679708989131456,0.02514764821226162,0.03619731963362007,0.014613666151026898,0.015271233066341108,0.01919230278403647,0.010385476936606335,0.0211886309998814,0.018314893119302372,0.018733756951064887,0.003809151890164682,0.003419139689279561,0.00638706392145577,0.009233314677778395
1992,7,1,0,2,221.32600000000002,0,0,0,0,0,0.0011068890460575616,0.006525036127996345,0.008786204014149488,0.03848565578392482,0.09565733500779765,0.0928096774388935,0.1149465789979842,0.08099568694444555,0.060903751447911825,0.06154451938578683,0.04873838263548499,0.05278187341045245,0.03114225340618125,0.05596927865756254,0.0338414964634751,0.02967537492108194,0.028305392311258122,0.01968302794494195,0.033236702559717016,0.019095281859114136,0.016997697582408162,0.012162643119194001,0.013427592850787578,0.00989191817731087,0.01875358602053905,0.005540954613114828,0.003707224352429684,0.0022299149891737693,0.003058069930824851,0,0,0,0,0,0.0011068890460575616,0.006525036127996345,0.008786204014149488,0.03848565578392482,0.09565733500779765,0.0928096774388935,0.1149465789979842,0.08099568694444555,0.060903751447911825,0.06154451938578683,0.04873838263548499,0.05278187341045245,0.03114225340618125,0.05596927865756254,0.0338414964634751,0.02967537492108194,0.028305392311258122,0.01968302794494195,0.033236702559717016,0.019095281859114136,0.016997697582408162,0.012162643119194001,0.013427592850787578,0.00989191817731087,0.01875358602053905,0.005540954613114828,0.003707224352429684,0.0022299149891737693,0.003058069930824851
1993,7,1,0,2,50.778000000000006,0,0,0,0,0,0,0.0019476829104696383,0.008385838832818017,0.06935679776855298,0.12041767738839347,0.13475978232172472,0.08727949781809283,0.09682539724278987,0.037889142251595787,0.057225770234459,0.04252009742189628,0.018121281910182422,0.02304298979168521,0.02868522608663373,0.022126637590944385,0.027410892978960877,0.04677238344425456,0.020827485926268634,0.01840088466894766,0.013954647947771353,0.010884328342006177,0.03398764425898347,0.005284457760356922,0.014657150958867195,0.029813334151185016,0.0022493790490219936,0.016538373061297816,0.002873047812385412,0.007762170069454599,0,0,0,0,0,0,0.0019476829104696383,0.008385838832818017,0.06935679776855298,0.12041767738839347,0.13475978232172472,0.08727949781809283,0.09682539724278987,0.037889142251595787,0.057225770234459,0.04252009742189628,0.018121281910182422,0.02304298979168521,0.02868522608663373,0.022126637590944385,0.027410892978960877,0.04677238344425456,0.020827485926268634,0.01840088466894766,0.013954647947771353,0.010884328342006177,0.03398764425898347,0.005284457760356922,0.014657150958867195,0.029813334151185016,0.0022493790490219936,0.016538373061297816,0.002873047812385412,0.007762170069454599
1994,7,1,0,2,6.5200000000000005,0,0,0.025,0.1,0,0.025,0.2,0.25,0.25,0.125,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.1,0,0.025,0.2,0.25,0.25,0.125,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,1,0,2,5.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01929119992932478,0,0.01929119992932478,0.01929119992932478,0.11529828581525031,0.01929119992932478,0.05787359978797434,0.01929119992932478,0.09645599964662391,0,0.03858239985864956,0,0,0.01929119992932478,0.09600708588592553,0.19201417177185107,0.09600708588592553,0.09600708588592553,0,0.09600708588592553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01929119992932478,0,0.01929119992932478,0.01929119992932478,0.11529828581525031,0.01929119992932478,0.05787359978797434,0.01929119992932478,0.09645599964662391,0,0.03858239985864956,0,0,0.01929119992932478,0.09600708588592553,0.19201417177185107,0.09600708588592553,0.09600708588592553,0,0.09600708588592553,0
