year,seas,fleet,index,se_log
1980,7,6,7712.35797725543,0.18565029124966
1983,7,6,7867.16615964553,0.160416641310877
1986,7,6,6996.85100128676,0.18246981566042
1989,7,6,7446.50270383387,0.165499459810728
1992,7,6,5701.61431672601,0.190101343697069
1995,7,6,10415.0219111086,0.120901107786761
1998,7,6,8557.21632694406,0.125649150629276
2001,7,6,12108.2790588855,0.124166754441704
2004,7,6,12170.8265781581,0.145863598034184
2003,7,7,57578.5540019725,0.0947712947011626
2004,7,7,62829.5927485714,0.0979793656232751
2005,7,7,71828.2510250754,0.0886600522815155
2006,7,7,67912.8909887506,0.0856914484270825
2007,7,7,66289.993715778,0.0802309285139955
2008,7,7,64147.550644361,0.0855436192269807
2009,7,7,59528.3179320692,0.0829953645124687
2010,7,7,55805.3946320808,0.0838540411032472
2011,7,7,63603.6237528463,0.0836728989149549
2012,7,7,64336.1861747432,0.0823820693686347
2013,7,7,64359.3293185923,0.0913816346871149
2014,7,7,62634.9748057558,0.0844245165965136
2015,7,7,64150.2312218026,0.07592590266841
2016,7,7,71089.832147325,0.0779358492779239
2017,7,7,76467.1597313734,0.0796077572988279
2018,7,7,77792.8515764203,0.0793260680026886
2019,7,7,78079.4088066234,0.104535122260048
2021,7,7,87491.4093410249,0.082010952491541
2022,7,7,95502.5363606267,0.0837293827965438
