year,month,fleet,sex,partition,InputN,F6,F8,F10,F12,F14,F16,F18,F20,F22,F24,F26,F28,F30,F32,F34,F36,F38,F40,F42,F44,F46,F48,F50,F52,F54,F56,F58,F60,F62,F64,F66,F68,F70,F72,M6,M8,M10,M12,M14,M16,M18,M20,M22,M24,M26,M28,M30,M32,M34,M36,M38,M40,M42,M44,M46,M48,M50,M52,M54,M56,M58,M60,M62,M64,M66,M68,M70,M72
1980,7,5,3,0,6,0,0.326797385620915,0.326797385620915,1.30718954248366,0.980392156862745,2.24886643741822,3.92156862745098,4.46628729091223,6.25581151584621,2.61437908496732,7.18954248366013,3.92156862745098,6.5359477124183,1.96078431372549,3.26797385620915,2.61437908496732,3.26797385620915,2.61437908496732,0,0,0.65359477124183,0.65359477124183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326797385620915,0.326797385620915,1.30718954248366,0.980392156862745,2.32629696127459,0.65359477124183,4.6840395064734,4.8552995952649,2.61437908496732,8.49673202614379,3.92156862745098,3.26797385620915,1.30718954248366,4.57516339869281,0.65359477124183,1.30718954248366,0.65359477124183,1.96078431372549,0.65359477124183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,7,5,3,0,6,0,0,0,0,1.28213154929074,1.28213154929074,6.41021054326244,2.56426309858147,7.69234209255317,8.97402643865267,3.84639464787221,2.56426309858147,3.84639464787221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1280789939717,6.41021054326244,6.41021054326244,11.5382895372341,19.2301844265961,3.84594744468097,2.56426309858147,5.12852619716294,1.28213154929074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,7,5,3,0,69,0,0,0,0,1.25690513045329,0.377414315043533,1.25690513045329,2.44651793800447,5.53186192264811,10.1059357962684,14.162959274614,9.0532529433626,5.9385023940191,1.13909846328148,1.97781698653071,0.419810282555593,0.377414315043533,0,0.765292315685786,0.387156367152687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423959675120603,0.408985780212088,1.21054017874862,1.57298059888363,2.05845952898982,3.18655308155541,7.37365099639544,5.97241916802875,8.02474481235725,4.33160502112582,2.8217673525793,3.59662131200185,1.51976012902807,1.52679605555135,0.774312734305374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,7,5,3,0,352,0.0328943818998069,0.0166931450837418,0.182371023239016,0.397684032403743,0.894352702670967,1.81380859500209,3.17650557252727,4.97106627305542,8.06313817163727,9.11712304117367,9.30542869964208,6.74647428716145,2.4956251900194,1.69319586136946,1.05858659204048,0.239178494151369,0.222437745041723,0.0639004707720802,0.0367820440153171,0.0433513995900976,0,0.0367820440153171,0,0,0,0,0,0,0,0,0,0,0,0,0.0328943818998069,0.0605840569674204,0.291780942775518,0.596526048605615,1.61760066823358,3.46101896734808,3.67117487370652,7.40223561200053,9.52120188105722,9.01726566283528,6.7599303584837,4.00525992750224,1.76361808369042,0.659966347127287,0.320406830352581,0.0587751039830606,0.097397837000007,0.011631250329261201,0.0433513995900976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,5,3,0,158,0.0339395009182755,0.216404604467222,1.02039146697977,1.63241809895162,3.50119792307113,4.15209755536428,4.94026747004201,6.22094441557617,6.24791751783993,7.32039583027572,5.69697702923012,3.16153020789122,1.99152231429217,1.31087293685517,0.881410574249414,0.206488022752605,0.44875011404069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339395009182755,0.216404604467222,1.15446365176138,1.79403358944558,3.72704807162152,5.13547538109424,6.17322086607458,6.89819736377592,6.23879426266248,6.80877458816436,5.14581341753172,4.02080201346275,1.98371300619191,0.766874055445592,0.771460474488602,0.0737297850481747,0,0.0737297850481747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,5,3,0,428,0.024984016006407,0.517576385235157,1.04758412363697,2.32308023976337,3.2000567498204,4.14522662610995,6.29894123227983,7.11766599264702,8.29281012586861,6.82403304059576,4.45028579403651,3.28672384626991,1.98040351987526,1.14574097912388,0.561865969216919,0.224856144057663,0.194124360207007,0.0331464240103499,0.0396798164041641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024984016006407,0.517576385235157,1.04758412363697,2.31077597292091,3.66394493973451,4.92750071803773,7.00911116518057,7.45986902714495,8.0596875940872,5.64184716968358,3.93134034249071,2.20716595879584,0.770212444431505,0.323983476929326,0.145404084831739,0.13394320904984,0,0.0848532280041878,0.031430758633725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,5,3,0,573,0.0303222847616504,0.241601294896598,0.708036602394131,1.78642144763539,2.28378773623172,4.16793819409925,7.70870944202597,9.58324863588082,8.82283345792,7.271496673807,4.17287426103497,2.77966041700916,1.13430306673491,0.563918793156698,0.454824041234215,0.180419640369928,0.0719540451656774,0.0159795576240546,0.0150383800943408,0.031954000152839,0.0296266318049054,0.0557443082544645,0,0,0,0,0.0150383800943408,0,0,0,0,0,0,0,0.0303222847616504,0.241601294896598,0.782098066811124,1.81068234450187,2.79223843627855,6.02759246071786,7.84698069736958,9.46922804721315,7.38867839135164,4.9053405584395,3.7002701486416,1.62274351408477,0.610179714780242,0.357708842434503,0.167892772053247,0.0450844497114012,0.044133041991147,0.0159795576240546,0.0155140839544679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,5,3,0,718,0,0.200337674847063,0.552295998856201,1.75015097373564,2.39715791504769,4.98387316982442,4.85764796348587,8.27341209236916,8.61844820812661,8.28367396249667,4.83500832556687,3.83935936784264,1.70126112638714,0.742605346364274,0.33846422168853,0.377577967909633,0.0763311249994337,0.0886621842332181,0.175792327773754,0.0122236295510658,0.0385999520863615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174708689235027,0.419905262900752,1.66611293671509,2.3331485075705,4.71734946871118,7.46548015720045,9.12890735184758,7.42242887956493,5.98081595459704,4.03759515759304,2.65845025769812,0.936287051738556,0.279111657414402,0.217465702957021,0.104664536102516,0.13215252231116,0.0132699012436294,0.0885267294158773,0.0124057929261104,0.0249890783714949,0.04334087069329,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,5,3,0,504,0.0276128109492796,0.416848820270347,0.858838427924306,1.84073439409472,2.46482289951337,2.74823886271325,2.4225164215192,6.32526721959303,6.38044155469562,8.30119360785993,6.30446016646873,5.73184821816336,3.98375829230561,2.20528606851629,1.5591596268701,0.594890932473958,0.425275240847923,0.136197215373156,0.0639084764559757,0.111471851036886,0.0187504526059744,0.0745094571826029,0,0,0.0167041094468432,0.0650111425692921,0,0,0,0,0,0,0,0,0.0276128109492796,0.416848820270347,0.858838427924306,1.82355844612496,2.4609045883014,3.63081794849123,4.09609176151476,5.08041872181406,7.17704858439212,8.2651082182167,5.77425214106987,2.82791802892945,2.03553703122073,1.18413006003222,0.462360723012529,0.243417391024277,0.33173325368152,0.0745094571826029,0.0428142172742545,0,0.0210275863469626,0.00394908328955151,0,0,0,0.0833564294871177,0,0,0,0,0,0,0,0
1995,7,6,3,0,456,0.0402743828971917,0.680131759348748,2.02487265509147,4.38164405817197,5.41039828537035,4.30062074455375,4.54537942111253,6.2689796629421,6.09384860674232,4.55446455738123,3.22907866736367,1.50880353304455,0.602613554139672,0.633812618999003,0.558146786674684,1.05561036128373,0.144125083213597,0.179437986794021,0.0676574287041804,0.106465622462908,0.0242510301696888,0.0379638259066653,0.0433409436622387,0.0432722160463732,0.0366514557179953,0,0,0.0741276428263767,0,0.0299259675940127,0,0,0,0,0.0402743828971917,0.680131759348748,2.02487265509147,4.36923381439283,5.46373746076921,6.25141157522943,6.93480625995998,8.2744449484106,5.63580522894756,4.45581424666531,4.10876596849336,1.8618572957457,1.36704137071928,0.753712853991813,0.337959869159638,0.152941854506059,0.164956096308074,0.152702944222336,0.0547202732034004,0.0475824193842248,0.0299259675940127,0.0449838609557858,0,0.0299259675940127,0.0370310939770619,0,0.0319223411977253,0.0175386330201569,0,0,0,0,0,0
1998,7,6,3,0,442,0.156951179626136,0.855077961581424,1.7289090337962,3.32310416012248,4.42269124705496,5.2638115483017,5.75678888242304,5.10289708240769,5.31957494406219,4.67722416641331,2.16765701191079,1.35531781815333,1.22584486293796,1.04122633071224,0.687766760056765,0.672237234330582,0.245744762851323,0.249897177308013,0.109433772898065,0.145094943611641,0.132557846117404,0.0161137216871949,0.0509385255213361,0.114956316011517,0.0153319918400853,0.0725789931706231,0.0317651300239487,0.0148108386086789,0,0,0.0148108386086789,0,0,0,0.156951179626136,0.808476775856955,1.743274370449,3.66022305526418,5.87985249346184,7.80985102330538,6.7012067975529,7.09502212085325,7.5773200165794,5.00462187264982,3.01710315631411,1.91118657932923,1.93022968651877,0.594085263862823,0.356145190936675,0.248224443549144,0.0601805896815191,0.190141075339172,0.0478578374679417,0.133356387359075,0.0153319918400853,0.0290879154400303,0,0.0148108386086789,0,0,0.0295334173959099,0,0,0,0,0,0.0148108386086789,0
2001,7,6,3,0,594,0.0348963276565038,0.114770065299535,0.289059750674501,1.14183542526456,3.0206065000942,5.62126624934683,8.34833409759028,6.56846498103576,6.19861438438214,4.50506720129106,4.30633906703778,2.13327219277759,1.65271097935084,0.854449930505938,0.554960738521038,0.552600428694827,0.404171065587465,0.393727405543173,0.217144949327987,0.169135394338811,0.144238391292447,0.116874437915676,0.0818039307689847,0.0749327276152695,0,0.0394640959195788,0.0151856077975537,0.0578844656777537,0,0,0,0,0,0,0.0348963276565038,0.114770065299535,0.390314909408892,1.24260359236312,2.9900611050089,5.07450261091501,7.74372154031544,7.378093907628,7.82972710694976,7.3146285888973,4.74490169522855,3.16994230748723,1.54388789950199,1.07349308080862,0.378172110664406,0.364319509169306,0.311628436045912,0.165744226305369,0.224065918050327,0.0924075515695705,0.0824473284776357,0.0273248518585663,0.050952832904994,0.0273284065420395,0,0,0.018253299634934,0,0,0,0,0,0,0
