Yr,Seas,Flt,Discard,Std_in
1984,1,1,0.39552,0.2794561083109571
1985,1,1,0.3907,0.2865582180879589
1986,1,1,0.42232000000000003,0.3214351828884634
1995,1,1,0.132,0.4
1996,1,1,0.155,0.2
1997,1,1,0.201,0.21
1998,1,1,0.136,0.22
1999,1,1,0.252,0.3
2002,1,1,0.234567100607366,0.1343990875690217
2003,1,1,0.301959459827909,0.11596710967990304
2004,1,1,0.185900114128878,0.12581812131554534
2005,1,1,0.149951234385085,0.16296858074231282
2006,1,1,0.1509733781215,0.16990104764608913
2007,1,1,0.111780765493197,0.17226246172193282
2008,1,1,0.0443222392589281,0.25186303458108655
2009,1,1,0.0936822900723265,0.20686191105152538
2010,1,1,0.0810228355467158,0.2199973927913785
2011,1,1,0.0501172972174539,0
2011,1,1,0.0501172972174539,0
2012,1,1,0.03899006664717269,0
2012,1,1,0.03899006664717269,0
2013,1,1,0.05990426690743987,0
2013,1,1,0.05990426690743987,0
2014,1,1,0.07406464107598873,0
2014,1,1,0.07406464107598873,0
2015,1,1,0.008291506827979156,0
2015,1,1,0.008291506827979156,0
2016,1,1,0.012631604986142849,0
2016,1,1,0.012631604986142849,0
2017,1,1,0.00998991896030314,0
2017,1,1,0.00998991896030314,0
2018,1,1,0.01036044637554542,0
2018,1,1,0.01036044637554542,0
2019,1,1,0.033827157821766866,0
2019,1,1,0.033827157821766866,0
2020,1,1,0.05646003715161282,0
2020,1,1,0.05646003715161282,0
2021,1,1,0.11882835671574697,0
2021,1,1,0.11882835671574697,0
2002,1,2,0.171848723617873,0.1781116795350001
2003,1,2,0.129363756828645,0.21168266836723118
2004,1,2,0.122731020313512,0.26109846987517904
2005,1,2,0.114497299288156,0.25998683926910743
2006,1,2,0.0565089234942199,0.4499098106004501
2007,1,2,0.0245061378940247,0.22155406871090494
2008,1,2,0.019454024822718,0.18599958126113375
2009,1,2,0.0223614776624876,0.19585106950240744
2010,1,2,0.0155415655177153,0.21444590277178488
2011,1,2,0.00504328852806328,0
2012,1,2,0.007267592146340409,0
2013,1,2,0.005399104272715618,0
2014,1,2,0.06634894779632414,0
2014,1,2,0.06634894779632414,0
2015,1,2,0.00948706376516663,0
2016,1,2,0.008644647269330067,0
2017,1,2,0.08687922961119106,0
2017,1,2,0.08687922961119106,0
2018,1,2,0.021553807959459444,0
2019,1,2,0.16120999914094347,0
2019,1,2,0.16120999914094347,0
2020,1,2,0.11534997867592049,0
2021,1,2,0.06977790162693076,0
2002,1,3,0.0444932747369823,0.20091608357829505
2003,1,3,0.0994965028653167,0.3253234140621026
2004,1,3,0.134028289695311,0.47251518653482394
2005,1,3,0.087956509791348,0.20148449728804316
2006,1,3,0.150394126866906,0.6631082118063854
2007,1,3,0.221259068497016,0.3067008842603208
2008,1,3,0.11119928359546,0.24153394676753534
2009,1,3,0.0622036204428707,0.384414686153293
2010,1,3,0.109983659276908,0.2550066357971335
2011,1,3,0.10405866437300379,0
2011,1,3,0.10405866437300379,0
2012,1,3,0.21951684317131756,0
2012,1,3,0.21951684317131756,0
2013,1,3,0.258974912143852,0
2013,1,3,0.258974912143852,0
2014,1,3,0.16312536103790748,0
2014,1,3,0.16312536103790748,0
2015,1,3,0.11732491551709824,0
2015,1,3,0.11732491551709824,0
2016,1,3,0.3190903937033825,0
2016,1,3,0.3190903937033825,0
2017,1,3,0.20101504049916466,0
2017,1,3,0.20101504049916466,0
2018,1,3,0.21637108968857657,0
2018,1,3,0.21637108968857657,0
2019,1,3,0.08910227797831834,0
2019,1,3,0.08910227797831834,0
2020,1,3,0.14174135519293624,0
2021,1,3,0.1704753124755368,0
2021,1,3,0.1704753124755368,0
2002,1,4,0.193611959464031,0.17370846746342142
2003,1,4,0.167988324181343,0.1347891531413846
2004,1,4,0.143603774267484,0.1781061088414422
2005,1,4,0.0637210859920598,0.21409856412733272
2006,1,4,0.123357626280814,0.29535148681236184
2007,1,4,0.0637448694245316,0.09470929321754543
2008,1,4,0.0515141094909989,0.17159185568743582
2009,1,4,0.0633647767050071,0.12859310803270596
2010,1,4,0.0877698551845951,0.1613293554066233
2011,1,4,0.06282830868294176,0
2011,1,4,0.06282830868294176,0
2012,1,4,0.065073958682732,0
2012,1,4,0.065073958682732,0
2013,1,4,0.059685690946980514,0
2013,1,4,0.059685690946980514,0
2014,1,4,0.0625030063889853,0
2014,1,4,0.0625030063889853,0
2015,1,4,0.1365829450061876,0
2015,1,4,0.1365829450061876,0
2016,1,4,0.08682810145734926,0
2016,1,4,0.08682810145734926,0
2017,1,4,0.03809961227315739,0
2017,1,4,0.03809961227315739,0
2018,1,4,0.08670236873241567,0
2019,1,4,0.09290061762304379,0
2020,1,4,0.03643953056176259,0
2020,1,4,0.03643953056176259,0
2021,1,4,0.12101692851804143,0
