year,seas,fleet,index,se_log
1980,1,5,6296.68315503992,0.154442557934924
1983,1,5,6406.36954542123,0.122227472385616
1986,1,5,5441.13817329529,0.146073457387082
1989,1,5,5997.58377951863,0.139764187968003
1992,1,5,4867.10611650491,0.153479232517215
1995,1,5,7535.34389587387,0.0964543198101177
1998,1,5,6247.00813279655,0.0967012063445618
2001,1,5,8234.98363768257,0.0958246631550211
2004,1,5,8654.53186199261,0.112452250384567
2003,1,6,48340.8622294653,0.0747165895078179
2004,1,6,48009.7231249054,0.0800660932874223
2005,1,6,54339.0010346072,0.0698844882360118
2006,1,6,49203.642524991,0.0670029007473765
2007,1,6,52366.4156032602,0.0647013976324966
2008,1,6,47120.8011512952,0.0663203590620605
2009,1,6,47353.0759464661,0.0663419123322326
2010,1,6,44829.4623511796,0.0658168243228828
2011,1,6,50098.1216650707,0.0660720239849308
2012,1,6,51413.4700584309,0.0662795312779279
2013,1,6,51808.1467017709,0.0751918243844552
2014,1,6,51333.2590458622,0.0676329773518003
2015,1,6,52880.5736591587,0.0655534085845293
2016,1,6,57348.8062253741,0.0647660100460853
2017,1,6,59170.601900916,0.0639348947210004
2018,1,6,59656.6167902371,0.0636135644093623
2019,1,6,60574.7771667471,0.0870471069568952
2021,1,6,70483.9281440477,0.0672863921315475
2022,1,6,76809.6732594565,0.0691009260091135
