Label,Phase,23.STAR.base,23.dt.low_045,23.dt.base_045,23.dt.high_045
SR_LN(R0),4,9.46106,8.96382,9.46106,10.0586
LnQ_base_Triennial1(4),-1,-0.447329,-0.114294,-0.447329,-0.939705
LnQ_base_NWFSCcombo(6),-1,0.194529,0.588126,0.194529,-0.336645
